	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF514	ZNF519	ZNF846	ZNF883
BIOCARTA_BAD_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04120140244406589	1	0.017300580488796125	0.03734926711209907	1	1	1	1	1	1	1	1	1	1	1	1	0.0599974864013888	1	1	0.07085175241883146	1	1	1	1	1	1	1	0.05169047199275134	1	0.01699676578421494	1	1	1	0.006463067885228435	1	1	1	1	1	1	1	0.0978077115764785	1	1	1	0.008629967051240639	0.00533623035284414	1	1	1	1	1	1	1
BIOCARTA_BOTULIN_PATHWAY	1	1	0.0018804590519739817	1	1	1	1	1	1	1	1	1	1	1	0.003441551784012842	0.001626677414519273	1	1	0.001461481884447724	1	1	1	1	1	1	1	1	1	1	1	0.0018402528078262925	0.002464371725894976	1	1	0.002971054052110511	1	1	1	0.002024500590286693	1	1	1	0.0020878104557608967	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004299150589541778	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04479827881193743	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006413373974410552	1	0.025032635065921682	1	1	1	0.03912639670507467	1	1	1	1	1	1	1	0.028179850158909447	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05488891255119377	0.026849696478203455	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CK1_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021882266652137217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04425315170421218	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_GHRELIN_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.022509237582878594	0.024293254776329376	0.011852349760912984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_KERATINOCYTE_PATHWAY	1	0.019089285364362607	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05350245077074112	1	1	0.0077141135198163235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05801131438757223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.043888967908030985	0.017356943959561555	1	1	1	1	0.039208661586610516	1	1
BIOCARTA_LAIR_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02528969784865953	1	1	1	0.014825204838538886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_LIS1_PATHWAY	1	1	1	0.009995490648921246	1	1	1	1	1	1	1	1	1	0.045959886631931735	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_MAPK_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.031063783975493475	1	1	0.020923171741903057	1	1	1	1	1	1	1	1	0.03907735666980772	1	1	1	1	1	1	1	1	1	1	1	1	0.0774741797801064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025143640467131134	0.09326545079605475	1	1	1	1	0.04929695915619514	1	1	0.08838602674220364	1	1	0.04486651642437678	1
BIOCARTA_MELANOCYTE_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005792708867019214	0.00039299801651204724	1	1	1	1	1	1	1
