	ASCL1	ETV1	FEV	GATA2	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX6	RFX6	SIX2	SMAD9	TFCP2L1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	1	1	0.658325203935	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	0.157020843013	1	1	1	1	1	1	1
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1	1	0.432632372008	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_G_PROTEIN_MEDIATED_EVENTS	1	1	1	1	1	1	1	1	1	1	0.823485768615	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	0.293825901815	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	0.00150908908016	0.388018521607	1	0.346235885039	0.760288267831	1	1	1	1	1	1	1	1	1	1
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.784053218862	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_NEURONAL_SYSTEM	2.34856918542e-05	7.39744518654e-05	2.3441305995e-05	0.000178969476226	0.0673568990281	0.000590581144748	0.003237246694	8.92649668627e-05	0.189308845854	0.389280235459	0.000454792853923	1	1	0.00260997497776	1	0.00108576742136	0.112957223216
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.294936876647
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	0.0813124155605	1	0.0053784185975	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	1	1	1	1	1	1	0.557309801429	1	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	0.000257833110445	0.000218681882085	1	0.259491373116	1	1	0.0543237140319	9.26968400539e-06	0.427629361198	1	1	1	0.929855547028	0.44414170249	1	0.0126378130459	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	0.00570872605879	1	1	1	1	0.0553141155629	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	0.00760069916899	1	1	0.187912595187	1	0.634448833825	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1	1	0.0334696955339	1	0.483314961553	0.016357508219	1	1	1	1	0.00356598310246	1	1	0.264557065998	1	0.252213361549	0.213824075219
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	0.2358014394	0.0707117527495	1	1	1	1	1	1	1	0.0529997080246	0.687886893392	1	1	0.234652968819	0.665096961079	0.586311946409
WP_G_PROTEIN_SIGNALING_PATHWAYS	1	1	1	1	1	1	1	1	1	1	0.475034487083	1	1	1	1	1	1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	1	1	1	1	1	1	1	1	0.162193511424	1	1	1	1	0.703094901401	1	1	1
WP_SYNAPTIC_VESICLE_PATHWAY	1	1	1	1	1	1	1	0.257753243723	1	1	1	1	1	1	1	1	1
