	ASCL1	ETV1	FEV	GATA2	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX6	RFX6	SIX2	SMAD9	TFCP2L1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION			ADCY1 ADCY2 ADCY5 ITPR1 PRKCH	ADCY1 ADCY2 ADCY5 ADORA2A CACNA1C ITPR1 KCNMA1 KCNMB2 PRKCH	ADCY1 ADCY2 ADCY5 CACNA1C	ADCY2 ADCY5 CACNA1C KCNMA1 KCNMB2	ADCY1 ADCY2 ADCY5 AVPR1B ITPR1 KCNMB2	ADCY1 ADORA2A AVPR1B CACNA1C KCNMA1 KCNMB2		ADCY5 AVPR1B CACNA1C KCNMA1 KCNMB2	ADCY1 ADCY2 ADCY5 AVPR1B ITPR1 PRKCG	ADCY2 ADCY5 CACNA1C ITPR1 KCNMA1 KCNMB2 PRKCH	ADCY5 AVPR1B KCNMA1 KCNMB2		ADCY5 ITPR1 KCNMA1 KCNMB2 PRKCG PRKCH	ADCY5 ADORA2A CACNA1C ITPR1 KCNMB2 PRKCG PRKCH	ADCY1 ADCY5 ITPR1 KCNMB2 PRKCG PRKCH
REACTOME_CARDIAC_CONDUCTION	CAMK2B KCNJ11 KCNJ2 KCNK17 SCN3A	CACNA2D1 CAMK2B KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SLC8A1	ATP1A3 CACNA2D1 FGF14 ITPR1 KCNH2 KCNIP3 KCNK16	ATP1A3 CACNA1C ITPR1 KCNK3	CACNA1C FGF14 KCNK3	CACNA1C FGF14 KCNJ2 KCNK17 SCN2A	CACNA2D1 CACNG4 ITPR1 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNG4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	CAMK2B KCNH2 KCNIP3 KCNJ11 KCNK17 KCNK3	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SLC8A1	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNJ2 KCNK3	CACNA1C CACNA2D1 CACNB2 ITPR1 SCN2A SLC8A1	ATP1A3 CACNA2D1 FGF14 KCNIP3 KCNJ11 KCNJ2	ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1		ATP1A3 CACNA1C CAMK2B ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK3 SCN1B	ATP1A3 CACNA2D1 CACNG4 ITPR1 KCNIP3 KCNJ2
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS		GNG2 GNG4 PRKCG RGS17 RGS4	ADCY1 ADCY2 ADCY5 GNG2 GNG4 PRKCH RGS17	ADCY1 ADCY2 ADCY5 PRKCH	ADCY1 ADCY2 ADCY5 RGS17	ADCY2 ADCY5 GNG2 RGS17 RGS4	ADCY1 ADCY2 ADCY5 GNG2 GNG4 RGS17	ADCY1 GNG2 GNG4 RGS17		ADCY5 GNG4 RGS4	ADCY1 ADCY2 ADCY5 GNG4 PRKCG	ADCY2 ADCY5 PRKCH RGS17	ADCY5 GNG2 RGS17	GNG2 GNG4 PRKCG PRKCH RGS17	ADCY5 PRKCG PRKCH RGS17	ADCY5 GNG4 PRKCG PRKCH RGS17	ADCY1 ADCY5 GNG4 PRKCG PRKCH RGS17
REACTOME_G_PROTEIN_MEDIATED_EVENTS	ADCY5 CAMK2B	CAMK2B GNAO1 PRKCG	ADCY1 ADCY2 ADCY5 GNAO1 ITPR1	ADCY1 ADCY2 ADCY5 ITPR1	ADCY1 ADCY2 ADCY5		ADCY1 ADCY2 ADCY5 ITPR1		ADCY2 CAMK2B GNAO1	ADCY5 CAMK2B GNAO1	ADCY1 ADCY2 ADCY5 CAMK2B GNAO1 ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY5 GNAO1		ADCY5 GNAO1 ITPR1 PRKCG	ADCY5 CAMK2B GNAO1 ITPR1 PRKCG	ADCY1 ADCY5 GNAO1 ITPR1 PRKCG
REACTOME_INSULIN_PROCESSING		KIF5A KIF5C PCSK1 PCSK2	PCSK1 STX1A	CPE KIF5A KIF5C PCSK1 STX1A		CPE KIF5A KIF5C PCSK1 PCSK2 STX1A		CPE KIF5A STX1A	KIF5A PCSK1	PCSK1 PCSK2 STX1A	KIF5A STX1A		CPE PCSK1 PCSK2		KIF5A STX1A	CPE KIF5C PCSK1	
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	ABCC8 ADCY5 CACNA1A KCNJ11 STXBP1 SYT5	ABCC8 CACNA1A GNG2 GNG4 SYT5	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1C ITPR1 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1C RAPGEF4 SNAP25	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1C GNG2 RAPGEF4 SNAP25 STX1A SYT5	ADCY1 ADCY2 ADCY5 GNG2 GNG4 ITPR1 KCNJ11 RAPGEF4 SNAP25 SYT5	ADCY1 CACNA1A CACNA1C GNG2 GNG4 KCNJ11 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY2 KCNJ11 RAPGEF4 STXBP1	ABCC8 ADCY5 CACNA1A CACNA1C GNG4 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A	ADCY2 ADCY5 CACNA1A CACNA1C CACNB2 ITPR1 SNAP25	ADCY5 GNG2 KCNJ11 RAPGEF4 SNAP25	CACNA1A CACNB2 GNG2 GNG4 KCNJ11 RAPGEF4 SNAP25 SYT5	ADCY5 CACNA1A ITPR1 STX1A STXBP1 SYT5	ABCC8 ADCY5 CACNA1C GNG4 ITPR1 KCNJ11 STXBP1 SYT5	ADCY1 ADCY5 GNG4 ITPR1 STX1A SYT5
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	ABCC8 GABBR2 KCNJ11 KCNJ2 KCNJ6	ABCC8 GNG2 GNG4 KCNJ2 KCNJ6	ABCC8 GNG2 GNG4	ABCC8 KCNJ6		ABCC8 GNG2 KCNJ2	GNG2 GNG4 KCNJ11 KCNJ2	GABBR2 GNG2 GNG4 KCNJ11 KCNJ2	ABCC8 KCNJ11	ABCC8 GABBR2 GNG4 KCNJ6	GNG4 KCNJ2		GABBR2 GNG2 KCNJ11 KCNJ2 KCNJ6	GABBR2 GNG2 GNG4 KCNJ11		ABCC8 GABBR2 GNG4 KCNJ11 KCNJ2 KCNJ6	GABBR2 GNG4 KCNJ2
REACTOME_NEURONAL_SYSTEM	ABCC8 ADCY5 CACNA1A CAMK2B CHRNB2 GABBR2 GRIK3 HCN4 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 LRRTM3 PPM1E STXBP1	ABCC8 CACNA1A CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 GABRB3 GJD2 GNG2 GNG4 GRIK5 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 LIN7A PRKCG SYN1 TUBA1A	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CHRNB2 DLG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNH2 KCNH3 KCNH6 KCNK16 LIN7A LRRTM3 PPM1E SNAP25 STX1A SYN1 TUBA1A	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A DLG2 GABRB3 GJD2 GRIK5 KCNG1 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 PPM1E SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CHRNB4 CPLX1 HCN4 KCNH7 KCNJ6 KCNK3 LIN7A PPM1E SNAP25 TUBB4A	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CHRNB4 GABRB3 GAD2 GNG2 GRIK5 KCNH8 KCNJ2 KCNK17 KCNMA1 KCNMB2 LIN7A LRRTM3 PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMB2 LIN7A PPM1E SNAP25 SYN1	ADCY1 CACNA1A CACNG4 CHRNB4 CPLX1 DLG2 GABBR2 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 SNAP25 STX1A SYN1	ABCC8 ADCY2 CAMK2B CHRNA3 CHRNB4 CPLX1 KCNB2 KCNH2 KCNH8 KCNJ11 KCNK17 KCNK3 KCNMA1 STXBP1 TUBB4A	ABCC8 ADCY5 CACNA1A CACNG4 CAMK2B CHRNB4 CPLX1 DLG2 GABBR2 GABRB3 GNG4 KCNH2 KCNH7 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 KCNB2 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 PRKCG SNAP25 STX1A	ADCY2 ADCY5 CACNA1A CACNA1B CACNB2 DLG2 GABRB3 KCNH7 KCNMA1 KCNMB2 PPM1E SNAP25	ADCY5 CHRNB2 CPLX1 GABBR2 GNG2 GRIK5 HCN4 KCNJ11 KCNJ2 KCNJ6 KCNMA1 KCNMB2 LRFN1 SNAP25	CACNA1A CACNB2 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 LIN7A PPM1E PRKCG SNAP25 TUBA1A TUBB4A	ADCY5 CACNA1A CACNA1B DLG2 GABRB3 GAD2 KCNH8 KCNMA1 KCNMB2 PPM1E PRKCG STX1A STXBP1	ABCC8 ADCY5 CACNA1B CAMK2B CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 HCN4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK3 KCNMB2 LIN7A PPM1E PRKCG STXBP1	ADCY1 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 GABBR2 GNG4 GRIK5 KCNH7 KCNH8 KCNJ2 KCNMB2 LRFN1 PPM1E PRKCG STX1A TUBA1A TUBB4A
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	ADCY5 CAMK2B CHRNB2 GABBR2 GRIK3 KCNJ2 KCNJ6 PPM1E	CAMK2B CHRNA3 CHRNB2 CHRNB4 GABRB3 GNG2 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A PRKCG TUBA1A	ADCY1 ADCY2 ADCY5 CHRNB2 DLG2 GNG2 GNG4 GRIK3 GRIK5 LIN7A PPM1E TUBA1A	ADCY1 ADCY2 ADCY5 DLG2 GABRB3 GRIK5 KCNJ6 PPM1E	ADCY1 ADCY2 ADCY5 CHRNB4 KCNJ6 LIN7A PPM1E TUBB4A	ADCY2 ADCY5 CHRNB4 GABRB3 GNG2 GRIK5 KCNJ2 LIN7A PPM1E TUBA1A TUBB2B	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 GNG2 GNG4 GRIK5 KCNJ2 LIN7A PPM1E	ADCY1 CACNG4 CHRNB4 DLG2 GABBR2 GNG2 GNG4 GRIK5 KCNJ2	ADCY2 CAMK2B CHRNA3 CHRNB4 TUBB4A	ADCY5 CACNG4 CAMK2B CHRNB4 DLG2 GABBR2 GABRB3 GNG4 KCNJ6	ADCY1 ADCY2 ADCY5 CAMK2B CHRNA3 CHRNB2 CHRNB4 DLG2 GNG4 GRIK5 KCNJ2 PRKCG	ADCY2 ADCY5 DLG2 GABRB3 PPM1E	ADCY5 CHRNB2 GABBR2 GNG2 GRIK5 KCNJ2 KCNJ6	CACNG4 CAMK2B CHRNA3 GABBR2 GNG2 GNG4 GRIK5 LIN7A PPM1E PRKCG TUBA1A TUBB4A	ADCY5 DLG2 GABRB3 PPM1E PRKCG	ADCY5 CAMK2B CHRNB4 GABBR2 GABRB3 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A PPM1E PRKCG	ADCY1 ADCY5 CACNG4 CHRNB2 CHRNB4 GABBR2 GNG4 GRIK5 KCNJ2 PPM1E PRKCG TUBA1A TUBB4A
REACTOME_PEPTIDE_HORMONE_METABOLISM		GHRL ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2	GHRL ISL1 MBOAT4 PCSK1 STX1A	AGT CPB1 CPE GHRL ISL1 KIF5A KIF5C PCSK1 STX1A		AGT CPB1 CPE GPR119 ISL1 KIF5A KIF5C PAX6 PCSK1 PCSK2 STX1A		AGT CPE KIF5A MBOAT4 STX1A	AGT KIF5A PCSK1	GHRL ISL1 PCSK1 PCSK2 STX1A	AGT KIF5A STX1A	AGT CPE PAX6	CPE MBOAT4 PCSK1 PCSK2			CPE KIF5C MBOAT4 PCSK1	
