	ASCL1	ETV1	FEV	GATA2	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX6	RFX6	SIX2	SMAD9	TFCP2L1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0	0	5	9	4	5	6	6	0	5	6	7	4	0	6	7	6
REACTOME_CARDIAC_CONDUCTION	5	9	7	4	3	5	9	10	6	12	6	6	6	9	0	9	6
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0	5	7	4	4	5	6	4	0	3	5	4	3	5	4	5	6
REACTOME_G_PROTEIN_MEDIATED_EVENTS	2	3	5	4	3	0	4	0	3	3	7	3	2	0	4	5	5
REACTOME_INSULIN_PROCESSING	0	4	2	5	0	6	0	3	2	3	2	0	3	0	2	3	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	6	5	12	9	6	10	10	10	5	7	8	7	5	8	6	8	6
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	5	5	3	2	0	3	4	5	2	4	2	0	5	4	0	6	3
REACTOME_NEURONAL_SYSTEM	18	27	24	21	13	23	23	26	15	20	22	12	14	23	13	22	19
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	8	13	12	8	8	11	12	9	5	9	12	5	7	12	5	12	13
REACTOME_PEPTIDE_HORMONE_METABOLISM	0	7	5	9	0	11	0	5	3	5	3	3	4	0	0	4	0
REACTOME_PHASE_0_RAPID_DEPOLARISATION	2	4	2	0	2	3	0	0	0	7	2	4	2	4	0	3	2
REACTOME_POTASSIUM_CHANNELS	10	14	8	9	4	7	11	16	8	9	6	3	8	10	3	11	6
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	0	4	2	0	0	0	4	0	0	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	6	5	10	7	4	9	8	9	4	7	6	6	5	8	6	8	5
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	10	16	16	11	10	17	15	14	7	13	17	9	9	16	10	15	15
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	5	13	12	8	5	10	10	9	0	9	12	9	5	10	10	11	11
WP_G_PROTEIN_SIGNALING_PATHWAYS	0	4	8	5	4	0	5	4	0	4	9	4	0	0	5	6	7
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	4	11	10	8	3	7	9	11	10	9	7	0	6	12	0	7	8
WP_SYNAPTIC_VESICLE_PATHWAY	2	5	5	4	2	7	4	8	2	5	6	4	4	3	5	4	4
