	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BAD_PATHWAY																			ADCY1 BCL2													ADCY1 BCL2			ADCY1 BCL2								ADCY1 BCL2						ADCY1 BCL2								ADCY1 BCL2				ADCY1 BCL2 KIT	BCL2 KIT						
BIOCARTA_BOTULIN_PATHWAY															SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A												SNAP25 STX1A				SNAP25 STX1A				SNAP25 STX1A				SNAP25 STX1A																									
BIOCARTA_CARDIACEGF_PATHWAY																															ADAM12 AGT				ADAM12 AGT								ADAM12 AGT															ADAM12 AGT										
BIOCARTA_CK1_PATHWAY																																							CDK5R1 DRD2																													
BIOCARTA_GHRELIN_PATHWAY														GHRL SST																																																						
BIOCARTA_KERATINOCYTE_PATHWAY																			BCL2 PRKCH																								BCL2 PRKCG	BCL2 PRKCH											PRKCG PRKCH						BCL2 PRKCG PRKCH	BCL2 PRKCH				BCL2 PRKCG		
BIOCARTA_LAIR_PATHWAY																																															C7 ITGA4																					
BIOCARTA_LIS1_PATHWAY				CDK5R1 DCX										CDK5R1 DCX																																																						
BIOCARTA_MAPK_PATHWAY													MAP3K12 MAPK10			MAP3K12 MAPK10 MAPK12																						MAP3K12 MAPK10														MAP3K12 MAPK12 MAPK4				MAP3K12 MAPK10 MAPK12 MAPK4						MAP3K12 MAPK12			MAP3K12 MAPK10		MAP3K12 MAPK12 MAPK4	
BIOCARTA_MELANOCYTE_PATHWAY																																																													BCL2 KIT	BCL2 KIT						
BIOCARTA_MPR_PATHWAY															ADCY1 MYT1																	ADCY1 MYT1			ADCY1 MYT1																							ADCY1 MYT1			ADCY1 MYT1							
BIOCARTA_MTA3_PATHWAY														GREB1 TUBA1A																	GREB1 TUBA1A																																					
BIOCARTA_NO1_PATHWAY														FLT1 PDE2A					FLT1 PDE2A															FLT1 PDE2A	FLT1 PDE2A		FLT1 PDE2A										FLT1 PDE2A																					
BIOCARTA_PDZS_PATHWAY														NCAM1 NFASC	DLG2 NFASC	DLG2 NFASC		DLG2 NFASC	DLG2 NCAM1																DLG2 NFASC				DLG2 NCAM1				DLG2 NCAM1												DLG2 NCAM1			DLG2 NFASC										
BIOCARTA_PRION_PATHWAY																															APLP1 BCL2												APLP1 BCL2			APLP1 BCL2															APLP1 BCL2							
KEGG_ABC_TRANSPORTERS				ABCA9 ABCC8	ABCA9 ABCC8														ABCA9 ABCC8													ABCA9 ABCC8																								ABCA9 ABCC8												
KEGG_ACUTE_MYELOID_LEUKEMIA																																							AKT3 KIT RUNX1T1							AKT3 RUNX1T1																						
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																			ACSL6 AKT3 MAPK10												ACSL6 AKT3 CPT1C							ACSL6 MAPK10	ACSL6 AKT3 CPT1C MAPK10				ACSL6 AKT3 MAPK10 NPY			AKT3 MAPK10 NPY									ACSL6 CPT1C MAPK10													
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION												ATP1A3 PRKCG																															ATP1A3 PRKCG												ATP1A3 PRKCG	ATP1A3 PRKCG					ATP1A3 PRKCG							
KEGG_ALZHEIMERS_DISEASE																					CDK5R1 ITPR1																																															
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS																			BCL2 NEFM																											BCL2 NEFM															BCL2 MAPK12 NEFM	BCL2 MAPK12						
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC			CACNA1C CACNA2D1 ITGA7																															CACNA2D1 CACNG4 ITGA7 SGCD SLC8A1	CACNA1C CACNG4 ITGA4 ITGA7 SGCD SLC8A1			CACNA2D1 SLC8A1	CACNA1C CACNA2D1 CACNG4 ITGA4 SLC8A1			CACNB2 ITGA4		CACNA1C CACNA2D1 CACNB2 SLC8A1	CACNA2D1 ITGA7			CACNA1C ITGA7 SLC8A1				CACNB2 CACNG4 ITGA7 SLC8A1		CACNB2 ITGA4		CACNA1C ITGA4 SGCD		CACNA1C ITGA7 SLC8A1			CACNA2D1 CACNG4 ITGA7				CACNA1C CACNB2			
KEGG_AXON_GUIDANCE														EFNB3 EPHA4 EPHA8 EPHB3 PLXNC1 ROBO1													EFNB3 EPHB3 PLXNC1 ROBO1			EPHA8 PAK3						EPHA8 PAK3			EFNB3 EPHA4 EPHB3 PAK3 PLXNC1 ROBO1						EFNB3 PLXNC1 ROBO1	EFNB3 PLXNC1 ROBO1	EPHA4 EPHA8 EPHB3 ROBO1								EFNB3 EPHA4 ROBO1					EFNB3 EPHA4								
KEGG_BASAL_CELL_CARCINOMA																																																																			PTCH1 WNT9A	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY																																							AKT3 PLCG2 VAV3																													
KEGG_CALCIUM_SIGNALING_PATHWAY		CACNA1H ITPR1 TACR3			ADCY1 CAMK2B PLCG2								ADORA2A CACNA1A	AVPR1B CACNA1A CACNA1B CAMK2B PRKCG SLC8A1 TACR3					ADCY1 ADCY2 ADORA2A CACNA1A CACNA1C ITPR1 TACR3		ADORA2A ITPR1						ADCY1 ADCY2 CACNA1C	CACNA1B CAMK2B						ADCY1 ADCY2 AVPR1B CACNA1H ITPR1 SLC8A1	ADCY1 ADORA2A AVPR1B CACNA1A CACNA1C CACNA1H SLC8A1	CACNA1B TACR3	ADCY2 CACNA1H CAMK2B PLCG2		AVPR1B CACNA1A CACNA1C CAMK2B PLCG2 SLC8A1 TACR3		CACNA1H CAMK2B TACR3		ADCY1 ADCY2 AVPR1B CACNA1B CACNA1H CAMK2B ITPR1 PRKCG	ADCY2 CACNA1A CACNA1B CACNA1C ITPR1 PLCG2 SLC8A1				CACNA1C CACNA1H SLC8A1		ADCY1 ADCY2 TACR3		CACNA1A CACNA1H CAMK2B PRKCG SLC8A1			CACNA1A CACNA1B ITPR1 PRKCG SLC8A1	ADORA2A CACNA1B CACNA1C CAMK2B ITPR1 PLCG2 PRKCG		ADCY1 ADORA2A CACNA1A CACNA1C PLCG2 SLC8A1		AVPR1B TACR3								
KEGG_CARDIAC_MUSCLE_CONTRACTION												ATP1A3 CACNB2																						CACNA2D1 CACNG4 SLC8A1	ATP1A3 CACNA1C CACNG4 SLC8A1			CACNA2D1 SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 SLC8A1					CACNA1C CACNA2D1 CACNB2 SLC8A1				CACNA1C SLC8A1				ATP1A3 CACNB2 CACNG4 SLC8A1								ATP1A3 CACNA2D1	ATP1A3 CACNA2D1 CACNG4				ATP1A3 CACNA1C CACNB2			
KEGG_CELL_ADHESION_MOLECULES_CAMS			HLA-DQA2 JAM3 NEGR1 NFASC VCAN																					ITGA4 NFASC						HLA-DQA2 ITGA4	HLA-DQA2 JAM3 NCAM1 NEGR1 VCAN	JAM3 NEGR1 NFASC VCAN										HLA-DQA2 ITGA4												HLA-DQA2 ITGA4														
KEGG_CHEMOKINE_SIGNALING_PATHWAY															ADCY1 ADCY2 ADCY5 AKT3 GNG2 GNG4												ADCY1 ADCY2 ADCY5 AKT3																ADCY1 ADCY2 ADCY5 AKT3 GNG4							ADCY1 ADCY2 GNG2																		
KEGG_COLORECTAL_CANCER																			AKT3 BCL2 MAPK10																								AKT3 BCL2 MAPK10			AKT3 BCL2 MAPK10			BCL2 MAPK10																	BCL2 MAPK10		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION																																																											EDAR KIT									
KEGG_DILATED_CARDIOMYOPATHY			ADCY1 CACNA1C CACNA2D1 ITGA7												ADCY1 ADCY2 ADCY5 CACNA2D1 ITGA7 MYBPC3				ADCY1 ADCY2 ADCY5 CACNA1C								ADCY1 ADCY2 ADCY5 CACNA1C							ADCY1 ADCY2 ADCY5 CACNA2D1 CACNG4 ITGA7 MYBPC3 SGCD SLC8A1	ADCY1 CACNA1C CACNG4 ITGA4 ITGA7 SGCD SLC8A1			ADCY5 CACNA2D1 SLC8A1	ADCY5 CACNA1C CACNA2D1 CACNG4 ITGA4 SLC8A1			CACNB2 ITGA4	ADCY1 ADCY2 ADCY5 CACNA2D1 ITGA4	ADCY2 ADCY5 CACNA1C CACNA2D1 CACNB2 SLC8A1	ADCY5 CACNA2D1 ITGA7	ADCY5 CACNA2D1 MYBPC3	ADCY5 ITGA4 SLC8A1	CACNA1C ITGA7 SLC8A1	ADCY1 CACNA2D1	ADCY1 ADCY2 CACNA2D1		CACNB2 CACNG4 ITGA7 SLC8A1		CACNB2 ITGA4		ADCY5 CACNA1C ITGA4 MYBPC3 SGCD	ADCY1 CACNA2D1 MYBPC3 SLC8A1	ADCY1 CACNA1C ITGA7 MYBPC3 SLC8A1		CACNA2D1 MYBPC3	ADCY1 ADCY5 CACNA2D1 CACNG4 ITGA7 MYBPC3				CACNA1C CACNB2			
KEGG_ECM_RECEPTOR_INTERACTION				ITGA7 SV2B																				ITGA4 SPP1																																		ITGA7 SPP1 SV2A										
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION			JAM3 MAPK12 PLCG2		ATP6V1B1 PLCG2								ATP6V1B1 MAPK10																									MAPK10 PLCG2	ATP6V1B1 MAPK10 PLCG2																	MAPK10 MAPK12 PLCG2						MAPK12 PLCG2						
KEGG_ERBB_SIGNALING_PATHWAY																																AKT3 CAMK2B PLCG2						MAPK10 PLCG2	AKT3 CAMK2B MAPK10 PAK3 PLCG2		CAMK2B MAPK10		AKT3 CAMK2B MAPK10 PRKCG													CAMK2B MAPK10 PLCG2 PRKCG						CAMK2B PLCG2				MAPK10 PRKCG		
KEGG_FATTY_ACID_METABOLISM			ACSL6 CPT1C																												ACSL6 CPT1C																								ACSL6 CPT1C													
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY																																						MAPK10 PLCG2	AKT3 MAPK10 PLCG2 VAV3		MAPK10 VAV3															MAPK10 MAPK12 PLCG2		AKT3 MAPK12 PLCG2				MAPK12 PLCG2						
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS												PRKCG VAV3																											AKT3 AMPH PLCG2 VAV3																													
KEGG_FOCAL_ADHESION																								ITGA4 SPP1						ITGA4 PAK3					AKT3 BCL2 FLT1 ITGA4 ITGA7 PAK3				AKT3 FLT1 ITGA4 MAPK10 PAK3 VAV3				AKT3 BCL2 ITGA4 MAPK10 PRKCG			AKT3 BCL2 MAPK10 SPP1															BCL2 FLT1 ITGA7 MAPK10 PRKCG					BCL2 MAPK10 PRKCG		
KEGG_GALACTOSE_METABOLISM														AKR1B1 GCK																				AKR1B1 GCK			AKR1B1 GCK																		AKR1B1 GCK													
KEGG_GAP_JUNCTION			ADCY1 DRD2 TUBA1A									ITPR1 PRKCG			ADCY1 ADCY2 ADCY5 GJD2 ITPR1 TUBA1A				ADCY1 ADCY2 ADCY5 GJD2 ITPR1		ITPR1 TUBB4A						ADCY1 ADCY2 ADCY5 TUBB4A				ADCY2 ADCY5 TUBA1A TUBB2B	ADCY1 DRD2 TUBA1A TUBB2B		ADCY1 ADCY2 ADCY5 DRD2 ITPR1				ADCY5 TUBB4A				GJD2 TUBB2B	ADCY1 ADCY2 ADCY5 ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY5 TUBA1A TUBB4A					ADCY1 ADCY2					ADCY5 ITPR1 PRKCG	ADCY5 ITPR1 PRKCG					ADCY1 ADCY5 ITPR1 PRKCG TUBA1A TUBB4A							
KEGG_GLIOMA					CAMK2B PLCG2																											AKT3 CAMK2B PLCG2					CAMK2B PLCG2		AKT3 CAMK2B PLCG2				AKT3 CAMK2B PRKCG													CAMK2B PLCG2 PRKCG						CAMK2B PLCG2						
KEGG_GLYCEROLIPID_METABOLISM			AKR1B1 DGKB																																												AKR1B1 DGKB								AKR1B1 DGKB													
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM																																																		DGKB PCYT1B																		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM																																ALAS2 BHMT																																				
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES			ST6GALNAC5 ST8SIA5																												ST6GALNAC5 ST8SIA5																																					
KEGG_GNRH_SIGNALING_PATHWAY			ADCY1 CACNA1C MAPK12 MMP2												ADCY1 ADCY2 ADCY5 ITPR1 MAPK12	ADCY5 MAPK10 MAPK12 MMP2			ADCY1 ADCY2 ADCY5 CACNA1C ITPR1 MAPK10								ADCY1 ADCY2 ADCY5 CACNA1C							ADCY1 ADCY2 ADCY5 ITPR1			ADCY2 CAMK2B MMP2	ADCY5 MAPK10 MMP2	ADCY5 CACNA1C CAMK2B MAPK10 MMP2		CAMK2B MAPK10		ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 MAPK10 MMP2	ADCY2 ADCY5 CACNA1C ITPR1 MMP2			ADCY5 MAPK10 MMP2	CACNA1C MAPK12	ADCY1 MAPK10	ADCY1 ADCY2 MAPK10					ADCY5 ITPR1 MAPK10	ADCY5 CACNA1C CAMK2B ITPR1 MAPK10 MAPK12					ADCY1 ADCY5 ITPR1 MAPK10 MAPK12	CAMK2B MAPK12	ADCY5 MAPK12		CACNA1C MAPK10			
KEGG_HEDGEHOG_SIGNALING_PATHWAY																																																																			PTCH1 WNT9A	
KEGG_HEMATOPOIETIC_CELL_LINEAGE																														ITGA4 KIT																																						
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM			CACNA1C CACNA2D1 ITGA7												CACNA2D1 ITGA7 MYBPC3																			CACNA2D1 CACNG4 ITGA7 MYBPC3 SGCD SLC8A1	CACNA1C CACNG4 ITGA4 ITGA7 SGCD SLC8A1			CACNA2D1 SLC8A1	CACNA1C CACNA2D1 CACNG4 ITGA4 SLC8A1			CACNB2 ITGA4		CACNA1C CACNA2D1 CACNB2 SLC8A1	CACNA2D1 ITGA7			CACNA1C ITGA7 SLC8A1				CACNB2 CACNG4 ITGA7 SLC8A1		CACNB2 ITGA4		CACNA1C ITGA4 MYBPC3 SGCD	CACNA2D1 MYBPC3 SLC8A1	CACNA1C ITGA7 MYBPC3 SLC8A1		CACNA2D1 MYBPC3	CACNA2D1 CACNG4 ITGA7 MYBPC3				CACNA1C CACNB2			
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION																														HLA-DQA2 ITGA4												HLA-DQA2 ITGA4												HLA-DQA2 ITGA4														
KEGG_LEISHMANIA_INFECTION																														HLA-DQA2 ITGA4												HLA-DQA2 ITGA4												HLA-DQA2 ITGA4														
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION			JAM3 MAPK12 MMP2 PLCG2																													JAM3 MMP2 PLCG2 RAPGEF4			ITGA4 JAM3 MMP2 RAPGEF4		MMP2 PLCG2 RAPGEF4	MMP2 PLCG2	ITGA4 MMP2 PLCG2 VAV3				ITGA4 MMP2 PRKCG RAPGEF4									JAM3 MAPK12 MMP2 PRKCG RAPGEF4 VAV3				ITGA4 MAPK12 PLCG2 PRKCG						MAPK12 PLCG2					MAPK12 PRKCG RAPGEF4	
KEGG_LONG_TERM_DEPRESSION												GNAO1 ITPR1 PRKCG		CACNA1A GNAO1 PRKCG	CACNA1A GNAO1 ITPR1																												GNAO1 ITPR1 PRKCG	CACNA1A ITPR1											CACNA1A GNAO1 ITPR1 PRKCG	GNAO1 ITPR1 PRKCG					GNAO1 ITPR1 PRKCG							
