	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_AXON	BRSK2 C1QL1 DLG2 GAP43 MX1 MX2 PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SYN1 UCN3	AP3B2 BRSK1 BRSK2 C1QL1 CADM2 CDK5R1 CDK5R2 CNGA3 DLG2 DSCAML1 KCNIP3 KCNJ11 MAP2 MAP6 MX1 SNAP25 SYN1 SYP	BSN CABP4 CNGA3 CNR1 CPLX2 KIF5A MAP1A MAP1B NEFM PRKCG PTPRN RET SCN1B SLC8A1 SRCIN1 SYP TMOD2 UCN3	ATP1A3 CRMP1 DRD2 EPHA4 GAP43 NEFM PTCH1 TENM2 TMOD2 UCN3 UNC13A VSTM2L	AP3B2 CABP4 MAP6 PRKCG SH2D3C STX1A STXBP1 SYT5	CABP4 PTCH1 PTPRN ROBO1 TENM2	CABP4 CPT1C INSRR MX1 SRCIN1	ADORA2A BASP1 BRSK1 CDK5R2 DLG2 GRIK5 KIF1A SNAP25 SPTBN4	ATP1A3 BASP1 BOC BRSK1 BSN CDK5R2 CPLX2 DLG2 DRD2 GAP43 GRIK5 KCNIP3 KIF5A MAP1A MAP1B MAP2 MAP6 NEFM NFASC RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYP UCHL1 UCN3	ADORA2A BRSK1 C1QL1 CABP4 CDK5R2 CNGA3 DLG2 DSCAML1 GHRL INSRR MAP6 PTPRN STMN3 SYN1 UCHL1	ATP1A3 C1QL1 CDK5R2 CNR1 CPLX2 GRIK5 SH2D3C SPTBN4 STMN3 STXBP1 SYP	CPT1C KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP
GO_AXON_DEVELOPMENT	BRSK2 GAP43 GFRA3 SPP1 TUBB2B	BRSK1 BRSK2 CDK5R1 DSCAML1 MAP2 MAP6 NR4A3 RTN4RL1	CNR1 DOK6 EPHA8 ETV1 GFRA1 GFRA3 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B	ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 LGR6 PTCH1 VSTM2L	ADCY1 MAP6 STXBP1	EFNB3 GFRA3 LGR6 PAX6 PTCH1 ROBO1 RTN4RL1 TMEFF1 VASH2			BOC BRSK1 CHL1 DOK6 DRD2 EFNB3 ETV1 GAP43 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SPP1 SPTBN4 TUBB2B UCHL1	BRSK1 DSCAML1 ETV1 ISL1 JAM3 MAP6 UCHL1	CNR1 CSF1R SPTBN4 STXBP1	EFNB3 MAP1A MAP6 RET SCN1B TMEFF1
GO_BEHAVIOR	C1QL1 PRKCG SEZ6 SNAP25 UNC79	ATP6V1B1 BRSK1 C1QL1 NR4A3 SLC12A5 SNAP25 TTBK1 UNC79	AGT ASIC4 CNR1 DACH1 ETV1 MAP1A NEUROD2 NR4A3 PCDH17 PRKCG TMOD2 UNC79	ADCY1 APLN BCL2 BRS3 DRD2 EPHA4 TMOD2	ADCY1 MCOLN3 NPTX2 PRKCG	ATP6V1B1 DNAH11 EFNB3 MCOLN3 NEGR1 NPY		ADORA2A BRSK1 NDRG4 NPY SNAP25 SPTBN4	AGT ASIC4 BRS3 BRSK1 CEND1 CHL1 DRD2 EFNB3 ETV1 GNAO1 LMX1A MAP1A MCOLN3 MDK NDRG4 NEUROD2 SEZ6 SLC12A5 SNAP25 SPTBN4 UCHL1	ADORA2A AGT ASIC4 BRSK1 C1QL1 CEND1 ETV1 GHRL MDK NDRG4 NPTX2 SEZ6 UCHL1	C1QL1 CNR1 NEGR1 SPTBN4	AGT APLN ATP6V1B1 BRS3 DACH1 EFNB3 MAP1A MDK SEZ6
GO_CATION_CHANNEL_COMPLEX	DLG2 KCNB2 KCNJ2 SNAP25 STX1A	CACNA1C CNIH2 DLG2 KCNG1 KCNIP3 KCNJ11 SNAP25	CACNA1C CACNB2 KCNB2 KCNJ2 SCN1B					DLG2 GRIK5 SNAP25	ABCC8 CACNA1A CACNA1C CNIH2 DLG2 DPP10 GRIK5 HCN4 KCNB2 KCNIP3 KCNMA1 KCNMB2 SCN1B SNAP25 STX1A	CACNA1C DLG2 KCNH2 KCNJ6	GRIK5 KCNG1	CNIH2 CPT1C HCN4 KCNH2 KCNJ11 SCN1B
GO_CELLULAR_COMPONENT_MORPHOGENESIS	BRSK2 CAMK2B GAP43 GFRA3 PMP22 SPP1 SRCIN1 TUBB2B	BRSK1 BRSK2 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 RASAL1	ANK2 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1 TMOD2	ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 HECW2 LGR6 PTCH1 TMOD2 UNC13A VSTM2L		EFNB3 GFRA3 LGR6 PAX6 PGM5 PMP22 PROX1 PTCH1 ROBO1 TMEFF1		ADORA2A BRSK1 ISL1 KIF1A RNF157 SPTBN4	ANK2 BOC BRSK1 CHL1 DOK6 DRD2 EFNB3 ENPP2 ETV1 GAP43 ISL1 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC RASAL1 RET SCN1B SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A BRSK1 DSCAML1 ETV1 ISL1 MAP6 MDK PMP22 RASAL1 UCHL1		CAMK2B EFNB3 LZTS1 MAP1A MAP6 MDK RET SCN1B TMEFF1
GO_CELL_BODY	DLG2 GAP43 IGSF9B KCNB2 KCNJ2 SEZ6 SLC8A1 SRCIN1 TRPM2	CACNA1C CDK5R1 CNGA3 DLG2 DNER KCNJ11 MAP2 RTN4RL1 SLC12A5 TTBK1	APOB CACNA1C CNGA3 CPLX2 KCNB2 KCNJ2 KIF5A MAP1A MAP1B PCSK2 PTPRN RET SCN1B SLC8A1 SRCIN1 SST SV2A	ATP1A3 BRS3 CRMP1 DRD2 EPHA4 GAP43 SST TRPM2			DDN IGSF9B MAPK10 RNF157 SRCIN1	ADORA2A DDN DLG2 GRIK5 KIF1A RNF157 SORCS2 SPTBN4 SST	ATP1A3 BRS3 CACNA1A CACNA1C CPLX2 DLG2 DNER DRD2 GAP43 GNAO1 GRIK5 KCNB2 KIF5A MAP1A MAP1B MAP2 MAPK10 PCSK2 RET SCN1B SEZ6 SLC12A5 SPTBN4 SRCIN1 SV2A UCHL1	ADORA2A CACNA1C CNGA3 DLG2 IGSF9B PCSK2 PTPRN SEZ6 UCHL1	ATP1A3 CPLX2 GRIK5 SPTBN4	BRS3 DDN KCNJ11 LZTS1 MAP1A MAPK8IP1 RET SCN1B SEZ6
GO_CELL_CELL_SIGNALING	BRSK2 CAMK2B CHRM4 COLQ DLG2 IGSF9B ILDR2 MPP2 PMP22 PRKCG RGS4 SEZ6 SNAP25 SPP1 STX1A SV2B SYN1 TUBB2B UCN3	BAIAP3 BRSK1 BRSK2 CACNA1C CDK5R1 CNIH2 DLG2 KCNJ11 LIN7A PLCL1 RAPGEF4 RFX6 SLC12A5 SNAP25 SYN1 SYP	AGT ANK2 BAIAP3 BSN CACNA1C CACNB2 CHRM4 CNR1 CPE CPLX2 FGF17 GRAP2 KIF5A LGR6 MAP1A MAP1B NEUROD2 PCDH17 PRKCG PTPRN RGS4 RIMBP2 SCN1B SFRP1 SST SSTR3 STXBP5L SV2A SV2B SYP TMOD2 UCN3	ADCY1 APLN CXXC4 DRD2 EPHA4 FFAR2 FGF17 GABBR2 GABRB3 KCNK3 LGR6 NKD1 SST TMOD2 UCN3 UNC13A	ADCY1 CHGA NPTX2 PRKCG STX1A STXBP1 STXBP5L SYT5	CACNA1C CHGA COLQ EFNB3 LGR6 NKD1 NPY PCSK1 PMP22 PTPRN SST SV2B	CADPS DLL1 FGF17 IGSF9B NKD1 PLCL1 PTHLH SFRP1 WNT9A	ADORA2A AMPH BRSK1 CXXC4 DLG2 GRIK5 ILDR2 ISL1 LIN7A NPY SNAP25 SORCS2 SST	ABCC8 AGT AMPH ANK2 BAIAP3 BRSK1 BSN CACNA1A CACNA1C CHGA CNIH2 COLQ CPLX2 DLG2 DRD2 EFNB3 FGF14 FGF17 FGF9 GNAO1 GNG2 GRIK5 HCN4 ISL1 KIF5A MAP1A MAP1B MDK MPP2 NEUROD2 PCSK1 PLCL1 RAB26 RGS4 SCGN SCN1B SEZ6 SLC12A5 SNAP25 SPP1 STX1A STXBP5L SV2A SV2B SYP TUBB2B UCN3 VGF	ADORA2A AGT BAIAP3 BRSK1 CACNA1C CPE DLG2 GHRL IGSF9B ISL1 KCNK3 MDK MPP2 NEUROD1 NPTX2 PCSK1 PLCG2 PMP22 PTPRN RAB26 RFX6 SEZ6 SYN1 VGF	CHRM4 CNR1 CPE CPLX2 CSF1R GRIK5 NKD1 SSTR3 STXBP1 SYP WNT9A	AGT AMER3 APLN CAMK2B CNIH2 EFNB3 FGF14 HCN4 ITPR1 KCNJ11 LZTS1 MAP1A MDK MPP2 PTHLH SCGN SCN1B SEZ6 SYP VGF
GO_CELL_MORPHOGENESIS	BRSK2 CAMK2B DCHS1 GAP43 GFRA3 SPP1 SRCIN1 TMEFF2 TUBB2B	BRSK1 BRSK2 CDHR3 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 RASAL1	CABP4 CDHR1 CDHR3 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1	ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 HECW2 LGR6 PTCH1 SPARC UNC13A VSTM2L		CABP4 EFNB3 GFRA3 LGR6 PAX6 PROX1 PTCH1 ROBO1 SPARC TMEFF1	CABP4 DCHS1 EPHB3 RASAL1 RNF157 SRCIN1	ADORA2A BRSK1 ISL1 ITGA7 KIF1A RNF157 SPTBN4	BOC BRSK1 CDHR3 CHL1 DOK6 DRD2 EFNB3 ENPP2 ETV1 GAP43 ISL1 ITGA7 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC PALMD RASAL1 RET SCN1B SPP1 SPTBN4 SRCIN1 TMEFF2 TUBB2B UCHL1	ADORA2A BRSK1 CABP4 DCHS1 DSCAML1 ETV1 ISL1 MAP6 MDK RASAL1 UCHL1		CAMK2B CDH22 EFNB3 LZTS1 MAP1A MAP6 MDK RET SCN1B TMEFF1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	BRSK2 CAMK2B GAP43 GFRA3 SPP1 SRCIN1 TMEFF2 TUBB2B	BRSK1 BRSK2 CDK5R1 DSCAML1 MAP2 MAP6 NR4A3	CABP4 CDHR1 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1	ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 HECW2 LGR6 PTCH1 VSTM2L	ADCY1 CABP4 MAP6 STXBP1	CABP4 EFNB3 GFRA3 LGR6 PAX6 PROX1 PTCH1 ROBO1 TMEFF1		BRSK1 ISL1 KIF1A SPTBN4	BOC BRSK1 CHL1 DOK6 DRD2 EFNB3 ETV1 GAP43 ISL1 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC RET SCN1B SPP1 SPTBN4 SRCIN1 TMEFF2 TUBB2B UCHL1	BRSK1 CABP4 DSCAML1 ETV1 ISL1 MAP6 MDK UCHL1	COL22A1 CSF1R SPTBN4 STXBP1	CAMK2B EFNB3 LZTS1 MAP1A MAP6 MDK RET SCN1B TMEFF1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	BRSK2 CAMK2B GAP43 GFRA3 SPP1 SRCIN1 TUBB2B	BRSK1 BRSK2 CDK5R1 DSCAML1 MAP2 MAP6 NR4A3	CABP4 CDHR1 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1	ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 HECW2 LGR6 PTCH1 VSTM2L	ADCY1 CABP4 MAP6 STXBP1	CABP4 EFNB3 GFRA3 LGR6 PAX6 PTCH1 ROBO1 TMEFF1		BRSK1 ISL1 KIF1A SPTBN4	BOC BRSK1 CHL1 DOK6 DRD2 EFNB3 ETV1 GAP43 ISL1 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	BRSK1 CABP4 DSCAML1 ETV1 ISL1 MAP6 UCHL1		CAMK2B EFNB3 LZTS1 MAP1A MAP6 RET SCN1B TMEFF1
