	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	0.839497969312	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYL_NUCLEOTIDE_BINDING	1	1	1	1	1	1	1	1	1	1	1	0.319783433356	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.361743950982	1	1	0.216772619752	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	0.0	1	1	1	0.0	0.0	1	1	0.0	1	1	0.0	0.01129989671	0.0	0.0	1	0.810377092203	1	0.0	1	1	0.0	1	0.612127702571	0.0144253876715	1	0.0	1	0.0	0.0	1	0.0	0.196028735229	1	1	0.824857843029
GO_AXON_DEVELOPMENT	1	0.00144343178157	1	1	1	0.0	1	1	1	0.0162645764503	1	1	0.0624759361658	0.467705818712	1	1	1	1	1	0.000181166672533	1	1	0.398414921992	1	1	1	1	1	1	0.000594227219857	0.0915238226454	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	0.674626738092	1	1	0.00173008369157	1	1	1	1	1	1	0.0124115923506	1	1	0.0049271658637	1	1	1	1	1	1	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.565544070806	1	1	1	0.00473862361211	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.331273521211	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.363551263247	1	1	1	1	1	1	1	1	1	1	1	0.613503663553	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.450226881297	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.787173999255	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.000206695987342	1	1	9.30694803891e-06	0.133657608631	1	1	0.00168134611934	1	1	1	1	0.00358964570867	4.84428601899e-07	1	1	1	0.169312516016	1	1	1	0.0919513245006	1	0.0172648117394	1	0.50725740253	1	1	0.000807291390499	1	1	1	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	0.0256229687146	1	1	1	0.880452081182	0.44859504469	1	0.131341473182	1	1	0.350229159536	1	1	0.014824687831	1	1	1	0.00999651413015	1	1	1	0.455126914553	1	0.318625124576	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	0.135139699608	1	1	1	1	1	0.0273576710138	1	1	1	1	1	1	1	0.0452642602157	1	0.265488717062	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.207530674612	1	1	1	1	1	1	1	1	1	1	1	1	0.0012697401177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_TRANSPORT	1	1	0.70149085238	1	1	1	1	1	1	0.268863936246	1	1	1	1	1	0.0168271866	1	1	1	1	1	1	1	0.491992425031	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	0.000540337606745	1	1	1	0.0	1	1	1	0.272340440331	1	1	0.192102679574	0.236377970903	1	1	1	1	1	0.0119356140307	1	1	0.00334802210525	1	1	1	1	1	1	0.00260012924177	0.000180611330428	1	1	1	1	1	1
GO_CELL_BODY	1	0.0121096095806	1	1	1	4.71732855833e-06	1	1	1	3.43340574045e-05	1	1	1	1	0.0790060969732	0.0	0.266348729935	1	1	0.00233162157382	1	1	0.0	1	1	0.0172793924983	0.833390607336	0.00109752420219	1	0.000870755571947	6.35064857448e-05	1	0.000334277170393	1	1	1	1
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00875501047155	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_CELL_SIGNALING	1	0.114918431262	1	0.071563267352	1	0.0	0.00200996674234	1	1	0.000705055318147	1	1	0.000415348061932	0.00572208101917	0.00542315559481	4.41986405675e-06	1	1	1	0.000287457157579	1	1	0.00131809904173	1	1	0.1195948178	1	0.103473060818	1	0.064970328921	0.0	1	1	0.0167907067075	1	1	1
GO_CELL_JUNCTION_ORGANIZATION	1	1	1	1	1	0.0429992495156	1	1	1	1	1	1	0.00420398072221	1	1	1	1	1	1	0.137036172677	1	1	0.0744438817617	0.00390346536799	1	1	1	0.0186456500438	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS	1	0.014858346524	1	1	1	0.000337326347138	1	1	1	0.794386065369	1	1	1	1	1	1	1	1	1	0.000627731220082	1	1	0.105206921301	1	1	1	1	1	1	1	0.105206921301	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	0.0137263437831	1	1	1	2.16089828446e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000175549690898	1	1	0.057076995372	1	1	1	1	1	1	1	0.0143852989485	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	0.00357006074627	1	1	1	0.0	1	1	1	0.665876672634	1	1	0.162764827666	1	1	1	1	1	1	0.00019060990838	1	1	0.0116227300465	1	1	1	1	1	1	0.0343258585172	0.00251102830177	1	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	0.000754395411579	1	1	1	5.15155393297e-05	1	1	1	0.113288747139	1	1	0.20323038089	0.279289489565	1	1	1	1	1	0.00802550896033	1	1	0.0146299754527	1	1	1	1	1	1	0.0228898212235	0.0146299754527	1	1	1	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	0.285949515352	1	1	0.0082031483284	6.75427438299e-05	1	1	1	0.0068627489582	1	1	0.0407413869913	5.38503696745e-05	1	0.0810226244068	1	1	1	0.00152725652108	1	1	0.000598359286899	1	1	1	0.148970044073	5.06988007704e-05	1	1	0.00191211729327	1	1	0.207765089949	0.67880681418	1	1
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	1	0.371734051778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.677128017098	0.00228357074106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00449271831806	1	1	1	1	1	1
GO_CYTOSKELETAL_PROTEIN_BINDING	1	1	1	1	1	0.000653548114428	1	1	1	1	1	1	1	1	0.623485782516	0.029235775225	1	1	1	1	1	1	1	1	1	1	1	0.204922157633	1	1	1	1	1	1	1	1	0.66109055967
GO_DENDRITIC_TREE	1	0.000999084645135	1	1	1	3.31315277546e-06	1	1	1	0.0445074552615	1	1	2.02477611397e-05	0.00455694453085	2.32043963904e-05	0.0	1	1	1	1	1	1	0.000159443699715	1	1	1	0.33567437406	0.000129878368892	1	0.222817518574	0.0	1	0.00336472162096	1	1	1	1
GO_DISTAL_AXON	1	0.0521951709722	1	1	1	0.000101743472837	0.000988890578435	1	1	0.0254526009888	1	1	1	1	1	0.0	1	1	1	0.049796195273	1	1	0.00938839649395	1	1	1	1	0.000861300046032	1	1	0.000173480180446	1	1	1	1	1	0.026683806317
GO_GATED_CHANNEL_ACTIVITY	1	1	0.000237992737899	1	1	1.63565155851e-05	0.15193163861	1	1	0.000280362821905	1	1	0.478196629608	1	0.000748587172106	9.41310935876e-06	1	1	1	0.0390453395005	1	1	1	0.0137368931366	1	0.019592915249	1	0.118679542758	1	1	0.000146771581508	1	1	1	1	1	1
GO_GLUTAMATERGIC_SYNAPSE	1	0.0771901410842	1	1	1	1	1	1	1	0.217290636383	1	1	1	1	1	0.841008417526	1	1	1	0.0246568353433	1	1	0.0184494092548	1	1	1	1	1	1	1	0.530756065579	1	1	0.607683235579	1	1	1
GO_HEAD_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	0.893681846863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HEART_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0406730005619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00509267785006	1	1	1	1	1	1
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.539531567427	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	0.19957538604	1	1	1	1	1	1	1	1	1	1	1	1	0.000159986160923	1	1	1	1	1	1	1	1	1	0.0510584321592	1	1	1
