	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_ACTION_POTENTIAL	0	0	4	4	0	12	5	6	4	4	0	4	6	0	9	10	2	3	3	8	4	3	6	7	0	5	0	6	0	0	8	6	6	7	0	0	0
GO_ADENYL_NUCLEOTIDE_BINDING	0	0	18	21	15	35	25	22	13	27	8	24	0	29	0	30	0	18	13	36	0	0	34	17	0	18	28	34	0	23	37	27	0	28	9	0	22
GO_ADULT_BEHAVIOR	0	4	4	6	5	10	7	6	5	7	0	3	6	4	6	9	4	4	3	10	3	2	11	5	5	10	6	7	0	7	7	4	5	6	3	0	0
GO_AXON	9	31	15	13	13	40	33	19	11	30	7	12	32	26	34	46	8	18	9	35	8	4	32	14	15	22	19	41	0	29	37	17	30	24	7	4	16
GO_AXON_DEVELOPMENT	4	23	8	12	9	34	19	11	9	21	4	9	23	21	20	23	6	12	0	29	6	4	21	9	7	16	17	21	0	22	22	15	16	20	4	3	7
GO_BEHAVIOR	0	17	8	8	12	20	18	12	9	19	4	7	23	15	21	30	9	10	10	23	0	4	25	13	10	22	12	20	3	16	21	12	17	17	6	0	11
GO_BIOLOGICAL_ADHESION	8	28	13	19	20	41	24	29	16	27	15	21	38	30	37	40	0	22	15	44	13	7	32	32	17	23	26	36	6	29	34	32	34	37	11	6	13
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	2	0	2	2	3	3	0	0	0	0	0	0	0	0	3	0	0	0	2	4	0	3	0	0	0	2	0	0	4	2	0	2	2	5	0	0	0
GO_CALCIUM_ION_BINDING	9	18	10	10	10	20	17	11	0	14	8	8	20	17	17	19	7	10	8	28	6	8	12	16	0	13	15	20	5	16	20	23	18	20	5	6	8
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2	4	0	0	4	6	6	0	0	5	2	0	4	0	7	7	2	0	0	6	0	0	4	9	0	3	0	6	0	4	5	4	6	6	0	3	0
GO_CARDIAC_CONDUCTION	0	0	3	5	4	8	8	0	0	8	0	4	5	4	9	12	0	5	3	9	4	0	9	8	0	7	5	10	0	5	11	5	5	7	0	2	0
GO_CATION_CHANNEL_ACTIVITY	0	12	15	6	8	25	17	12	5	18	5	8	16	10	21	25	7	12	6	19	7	0	15	14	5	16	6	18	0	8	20	12	15	15	0	3	8
GO_CATION_CHANNEL_COMPLEX	0	9	11	4	0	14	13	12	0	13	4	4	14	8	12	17	4	7	0	17	4	0	9	11	5	12	0	10	0	8	12	5	12	8	0	2	4
GO_CATION_TRANSMEMBRANE_TRANSPORT	0	18	17	9	14	27	24	14	0	26	8	9	23	19	27	35	6	13	7	29	9	0	22	23	8	24	15	27	0	15	26	17	21	19	6	5	11
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	13	16	8	10	26	19	12	0	19	5	8	17	12	24	31	7	12	7	23	7	0	18	16	7	19	11	22	0	10	22	15	17	17	0	3	10
GO_CATION_TRANSPORT	0	19	21	14	16	35	31	0	0	30	8	0	29	24	31	42	8	17	0	33	10	0	28	25	0	27	18	32	0	18	30	21	28	24	9	5	13
GO_CELLULAR_COMPONENT_MORPHOGENESIS	6	29	10	17	13	40	25	14	13	24	7	11	28	27	24	28	11	17	0	33	11	6	30	14	9	17	22	27	0	26	32	21	22	23	8	0	8
GO_CELL_BODY	7	23	13	9	11	34	20	17	9	26	5	9	21	15	26	35	11	14	9	29	10	4	31	12	11	21	19	29	0	23	28	13	27	21	9	4	10
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	6	0	0	7	5	11	0	8	6	10	7	9	12	7	9	13	3	7	6	14	0	6	9	14	4	6	7	8	5	11	11	9	11	13	0	4	4
GO_CELL_CELL_SIGNALING	15	41	25	30	20	66	48	33	17	44	0	19	52	48	54	61	15	28	20	58	14	15	49	31	20	37	29	51	6	38	59	37	42	47	12	10	23
GO_CELL_JUNCTION_ORGANIZATION	11	19	12	11	12	31	20	13	10	21	7	10	29	23	26	27	8	12	0	29	7	9	26	22	0	12	15	30	5	15	23	19	20	24	7	8	10
GO_CELL_MORPHOGENESIS	8	31	14	19	14	43	28	16	11	27	10	11	28	27	27	31	11	17	0	41	11	7	32	16	10	19	22	29	0	24	32	22	25	28	11	0	0
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	5	26	10	15	12	37	22	12	10	22	7	9	25	23	19	26	9	16	0	35	8	6	27	14	9	16	20	24	0	21	28	18	19	21	8	0	8
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	5	24	9	15	12	36	20	10	10	20	7	9	24	21	19	22	9	15	6	31	8	6	25	13	8	16	19	24	0	21	26	16	17	20	7	3	7
GO_CELL_PART_MORPHOGENESIS	6	27	10	16	12	36	22	12	11	23	7	10	26	25	22	24	11	15	0	31	10	6	27	12	8	17	20	26	0	23	27	18	19	22	8	3	0
GO_CELL_PROJECTION_ORGANIZATION	11	37	16	24	28	57	38	28	16	39	11	18	44	49	40	49	13	24	14	52	21	9	46	22	18	28	35	54	0	32	45	36	34	41	19	5	16
