	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_4_IRON_4_SULFUR_CLUSTER_BINDING																																					RSAD2 RTEL1													
GO_9PLUS0_NON_MOTILE_CILIUM							RD3 SSTR3 USH1G	CDHR1 CERKL MAP1B SSTR3 TTLL6								CERKL USH1G																							CERKL MAP1B TTLL6 VCAN											
GO_9PLUS2_MOTILE_CILIUM									CCDC181 DRD2							CCDC181 TTC25						DNAH11 PMFBP1						CD52 DNAH11 DRD2 TTC25												CCDC181 DRD2										
GO_ACETYLCHOLINE_BINDING											CHRNA3 CHRNB2																																							
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY											CHRNA3 CHRNB2																																							
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX											CHRNA3 CHRNB2																																							
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY											CHRNA3 CHRNB2																				CHRM4 CHRNB4						CHRM4 HRH3													
GO_ACIDIC_AMINO_ACID_TRANSPORT		SNAP25 STX1A												STX1A STXBP1																		ADORA2A SNAP25					CPLX1 HRH3													
GO_ACID_SECRETION								SLC26A7 SV2A		GHRL TFF2									DRD2 SLC26A7												DRD2 TFF2								DRD2 SV2A TFF2											
GO_ACROSOMAL_VESICLE		ICA1L SV2B					ICA1L SV2B												DRD2 STK31			ICA1L STK31 SV2B									DRD2 STK31						DRD2 STK31 SV2B													
GO_ACTININ_BINDING																																											ADORA2A CACNA1C							
GO_ACTIN_BASED_CELL_PROJECTION		FMN2 GAP43 SRCIN1						AKR1B1 DPEP1 JAM3 SRCIN1	EPHA4 GAP43 TENM2														AKR1B1 FMN2 SRCIN1			EPHA4 SRCIN1													AKR1B1 DPEP1 FMN2 GAP43 JAM3 MAP2 NFASC SRCIN1											
