	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02157522376520371	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	1	1	1	1	0.004907742528986292	0.0029757004975844437	1	1	1	1	1	1	1	0.04633321366753895	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.049369548405342134	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS2_MOTILE_CILIUM	1	1	1	1	1	1	1	1	0.07954030579928051	1	1	1	1	1	1	0.03599205981819831	1	1	1	1	1	0.05706353168001144	1	1	1	1	1	0.00040861872699382573	1	1	1	1	1	1	1	1	1	1	1	0.03599205981819831	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	1	1	1	1	1	1	0.00023269557729088675	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.0003568072228109509	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	0.0003568072228109509	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.0006823126273964863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0031956077652478543	1	1	1	1	1	0.006207136093869359	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	0.022607213911150836	1	1	1	1	1	1	1	1	1	1	1	0.008197105602851584	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010957443941008727	1	1	1	1	0.05633299574637207	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACID_SECRETION	1	1	1	1	1	1	1	0.036960869254582196	1	0.0015269386514722427	1	1	1	1	1	1	1	1	0.001646762927695944	1	1	1	1	1	1	1	1	1	1	1	0.01185978377862229	1	1	1	1	1	1	1	0.008961510509757464	1	1	1	1	1	1	1	1	1	1	1
GO_ACROSOMAL_VESICLE	1	0.05444807898896986	1	1	1	1	0.03330220219020985	1	1	1	1	1	1	1	1	1	1	1	0.011235996064164588	1	1	0.0060580568012142955	1	1	1	1	1	1	1	1	0.0722226706802358	1	1	1	1	1	0.02437446360169726	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTININ_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014967531624212826	1	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	0.03530773494087591	1	1	1	1	1	0.07058540743375175	0.05443397706342834	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02150988063962156	1	1	0.06032697837457324	1	1	1	1	1	1	1	1	1	1	1	1	0.00166686949653716	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_BINDING	1	1	0.04759835536486867	1	0.012747941006833297	1	0.09487937737818708	0.0010856485801132854	0.09060741597872479	1	0.04122195826529351	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0580092763875073	0.07166720714127672	0.09487937737818708	1	1	1	1	1	1	1	1	1	1
