TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ARNT2	ACBD7	0.052045	17	0	rgb(217,217,217)	1.3201	None
NR4A3	ACBD7	0.035399	15	0	rgb(217,217,217)	1.2801	None
ARNT2	AKT3	0.98827	50.86	0.857	rgb(226, 53, 55)	1.9974	None
NR4A3	AKT3	0.82433	50.42	0.419	rgb(222,137,138)	1.9886	None
ARNT2	ATP8B2	0.89765	50.64	0.644	rgb(224, 94, 95)	1.993	None
NR4A3	ATP8B2	0.27869	32	0	rgb(217,217,217)	1.6201	None
ARNT2	BASP1	0.65399	47.25	0.267	rgb(220,166,167)	1.9252	None
NR4A3	BASP1	0.10777	20	0	rgb(217,217,217)	1.3801	None
ARNT2	BC033961	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
NR4A3	BC033961	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ARNT2	BC042451	-0.41817	38.32	-0.32	rgb(147,174,229)	1.7465	2,2
NR4A3	BC042451	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
ARNT2	BRSK2	0.64986	47.47	0.468	rgb(222,128,129)	1.9296	None
NR4A3	BRSK2	0.59397	46.21	0.214	rgb(219,176,177)	1.9044	None
ARNT2	C1orf110	-0.35828	35.32	-0.32	rgb(147,174,229)	1.6865	2,2
NR4A3	C1orf110	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ARNT2	CABP4	0.10029	19	0	rgb(217,217,217)	1.3601	None
NR4A3	CABP4	0.94403	50.71	0.709	rgb(225, 82, 83)	1.9944	None
ARNT2	CACNA1H	0.86254	50.53	0.528	rgb(223,116,117)	1.9908	None
NR4A3	CACNA1H	0.80768	50.36	0.363	rgb(221,148,148)	1.9874	None
ARNT2	CCDC40	0.94031	50.7	0.701	rgb(225, 83, 84)	1.9942	None
NR4A3	CCDC40	0.84337	50.48	0.481	rgb(222,125,126)	1.9898	None
ARNT2	CDKN1C	-0.89938	50.65	-0.65	rgb( 76,131,242)	1.9932	None
NR4A3	CDKN1C	0.94031	50.7	0.7	rgb(225, 83, 85)	1.9942	None
ARNT2	CELF5	0.90913	50.63	0.635	rgb(224, 96, 97)	1.9928	None
NR4A3	CELF5	0.45353	41.14	0.141	rgb(219,190,190)	1.803	None
ARNT2	CEND1	-0.68344	48.09	-0.092	rgb(197,205,220)	1.942	None
NR4A3	CEND1	0.15832	24	0	rgb(217,217,217)	1.4601	None
