TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
GRHL3	AK022997	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GRHL3	AK026379	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
CBX2	AK056486	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CBX2	AK094786	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
CBX2	AK095045	0.82553	50.43	0.537	rgb(223,114,116)	1.9888	2,2
GRHL3	AK125437	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
CBX2	AK128153	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
GRHL3	ARHGEF25	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
CBX2	AX747090	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CBX2	BC041484	0.37166	36.18	0.176	rgb(219,183,184)	1.7037	2,2
GRHL3	BC041484	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CBX2	BC073932	0.42503	38.5	0.499	rgb(222,122,123)	1.7502	2,2
CBX2	BEND5	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
GRHL3	BEND5	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
GRHL3	C10orf10	0.86456	50.56	0.563	rgb(223,109,111)	1.9914	2,2
GRHL3	C17orf65	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
CBX2	C1orf110	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
GRHL3	C6orf185	0.62652	46.34	0.341	rgb(221,152,153)	1.907	2,2
CBX2	C7orf41	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
GRHL3	C9orf66	0.36353	35.46	0.465	rgb(222,128,129)	1.6893	2,2
CBX2	CA8	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
GRHL3	CA8	0.67675	47.6	0.603	rgb(224,102,103)	1.9322	2,2
GRHL3	CCDC154	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	CHL1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
GRHL3	CNR1	0.36679	35.61	0.605	rgb(224,101,103)	1.6923	2,2
CBX2	DLL3	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
GRHL3	FAM105A	0.92197	50.7	0.701	rgb(225, 83, 85)	1.9942	2,2
GRHL3	FAM19A5	0.79971	50.28	0.326	rgb(221,155,155)	1.9858	2,2
GRHL3	FLJ31662	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
GRHL3	GDF1	0.52024	43.44	0.437	rgb(222,134,134)	1.849	2,2
GRHL3	GPR133	0.42264	38.42	0.416	rgb(222,138,138)	1.7485	2,2
GRHL3	GRAMD2	0.39711	37.3	0.304	rgb(220,159,159)	1.7261	2,2
GRHL3	GRASP	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
CBX2	GUSBP3	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CBX2	LIMD2	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
GRHL3	LIMD2	0.95147	50.74	0.738	rgb(225, 76, 77)	1.995	2,2
CBX2	LINC00340	0.77951	49.78	0.778	rgb(226, 68, 70)	1.9758	2,2
GRHL3	LINC00930	0.69711	48.36	0.361	rgb(221,148,149)	1.9474	2,2
CBX2	LOC100506585	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CBX2	LOC729683	0.7261	49.28	0.284	rgb(220,163,163)	1.9658	2,2
GRHL3	LOC729683	0.92197	50.7	0.7	rgb(225, 83, 85)	1.9942	2,2
CBX2	LRRC16B	0.45832	40.23	0.234	rgb(220,172,173)	1.7848	2,2
GRHL3	LRRC16B	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
CBX2	MAPK8IP2	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
GRHL3	MUC15	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
GRHL3	MYBPC2	0.42214	38.41	0.413	rgb(222,138,139)	1.7483	2,2
CBX2	NAT8L	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
GRHL3	NAT8L	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	NCAM1	-0.44287	39.41	-0.41	rgb(128,163,233)	1.7684	2,2
GRHL3	NEURL	0.83474	50.47	0.508	rgb(223,120,121)	1.9896	2,2
GRHL3	NHLH1	0.55713	43.66	0.66	rgb(224, 91, 92)	1.8534	2,2
CBX2	NPTX2	0.98827	50.86	0.857	rgb(226, 53, 55)	1.9974	2,2
GRHL3	NPTX2	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
CBX2	PCDHB10	0.39835	38.38	0.38	rgb(221,144,145)	1.7477	2,2
GRHL3	PCDHB10	0.88819	50.62	0.625	rgb(224, 98, 99)	1.9926	2,2
CBX2	PCDHB14	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
GRHL3	PCDHB14	0.63201	46.42	0.417	rgb(222,137,138)	1.9086	2,2
CBX2	PCDHB16	0.88141	50.57	0.574	rgb(223,107,109)	1.9916	2,2
GRHL3	PCDHB16	0.91322	50.68	0.683	rgb(225, 87, 88)	1.9938	2,2
CBX2	PTCHD2	0.67794	47.63	0.627	rgb(224, 97, 98)	1.9328	2,2
GRHL3	PTHLH	0.34209	34.3	0.3	rgb(220,160,160)	1.6661	2,2
CBX2	RIC3	0.75613	49.54	0.539	rgb(223,114,115)	1.971	2,2
GRHL3	SDPR	0.35787	35.31	0.311	rgb(220,158,158)	1.6863	2,2
CBX2	SEPT3	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CBX2	SGOL1-AS1	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
GRHL3	TMEM35	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
CBX2	TNFSF14	0.70512	48.56	0.564	rgb(223,109,110)	1.9514	2,2
GRHL3	TUBB4A	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
GRHL3	UNQ2560	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
GRHL3	ZCCHC12	0.84192	50.49	0.494	rgb(222,123,124)	1.99	2,2
CBX2	ZNF492	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
