TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CXXC4	AFF2	0.64717	47.44	0.44	rgb(222,133,134)	1.929	2,2
CXXC4	AK022997	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	AK026379	-0.48934	41.36	-0.36	rgb(138,169,231)	1.8074	2,2
CXXC4	AK091624	-0.35262	35.17	-0.17	rgb(179,194,224)	1.6835	2,2
CXXC4	AK092048	-0.42681	38.57	-0.57	rgb( 93,142,239)	1.7516	2,2
CXXC4	AK123868	0.46828	41.45	0.453	rgb(222,130,131)	1.8092	2,2
CXXC4	APOB	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
CXXC4	ATCAY	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
CXXC4	AX746995	-0.51578	42.36	-0.36	rgb(138,169,231)	1.8274	2,2
CXXC4	AX748292	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
CXXC4	BC033961	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CXXC4	BC042374	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
CXXC4	C19orf26	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CXXC4	C7orf41	0.39612	38.32	0.32	rgb(221,156,157)	1.7465	2,2
CXXC4	C9orf66	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
CXXC4	CECR6	0.9665	50.77	0.775	rgb(226, 69, 71)	1.9956	2,2
CXXC4	DKFZp586B1922	-0.49723	41.56	-0.56	rgb( 96,144,238)	1.8114	2,2
CXXC4	DOCK4	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	FAM196A	0.59265	46.19	0.186	rgb(219,181,182)	1.904	2,2
CXXC4	GPR133	0.38505	38.09	0.092	rgb(218,199,200)	1.7419	2,2
CXXC4	GPR64	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	GRAMD2	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
CXXC4	IGSF21	0.068278	17	0	rgb(217,217,217)	1.3201	None
CXXC4	ITGA4	-0.71293	48.53	-0.53	rgb(102,147,237)	1.9508	2,2
CXXC4	KAL1	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
CXXC4	KIAA1456	0.41549	39.33	0.329	rgb(221,154,155)	1.7668	2,2
CXXC4	LIMD2	-0.53007	42.67	-0.67	rgb( 72,129,242)	1.8336	2,2
CXXC4	LOC100130000	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
CXXC4	LOC100188947	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
CXXC4	LOC646903	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	NAT8L	0.48674	42.32	0.315	rgb(220,157,157)	1.8266	2,2
CXXC4	NHLH1	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
CXXC4	NTNG2	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
CXXC4	PTHLH	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
CXXC4	RAB39B	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	S100G	-0.46658	40.42	-0.42	rgb(126,161,233)	1.7886	2,2
CXXC4	SCN3A	0.35907	36.42	0.422	rgb(222,136,137)	1.7085	2,2
CXXC4	SMA	0.57051	45.33	0.327	rgb(221,155,155)	1.8868	2,2
CXXC4	SMA5	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
CXXC4	SPDYE8P	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CXXC4	SSTR3	0.77204	49.63	0.626	rgb(224, 97, 99)	1.9728	None
CXXC4	TCP11X2	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
CXXC4	TMEM35	-0.36353	35.46	-0.46	rgb(117,156,234)	1.6893	2,2
CXXC4	TRPA1	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
CXXC4	XAF1	0.64585	47.43	0.428	rgb(222,135,136)	1.9288	2,2
CXXC4	ZNF382	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
