TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ETV1	AB074188	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
FEV	AB074188	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
MAFB	AB074188	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
MAFB	ABCA9	0.068278	17	0	rgb(217,217,217)	1.3201	None
ETV1	ABCC8	0.84998	50.5	0.496	rgb(222,122,123)	1.9902	None
FEV	ABCC8	0.25535	29	0	rgb(217,217,217)	1.5601	None
MAFA	ACBD7	0.084387	19	0	rgb(217,217,217)	1.3601	None
MAFB	ACBD7	-0.60987	46.45	-0.45	rgb(119,158,234)	1.9092	None
RFX6	ACBD7	0.79971	50.28	0.275	rgb(220,164,165)	1.9858	None
ETV1	ACSL6	0.19533	25	0	rgb(217,217,217)	1.4801	None
FEV	ACSL6	-0.44824	40.55	-0.55	rgb( 99,145,238)	1.7912	None
MAFA	ACSL6	0.29533	33	0	rgb(217,217,217)	1.6401	None
RFX6	ACSL6	0.12321	21	0	rgb(217,217,217)	1.4001	None
ETV1	ACSS3	0.24796	30	0	rgb(217,217,217)	1.5801	None
FEV	ACSS3	0.99587	50.92	0.92	rgb(227, 41, 43)	1.9986	None
MAFA	ACSS3	0.092482	18	0	rgb(217,217,217)	1.3401	None
SPIB	ACSS3	0.076869	18	0	rgb(217,217,217)	1.3401	None
ETV1	ACTG1P4	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
FEV	ACTG1P4	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
MAFA	ACTL6B	0.29533	33	0	rgb(217,217,217)	1.6401	None
MAFB	ACTL6B	0.38294	38.01	0.008	rgb(217,216,216)	1.7403	None
ETV1	ADAM12	-0.46117	40.29	-0.29	rgb(155,179,228)	1.786	None
FEV	ADAM12	0.73284	49.2	0.546	rgb(223,113,114)	1.9642	None
MAFA	ADAM12	0.43362	39.2	0.205	rgb(219,178,178)	1.7642	None
MAFB	ADAM12	0.32805	35	0	rgb(217,217,217)	1.6801	None
RFX6	ADAM12	0.98563	50.89	0.891	rgb(227, 47, 49)	1.998	None
SPIB	ADAM12	0.34969	36.16	0.158	rgb(219,187,187)	1.7033	None
MAFA	ADAMTSL1	0.91322	50.68	0.685	rgb(225, 86, 88)	1.9938	None
ETV1	ADAMTSL2	0.51619	43.38	0.384	rgb(221,144,144)	1.8478	None
FEV	ADAMTSL2	-0.77922	49.7	-0.7	rgb( 65,124,244)	1.9742	None
MAFA	ADAMTSL2	0.69979	48.5	0.505	rgb(223,121,122)	1.9502	None
MAFB	ADAMTSL2	0.027303	15	0	rgb(217,217,217)	1.2801	None
SPIB	ADAMTSL2	0.28724	31	0	rgb(217,217,217)	1.6001	None
FEV	ADCY1	0.30343	32	0	rgb(217,217,217)	1.6201	None
MAFA	ADCY1	0.15118	22	0	rgb(217,217,217)	1.4201	None
MAFB	ADCY1	0.55597	44.62	0.62	rgb(224, 99,100)	1.8726	None
SPIB	ADCY1	0.32805	35	0	rgb(217,217,217)	1.6801	None
FEV	ADCY2	0.28724	31	0	rgb(217,217,217)	1.6001	None
MAFA	ADCY2	0.88819	50.62	0.622	rgb(224, 98, 99)	1.9926	None
FEV	ADCY5	0.15118	22	0	rgb(217,217,217)	1.4201	None
MAFA	ADCY5	0.21727	28	0	rgb(217,217,217)	1.5401	None
FEV	ADD2	0.19533	25	0	rgb(217,217,217)	1.4801	None
MAFA	ADD2	0.12321	21	0	rgb(217,217,217)	1.4001	None
MAFB	ADD2	0.40252	38.54	0.538	rgb(223,114,115)	1.751	None
RFX6	ADD2	0.092482	18	0	rgb(217,217,217)	1.3401	None
MAFB	ADORA2A	0.61499	45.75	0.755	rgb(225, 73, 74)	1.8952	2,2
SPIB	ADORA2A	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
MAFB	AF070581	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
FEV	AF198444	-0.40983	38.11	-0.11	rgb(193,202,221)	1.7423	2,2
MAFB	AF258560	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
SPIB	AF258560	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FEV	AGT	-0.39475	37.24	-0.24	rgb(166,186,226)	1.7249	None
MAFB	AGT	0.59909	46.3	0.296	rgb(220,160,161)	1.9062	None
SPIB	AGT	0.94403	50.71	0.708	rgb(225, 82, 83)	1.9944	None
SPIB	AK022997	0.93222	50.68	0.68	rgb(224, 87, 89)	1.9938	2,2
ETV1	AK023417	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
FEV	AK023417	-0.35655	35.28	-0.28	rgb(157,180,228)	1.6857	2,2
FEV	AK024119	0.5	42.65	0.65	rgb(224, 93, 94)	1.8332	2,2
SPIB	AK024119	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
FEV	AK026379	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
SPIB	AK026379	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
MAFB	AK054990	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
SPIB	AK055694	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
FEV	AK056486	-0.87476	50.59	-0.59	rgb( 90,140,239)	1.992	2,2
RFX6	AK093555	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
SPIB	AK093555	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
FEV	AK094786	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FEV	AK095045	0.62214	46.87	0.866	rgb(227, 52, 53)	1.9176	2,2
SPIB	AK123868	0.5753	45.4	0.404	rgb(221,140,141)	1.8882	2,2
FEV	AK125301	-0.53874	43.21	-0.21	rgb(171,189,225)	1.8444	2,2
SPIB	AK125437	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
FEV	AK127443	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
FEV	AK130076	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
ETV1	AK5	0.0067328	14	0	rgb(217,217,217)	1.2601	None
FEV	AK5	0.12321	21	0	rgb(217,217,217)	1.4001	None
RFX6	AK5	0.51338	42.32	0.319	rgb(221,156,157)	1.8266	None
SPIB	AK5	0.81524	50.39	0.392	rgb(221,142,143)	1.988	None
ETV1	AKR1B1	0.73304	49.21	0.21	rgb(219,177,177)	1.9644	None
FEV	AKR1B1	-0.42561	39.71	-0.71	rgb( 62,123,244)	1.7744	None
MAFA	AKR1B1	0.786	50.13	0.126	rgb(218,193,193)	1.9828	None
MAFB	AKR1B1	-0.48104	42.24	-0.24	rgb(164,185,226)	1.825	None
SPIB	AKR1B1	-0.43292	39.16	-0.16	rgb(182,196,223)	1.7634	None
FEV	AKT3	0.98996	50.87	0.866	rgb(227, 52, 53)	1.9976	None
MAFA	AKT3	-0.88616	50.58	-0.58	rgb( 92,141,239)	1.9918	None
MAFB	AKT3	0.052045	17	0	rgb(217,217,217)	1.3201	None
SPIB	AKT3	0.18104	25	0	rgb(217,217,217)	1.4801	None
FEV	AL109792	0.52202	43.5	0.501	rgb(223,121,122)	1.8502	2,2
SPIB	AL109792	0.46778	41.44	0.435	rgb(222,134,135)	1.809	2,2
FEV	ALAS2	-0.79612	50.29	-0.33	rgb(146,174,229)	1.986	None
MAFA	ALAS2	-0.83317	50.45	-0.45	rgb(119,157,234)	1.9892	None
MAFB	ALAS2	0.60636	46.39	0.387	rgb(221,143,144)	1.908	None
SPIB	ALAS2	0.73812	49.4	0.397	rgb(221,141,142)	1.9682	None
ETV1	AMER3	0.79831	50.3	0.301	rgb(220,160,160)	1.9862	None
FEV	AMER3	0.99694	50.93	0.932	rgb(227, 39, 41)	1.9988	None
MAFA	AMER3	0.19533	25	0	rgb(217,217,217)	1.4801	None
MAFB	AMER3	0.76663	49.58	0.577	rgb(223,107,108)	1.9718	None
RFX6	AMER3	0.96943	50.78	0.84	rgb(226, 57, 58)	1.9958	None
SPIB	AMPD3	0.43511	40.25	0.254	rgb(220,168,169)	1.7852	None
ETV1	AMPH	0.91553	50.64	0.638	rgb(224, 95, 96)	1.993	None
FEV	AMPH	0.73812	49.4	0.398	rgb(221,141,142)	1.9682	None
MAFA	AMPH	0.4981	42.55	0.551	rgb(223,112,113)	1.8312	None
MAFB	AMPH	0.78422	50.03	0.03	rgb(217,211,211)	1.9808	None
ETV1	ANGPT2	0.94031	50.7	0.696	rgb(225, 84, 85)	1.9942	None
FEV	ANGPT2	-0.54812	43.41	-0.41	rgb(127,162,233)	1.8484	None
MAFA	ANGPT2	-0.46241	41.31	-0.31	rgb(149,176,229)	1.8064	None
MAFB	ANGPT2	-0.86254	50.53	-0.53	rgb(102,147,237)	1.9908	None
SPIB	ANGPT2	0.53812	44.28	0.282	rgb(220,163,164)	1.8658	None
ETV1	ANK2	0.97476	50.8	0.796	rgb(226, 65, 67)	1.9962	None
FEV	ANK2	-0.85663	50.54	-0.54	rgb(100,146,237)	1.991	None
MAFA	ANK2	0.30343	32	0	rgb(217,217,217)	1.6201	None
MAFB	ANK2	0.24796	30	0	rgb(217,217,217)	1.5801	None
RFX6	ANK2	0.98893	50.91	0.906	rgb(227, 44, 46)	1.9984	None
ETV1	ANKRD13B	0.71409	48.7	0.705	rgb(225, 82, 84)	1.9542	None
SPIB	ANKRD13B	-0.61347	46.5	-0.5	rgb(107,150,236)	1.9102	None
FEV	ANKRD45	0.61582	46.01	0.014	rgb(217,214,214)	1.9004	None
MAFB	ANKRD45	0.7133	48.68	0.702	rgb(225, 83, 84)	1.9538	None
SPIB	ANKRD45	-0.72652	48.8	-0.8	rgb( 44,112,247)	1.9562	None
ETV1	ANKRD65	0.76572	49.57	0.568	rgb(223,109,110)	1.9716	None
FEV	ANKRD65	-0.67836	47.64	-0.64	rgb( 79,133,241)	1.933	None
RFX6	ANKRD65	0.97749	50.81	0.813	rgb(226, 62, 63)	1.9964	None
SPIB	ANKRD65	0.48781	41.33	0.334	rgb(221,153,154)	1.8068	None
ETV1	AP3B2	0.092482	18	0	rgb(217,217,217)	1.3401	None
FEV	AP3B2	0.85828	50.52	0.52	rgb(223,118,119)	1.9906	None
MAFB	AP3B2	0.04399	16	0	rgb(217,217,217)	1.3001	None
ETV1	APLN	0.16638	23	0	rgb(217,217,217)	1.4401	None
MAFA	APLN	0.40851	39.16	0.155	rgb(219,187,188)	1.7634	None
MAFB	APLN	0.4202	38.36	0.355	rgb(221,149,150)	1.7473	None
SPIB	APLN	-0.56778	45.29	-0.29	rgb(154,179,228)	1.886	None
ETV1	APLP1	0.41	39.2	0.204	rgb(219,178,178)	1.7642	None
FEV	APLP1	-0.48542	41.29	-0.29	rgb(155,179,228)	1.806	None
MAFA	APLP1	-0.45489	40.14	-0.14	rgb(186,198,222)	1.783	None
RFX6	APLP1	0.94601	50.76	0.761	rgb(225, 72, 73)	1.9954	None
SPIB	APLP1	-0.42383	39.57	-0.57	rgb( 93,142,239)	1.7716	None
FEV	APOB	-0.61772	46.14	-0.14	rgb(187,199,222)	1.903	2,2
ETV1	ARHGAP9	0.13057	21	0	rgb(217,217,217)	1.4001	None
FEV	ARHGAP9	0.99157	50.92	0.918	rgb(227, 42, 44)	1.9986	None
ETV1	ARNT2	0.6893	48.39	0.386	rgb(221,143,144)	1.948	None
MAFB	ARNT2	0.10777	20	0	rgb(217,217,217)	1.3801	None
RFX6	ARNT2	0.971	50.83	0.828	rgb(226, 59, 60)	1.9968	None
FEV	ARX	0.75436	49.53	0.531	rgb(223,116,117)	1.9708	2,2
FEV	ASCL1	0.98827	50.86	0.859	rgb(226, 53, 55)	1.9974	2,2
MAFA	ASCL2	0.78765	50.08	0.34	rgb(221,152,153)	1.9818	None
MAFB	ASCL2	0.79831	50.3	0.301	rgb(220,159,160)	1.9862	None
FEV	ASIC4	-0.56691	44.25	-0.25	rgb(162,183,227)	1.8652	None
RFX6	ASIC4	0.78088	49.73	0.731	rgb(225, 77, 79)	1.9748	None
SPIB	ASIC4	0.42945	40.13	0.13	rgb(218,192,192)	1.7828	None
ETV1	ASIC5	0.64048	47.37	0.371	rgb(221,146,147)	1.9276	2,2
MAFB	ASIC5	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FEV	ATCAY	0.57559	45.41	0.41	rgb(222,139,140)	1.8884	2,2
MAFB	ATCAY	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
ETV1	ATOH8	0.66832	47.48	0.479	rgb(222,126,127)	1.9298	None
