TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXD4L5	ABCA9	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXJ1	ABCA9	-0.65271	47.5	-0.5	rgb(109,151,236)	1.9302	None
FOXD4L5	ADCY5	0.31152	34	0	rgb(217,217,217)	1.6601	None
FOXJ1	ADCY5	-0.62652	46.34	-0.34	rgb(142,172,230)	1.907	None
FOXD4L5	AK130076	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXJ1	AK130076	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FOXD4L5	ANGPT2	-0.438	40.31	-0.31	rgb(150,176,229)	1.7864	None
FOXJ1	ANGPT2	-0.80768	50.36	-0.63	rgb( 80,134,241)	1.9874	None
FOXD4L5	APLN	-0.52714	42.59	-0.59	rgb( 89,139,239)	1.832	None
FOXJ1	APLN	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXD4L5	ARNT2	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXJ1	ARNT2	0.8905	50.59	0.593	rgb(224,104,105)	1.992	None
FOXD4L5	BASP1	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXJ1	BASP1	0.67741	48.23	0.233	rgb(220,172,173)	1.9448	None
FOXD4L5	BCAT1	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXJ1	BCAT1	0.23961	28	0	rgb(217,217,217)	1.5401	None
FOXD4L5	C1orf127	0.29533	33	0	rgb(217,217,217)	1.6401	None
FOXJ1	C1orf127	-0.62763	46.35	-0.35	rgb(140,170,230)	1.9072	None
FOXD4L5	C21orf58	0.68178	48.3	0.298	rgb(220,160,161)	1.9462	None
FOXJ1	C21orf58	0.084387	19	0	rgb(217,217,217)	1.3601	None
FOXD4L5	CCDC150	-0.55006	44.48	-0.48	rgb(112,153,235)	1.8698	None
FOXJ1	CCDC150	0.27869	32	0	rgb(217,217,217)	1.6201	None
FOXD4L5	CCDC162P	-0.5247	43.59	-0.59	rgb( 90,140,239)	1.852	None
FOXJ1	CCDC162P	-0.52982	44.14	-0.14	rgb(186,198,222)	1.863	None
FOXD4L5	CCDC181	-0.5026	43.1	-0.099	rgb(196,204,221)	1.8422	None
FOXJ1	CCDC181	-0.46613	40.41	-0.41	rgb(127,162,233)	1.7884	None
FOXD4L5	CD300LF	-0.56324	45.22	-0.22	rgb(170,188,225)	1.8846	None
FOXJ1	CD300LF	0.48418	42.28	0.275	rgb(220,164,165)	1.8258	None
FOXD4L5	CELA3A	0.084387	19	0	rgb(217,217,217)	1.3601	None
FOXJ1	CELA3A	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXD4L5	CHRNB4	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXJ1	CHRNB4	0.36435	37.08	0.077	rgb(218,202,202)	1.7217	None
FOXD4L5	CIT	-0.52202	43.5	-0.5	rgb(107,150,236)	1.8502	None
FOXJ1	CIT	0.10777	20	0	rgb(217,217,217)	1.3801	None
FOXD4L5	COL12A1	0.076869	18	0	rgb(217,217,217)	1.3401	None
FOXJ1	COL12A1	0.64139	47.38	0.38	rgb(221,144,145)	1.9278	None
FOXD4L5	CSH1	-0.72962	49.11	-0.11	rgb(192,202,221)	1.9624	None
FOXJ1	CSH1	0.59756	46.27	0.271	rgb(220,165,166)	1.9056	None
FOXD4L5	CTTNBP2	-0.43618	40.27	-0.27	rgb(159,182,227)	1.7856	None
FOXJ1	CTTNBP2	0.15832	24	0	rgb(217,217,217)	1.4601	None
FOXD4L5	DLG2	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXJ1	DLG2	-0.41404	39.31	-0.31	rgb(151,177,229)	1.7664	None
FOXD4L5	DNAH11	0.438	40.31	0.309	rgb(220,158,159)	1.7864	None
FOXJ1	DNAH11	0.14469	23	0	rgb(217,217,217)	1.4401	None
FOXD4L5	DPF3	0.50231	43.09	0.086	rgb(218,201,201)	1.842	None
FOXJ1	DPF3	0.9482	50.72	0.721	rgb(225, 79, 81)	1.9946	None
FOXD4L5	DRD2	-0.52941	44.12	-0.12	rgb(190,201,222)	1.8626	None
FOXJ1	DRD2	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXD4L5	DZIP1	0.21727	28	0	rgb(217,217,217)	1.5401	None
FOXJ1	DZIP1	0.36832	37.18	0.182	rgb(219,182,183)	1.7237	None
FOXD4L5	EBF3	0.15832	24	0	rgb(217,217,217)	1.4601	None
