TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXD4L5	ABCA9	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXJ1	ABCA9	-0.65271	47.5	-0.5	rgb(109,151,236)	1.9302	None
FOXJ1	ACSL6	-0.48228	42.26	-0.26	rgb(161,183,227)	1.8254	None
FOXD4L5	ACTG1P4	0.69645	48.47	0.467	rgb(222,128,129)	1.9496	2,2
FOXD4L5	ACTL6B	-0.69645	48.47	-0.47	rgb(116,156,235)	1.9496	None
FOXD4L5	ADAM12	0.38443	38.07	0.075	rgb(218,203,203)	1.7415	None
FOXD4L5	ADAMTSL1	0.052045	17	0	rgb(217,217,217)	1.3201	None
FOXD4L5	ADAMTSL2	-0.51066	43.28	-0.28	rgb(156,180,228)	1.8458	None
FOXD4L5	ADCY1	-0.438	40.31	-0.31	rgb(150,176,229)	1.7864	None
FOXD4L5	ADCY5	0.31152	34	0	rgb(217,217,217)	1.6601	None
FOXJ1	ADCY5	-0.62652	46.34	-0.34	rgb(142,172,230)	1.907	None
FOXD4L5	ADD2	-0.562	45.19	-0.19	rgb(175,191,224)	1.884	None
FOXD4L5	AF198444	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXJ1	AK025975	0.76613	49.61	0.613	rgb(224,100,101)	1.9724	2,2
FOXD4L5	AK056486	0.55217	44.53	0.532	rgb(223,115,116)	1.8708	2,2
FOXD4L5	AK130076	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
FOXJ1	AK130076	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
FOXD4L5	AMPH	0.1881	26	0	rgb(217,217,217)	1.5001	None
FOXD4L5	ANGPT2	-0.438	40.31	-0.31	rgb(150,176,229)	1.7864	None
FOXJ1	ANGPT2	-0.80768	50.36	-0.63	rgb( 80,134,241)	1.9874	None
FOXJ1	ANK2	-0.6147	46.52	-0.52	rgb(105,149,237)	1.9106	None
FOXD4L5	APLN	-0.52714	42.59	-0.59	rgb( 89,139,239)	1.832	None
FOXJ1	APLN	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXD4L5	ARNT2	0.12321	21	0	rgb(217,217,217)	1.4001	None
FOXJ1	ARNT2	0.8905	50.59	0.593	rgb(224,104,105)	1.992	None
FOXJ1	ASCL2	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
FOXD4L5	ATOH8	0.21727	28	0	rgb(217,217,217)	1.5401	None
FOXD4L5	ATP1A3	-0.49698	42.52	-0.52	rgb(103,148,237)	1.8306	None
FOXD4L5	ATP8B2	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXD4L5	AX746485	0.51132	43.29	0.295	rgb(220,161,161)	1.846	2,2
FOXD4L5	AX746617	0.57724	45.43	0.428	rgb(222,135,136)	1.8888	2,2
FOXD4L5	AX747639	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
FOXD4L5	AX748292	0.85308	50.51	0.506	rgb(223,120,121)	1.9904	2,2
FOXD4L5	BAALC	-0.52363	42.5	-0.5	rgb(109,152,236)	1.8302	None
FOXD4L5	BAIAP3	0.4309	40.16	0.162	rgb(219,186,186)	1.7834	None
FOXD4L5	BASP1	0.20355	27	0	rgb(217,217,217)	1.5201	None
FOXJ1	BASP1	0.67741	48.23	0.233	rgb(220,172,173)	1.9448	None
FOXD4L5	BC006435	0.80768	50.36	0.357	rgb(221,149,150)	1.9874	2,2
FOXD4L5	BC019672	0.34824	36.13	0.134	rgb(218,191,192)	1.7027	2,2
FOXD4L5	BC053580	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
FOXD4L5	BCAT1	0.32805	35	0	rgb(217,217,217)	1.6801	None
FOXJ1	BCAT1	0.23961	28	0	rgb(217,217,217)	1.5401	None
FOXD4L5	BCL2	-0.88141	50.57	-0.57	rgb( 93,142,239)	1.9916	None
FOXD4L5	BOC	0.27869	32	0	rgb(217,217,217)	1.6201	None
FOXD4L5	BRS3	-0.57724	45.43	-0.43	rgb(123,160,233)	1.8888	None
FOXD4L5	BRSK2	0.49698	42.52	0.525	rgb(223,117,118)	1.8306	None
FOXJ1	C14orf132	0.82887	50.44	0.442	rgb(222,133,133)	1.989	None
FOXD4L5	C1orf127	0.29533	33	0	rgb(217,217,217)	1.6401	None
FOXJ1	C1orf127	-0.62763	46.35	-0.35	rgb(140,170,230)	1.9072	None
FOXD4L5	C21orf58	0.68178	48.3	0.298	rgb(220,160,161)	1.9462	None
