TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
FOXP2	ABCA9	-0.66171	47.39	-0.39	rgb(133,166,232)	1.928	None
SIX2	ABCA9	-0.71615	48.57	-0.57	rgb( 94,142,239)	1.9516	None
FOXP2	ADAM12	0.38364	38.06	0.055	rgb(218,206,207)	1.7413	None
SIX2	ADAM12	-0.39207	37.17	-0.17	rgb(181,195,223)	1.7235	None
FOXP2	ADCY1	-0.39104	37.13	-0.13	rgb(189,200,222)	1.7227	None
SIX2	ADCY1	-0.63309	46.43	-0.43	rgb(124,161,233)	1.9088	None
FOXP2	ADCY5	-0.46208	40.3	-0.3	rgb(153,178,228)	1.7862	None
SIX2	ADCY5	0.40938	39.18	0.179	rgb(219,183,183)	1.7638	None
FOXP2	ADD2	0.90913	50.63	0.633	rgb(224, 96, 97)	1.9928	None
SIX2	ADD2	-0.40814	38.04	-0.043	rgb(208,211,219)	1.7409	None
FOXP2	AK125437	0.84337	50.48	0.485	rgb(222,124,125)	1.9898	2,2
SIX2	AK125437	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
FOXP2	AK5	0.66126	47.59	0.592	rgb(224,104,105)	1.932	None
SIX2	AK5	0.39141	38.24	0.241	rgb(220,171,171)	1.7449	None
FOXP2	AMPD3	0.052045	17	0	rgb(217,217,217)	1.3201	None
SIX2	AMPD3	0.28724	31	0	rgb(217,217,217)	1.6001	None
FOXP2	ANKRD45	0.20355	27	0	rgb(217,217,217)	1.5201	None
SIX2	ANKRD45	0.95147	50.73	0.727	rgb(225, 78, 80)	1.9948	None
FOXP2	APLN	-0.82656	50.43	-0.43	rgb(123,160,233)	1.9888	None
SIX2	APLN	0.56704	44.26	0.256	rgb(220,168,169)	1.8654	None
FOXP2	ARNT2	0.14469	23	0	rgb(217,217,217)	1.4401	None
SIX2	ARNT2	0.035399	15	0	rgb(217,217,217)	1.2801	None
FOXP2	ASXL3	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
