TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
SIX2	AB074188	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
FOXP2	ABCA9	-0.66171	47.39	-0.39	rgb(133,166,232)	1.928	None
SIX2	ABCA9	-0.71615	48.57	-0.57	rgb( 94,142,239)	1.9516	None
SIX2	ACSL6	0.91144	50.67	0.674	rgb(224, 88, 90)	1.9936	None
FOXP2	ADAM12	0.38364	38.06	0.055	rgb(218,206,207)	1.7413	None
SIX2	ADAM12	-0.39207	37.17	-0.17	rgb(181,195,223)	1.7235	None
SIX2	ADAMTSL2	0.85663	50.54	0.535	rgb(223,115,116)	1.991	None
FOXP2	ADCY1	-0.39104	37.13	-0.13	rgb(189,200,222)	1.7227	None
SIX2	ADCY1	-0.63309	46.43	-0.43	rgb(124,161,233)	1.9088	None
FOXP2	ADCY5	-0.46208	40.3	-0.3	rgb(153,178,228)	1.7862	None
SIX2	ADCY5	0.40938	39.18	0.179	rgb(219,183,183)	1.7638	None
FOXP2	ADD2	0.90913	50.63	0.633	rgb(224, 96, 97)	1.9928	None
SIX2	ADD2	-0.40814	38.04	-0.043	rgb(208,211,219)	1.7409	None
SIX2	ADM5	0.76258	49.58	0.581	rgb(223,106,107)	1.9718	2,2
SIX2	AF131837	0.37435	37.32	0.325	rgb(221,155,156)	1.7265	2,2
FOXP2	AFF2	0.51413	43.34	0.336	rgb(221,153,153)	1.847	2,2
FOXP2	AK022997	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
SIX2	AK024119	0.51359	43.33	0.33	rgb(221,154,155)	1.8468	2,2
SIX2	AK025511	0.51314	43.32	0.325	rgb(221,155,156)	1.8466	2,2
SIX2	AK054990	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
SIX2	AK095045	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
SIX2	AK123332	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
FOXP2	AK125437	0.84337	50.48	0.485	rgb(222,124,125)	1.9898	2,2
SIX2	AK125437	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
FOXP2	AK127443	0.42292	39.52	0.518	rgb(223,118,119)	1.7706	2,2
SIX2	AK128153	0.51722	43.4	0.395	rgb(221,141,142)	1.8482	2,2
FOXP2	AK5	0.66126	47.59	0.592	rgb(224,104,105)	1.932	None
SIX2	AK5	0.39141	38.24	0.241	rgb(220,171,171)	1.7449	None
SIX2	AKR1B1	0.63028	46.39	0.388	rgb(221,143,144)	1.908	None
SIX2	AKT3	-0.56634	44.24	-0.24	rgb(165,185,226)	1.865	None
FOXP2	AMPD3	0.052045	17	0	rgb(217,217,217)	1.3201	None
SIX2	AMPD3	0.28724	31	0	rgb(217,217,217)	1.6001	None
SIX2	AMPH	-0.61702	46.09	-0.089	rgb(198,205,220)	1.902	None
SIX2	ANGPT2	-0.68612	48.18	-0.18	rgb(178,193,224)	1.9438	None
SIX2	ANK2	0.8691	50.57	0.571	rgb(223,108,109)	1.9916	None
SIX2	ANKRD13B	0.39248	38.26	0.261	rgb(220,167,168)	1.7453	None
FOXP2	ANKRD45	0.20355	27	0	rgb(217,217,217)	1.5201	None
SIX2	ANKRD45	0.95147	50.73	0.727	rgb(225, 78, 80)	1.9948	None
FOXP2	APLN	-0.82656	50.43	-0.43	rgb(123,160,233)	1.9888	None
SIX2	APLN	0.56704	44.26	0.256	rgb(220,168,169)	1.8654	None
SIX2	APLP1	0.88385	50.61	0.61	rgb(224,100,102)	1.9924	None
FOXP2	ARHGAP9	0.38414	36.5	0.498	rgb(222,122,123)	1.7101	None
FOXP2	ARNT2	0.14469	23	0	rgb(217,217,217)	1.4401	None
SIX2	ARNT2	0.035399	15	0	rgb(217,217,217)	1.2801	None
SIX2	ASIC4	0.63143	47.28	0.28	rgb(220,164,164)	1.9258	None
FOXP2	ASXL3	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
SIX2	ASXL3	-0.44775	39.55	-0.55	rgb( 98,145,238)	1.7712	2,2
SIX2	ATCAY	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
FOXP2	ATOH8	-0.86679	50.54	-0.54	rgb(101,146,237)	1.991	None
SIX2	ATP1A3	0.23296	29	0	rgb(217,217,217)	1.5601	None
FOXP2	ATP8B2	0.027303	15	0	rgb(217,217,217)	1.2801	None
SIX2	ATP8B2	-0.55762	44.74	-0.74	rgb( 57,120,245)	1.875	None
SIX2	AX746485	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	AX746617	0.46712	40.43	0.427	rgb(222,135,136)	1.7888	2,2
FOXP2	AX746826	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	AX747175	0.50715	42.21	0.208	rgb(219,177,178)	1.8244	2,2
SIX2	AX747639	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
FOXP2	BAIAP3	0.48674	42.32	0.323	rgb(221,155,156)	1.8266	None
FOXP2	BASP1	0.50987	43.27	0.269	rgb(220,166,166)	1.8456	None
SIX2	BASP1	0.85828	50.52	0.518	rgb(223,118,119)	1.9906	None
SIX2	BC006435	0.46778	40.44	0.444	rgb(222,132,133)	1.789	2,2
SIX2	BC022892	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
SIX2	BC033961	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
SIX2	BC041484	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
FOXP2	BC042451	0.89488	50.6	0.599	rgb(224,103,104)	1.9922	2,2
SIX2	BC042451	0.51677	43.39	0.386	rgb(221,143,144)	1.848	2,2
FOXP2	BC107568	-0.43924	39.34	-0.34	rgb(143,172,230)	1.767	2,2
SIX2	BC107568	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
FOXP2	BCAT1	0.92396	50.66	0.664	rgb(224, 90, 92)	1.9934	None
SIX2	BCAT1	-0.80913	50.35	-0.35	rgb(140,170,230)	1.9872	None
FOXP2	BCL2	-0.68327	48.06	-0.056	rgb(205,210,219)	1.9414	None
SIX2	BEND5	-0.72032	49.15	-0.38	rgb(135,167,231)	1.9632	None
SIX2	BEX1	0.88141	50.57	0.568	rgb(223,108,110)	1.9916	2,2
SIX2	BOC	0.60012	45.39	0.394	rgb(221,142,143)	1.888	None
SIX2	BRSK2	0.77728	49.74	0.741	rgb(225, 75, 77)	1.975	None
FOXP2	BST2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
SIX2	C1orf110	0.53812	44.28	0.282	rgb(220,163,164)	1.8658	2,2
SIX2	C21orf58	0.87922	50.6	0.6	rgb(224,102,104)	1.9922	None
SIX2	C22orf42	-0.91322	50.68	-0.68	rgb( 68,127,243)	1.9938	None
SIX2	C2CD4A	-0.39562	37.26	-0.26	rgb(160,182,227)	1.7253	None
FOXP2	C6orf185	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
FOXP2	C7orf41	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
SIX2	C8orf15	0.70917	48.49	0.487	rgb(222,124,125)	1.95	2,2
FOXP2	CA8	0.87641	50.56	0.565	rgb(223,109,110)	1.9914	2,2
SIX2	CACNA1A	0.11582	20	0	rgb(217,217,217)	1.3801	None
SIX2	CACNA1B	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
SIX2	CACNA2D1	-0.95374	50.78	-0.78	rgb( 48,114,247)	1.9958	None
SIX2	CACNG4	-0.42809	38.74	-0.74	rgb( 56,119,245)	1.755	2,2
FOXP2	CADPS	0.5487	44.46	0.457	rgb(222,130,131)	1.8694	None
SIX2	CALY	0.83804	50.48	0.475	rgb(222,126,127)	1.9898	None
SIX2	CCDC150	0.4817	42.25	0.249	rgb(220,169,170)	1.8252	None
FOXP2	CCDC154	0.72032	49.15	0.153	rgb(219,188,188)	1.9632	2,2
FOXP2	CCDC162P	0.10777	20	0	rgb(217,217,217)	1.3801	None
SIX2	CCDC162P	-0.70087	48.4	-0.4	rgb(131,164,232)	1.9482	None
FOXP2	CCDC181	0.55324	44.54	0.544	rgb(223,113,114)	1.871	None
SIX2	CCDC181	0.16638	23	0	rgb(217,217,217)	1.4401	None
SIX2	CCDC74B	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
FOXP2	CD300LF	0.28724	31	0	rgb(217,217,217)	1.6001	None
SIX2	CD300LF	0.60772	46.42	0.423	rgb(222,136,137)	1.9086	None
FOXP2	CD96	0.27869	32	0	rgb(217,217,217)	1.6201	None
SIX2	CD96	-0.56142	44.12	-0.12	rgb(190,201,222)	1.8626	None
FOXP2	CDHR1	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
SIX2	CDHR3	0.24796	30	0	rgb(217,217,217)	1.5801	None
SIX2	CELF5	0.94403	50.71	0.713	rgb(225, 81, 82)	1.9944	None
FOXP2	CELSR2	0.18104	25	0	rgb(217,217,217)	1.4801	None
SIX2	CEND1	0.87096	50.58	0.604	rgb(224,102,103)	1.9918	None
SIX2	CENPE	0.82772	50.44	0.438	rgb(222,133,134)	1.989	None
SIX2	CHGA	0.88616	50.58	0.578	rgb(223,107,108)	1.9918	None
SIX2	CHRM4	-0.72226	48.67	-0.67	rgb( 72,129,242)	1.9536	None
FOXP2	CHRNA3	-0.36113	35.4	-0.4	rgb(130,164,232)	1.6881	2,2
FOXP2	CHRNB2	-0.59888	46	-0.36	rgb(138,169,231)	1.9002	None
SIX2	CHST8	0.89938	50.65	0.65	rgb(224, 93, 94)	1.9932	None
SIX2	CIT	0.56142	44.12	0.119	rgb(218,194,194)	1.8626	None
SIX2	CLIP3	-0.59418	45.26	-0.26	rgb(161,183,227)	1.8854	None
FOXP2	CNGA3	0.57831	44.48	0.488	rgb(222,124,125)	1.8698	None
SIX2	CNGA4	0.41466	38.23	0.231	rgb(220,173,173)	1.7447	None
SIX2	CNIH2	0.86679	50.54	0.537	rgb(223,114,115)	1.991	None
FOXP2	COL12A1	0.60702	46.4	0.398	rgb(221,141,142)	1.9082	None
SIX2	COL12A1	-0.67179	47.52	-0.52	rgb(105,149,237)	1.9306	None
FOXP2	COL21A1	0.78042	49.79	0.789	rgb(226, 66, 68)	1.976	None
SIX2	COL21A1	-0.87922	50.6	-0.6	rgb( 86,138,240)	1.9922	None
SIX2	COL22A1	-0.75192	49.45	-0.45	rgb(119,157,234)	1.9692	None
SIX2	CORO2B	-0.49112	42.39	-0.39	rgb(132,165,232)	1.828	None
FOXP2	CPA1	0.47976	42.22	0.22	rgb(219,175,175)	1.8246	None
SIX2	CPA1	-0.74473	49.37	-0.37	rgb(137,168,231)	1.9676	None
SIX2	CPE	-0.46997	40.5	-0.5	rgb(108,151,236)	1.7902	None
FOXP2	CPLX1	0.68563	48.35	0.348	rgb(221,151,151)	1.9472	None
SIX2	CPLX1	-0.8304	50.45	-0.45	rgb(119,157,234)	1.9892	None
SIX2	CPLX2	0.29533	33	0	rgb(217,217,217)	1.6401	None
SIX2	CPT1C	0.52784	44.01	0.01	rgb(217,215,215)	1.8604	None
SIX2	CRLF1	0.65923	47.35	0.35	rgb(221,150,151)	1.9272	None
FOXP2	CRMP1	0.78843	50.1	0.097	rgb(218,199,199)	1.9822	None
SIX2	CRYBA2	0.74796	49.47	0.475	rgb(222,126,127)	1.9696	None
FOXP2	CSF1R	0.30343	32	0	rgb(217,217,217)	1.6201	None
FOXP2	CSH1	0.98996	50.87	0.875	rgb(227, 50, 52)	1.9976	None
FOXP2	CSH2	0.71599	48.78	0.779	rgb(226, 68, 70)	1.9558	2,2
SIX2	CYMP	-0.62867	46.37	-0.37	rgb(136,168,231)	1.9076	None
FOXP2	DACH1	0.87641	50.56	0.56	rgb(223,110,111)	1.9914	None
FOXP2	DDN	-0.45143	41.03	-0.029	rgb(211,213,218)	1.8008	None
SIX2	DDN	-0.68794	48.23	-0.23	rgb(167,186,226)	1.9448	None
FOXP2	DENND2A	0.87641	50.56	0.556	rgb(223,111,112)	1.9914	None
SIX2	DENND2A	-0.91144	50.67	-0.67	rgb( 71,128,242)	1.9936	None
FOXP2	DGKB	0.21045	26	0	rgb(217,217,217)	1.5001	None
SIX2	DGKB	0.40719	39.11	0.227	rgb(219,174,174)	1.7624	None
SIX2	DIRAS1	0.74374	49.44	0.44	rgb(222,133,134)	1.969	2,2
FOXP2	DLG2	0.23296	29	0	rgb(217,217,217)	1.5601	None
SIX2	DLG2	0.14469	23	0	rgb(217,217,217)	1.4401	None
SIX2	DLL3	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
FOXP2	DNAH11	0.5957	46.24	0.241	rgb(220,171,171)	1.905	None
SIX2	DNAH11	-0.60215	45.42	-0.42	rgb(127,162,233)	1.8886	None
FOXP2	DNAJC12	0.13057	21	0	rgb(217,217,217)	1.4001	None
SIX2	DNAJC12	-0.76663	49.58	-0.58	rgb( 92,141,239)	1.9718	None
FOXP2	DOCK8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
FOXP2	DPF3	0.18104	25	0	rgb(217,217,217)	1.4801	None
SIX2	DPF3	0.33907	34.1	0.099	rgb(218,198,198)	1.6621	None
FOXP2	DPP10	0.84337	50.48	0.476	rgb(222,126,127)	1.9898	None
SIX2	DPP10	-0.96171	50.8	-0.8	rgb( 42,111,248)	1.9962	None
FOXP2	DQ583756	0.69773	48.48	0.483	rgb(222,125,126)	1.9498	2,2
FOXP2	DQ588732	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
SIX2	DQ588732	-0.81351	50.37	-0.37	rgb(136,168,231)	1.9876	2,2
SIX2	DRD2	-0.81429	50.38	-0.38	rgb(134,166,232)	1.9878	None
SIX2	DSCAML1	0.035399	15	0	rgb(217,217,217)	1.2801	None
SIX2	DUSP26	0.63866	47.35	0.348	rgb(221,151,151)	1.9272	2,2
FOXP2	E2F7	0.20355	27	0	rgb(217,217,217)	1.5201	None
SIX2	E2F7	-0.9278	50.67	-0.67	rgb( 71,128,243)	1.9936	None
FOXP2	EBF3	0.59327	46.2	0.196	rgb(219,180,180)	1.9042	None
FOXP2	EDAR	0.26378	31	0	rgb(217,217,217)	1.6001	None
SIX2	EFNB3	0.27096	31	0	rgb(217,217,217)	1.6001	None
SIX2	ENTPD1	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
SIX2	EPHA4	0.15118	22	0	rgb(217,217,217)	1.4201	None
SIX2	ERO1LB	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
