TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
GATA2	ABCA9	0.98344	50.88	0.879	rgb(227, 49, 51)	1.9978	None
GATA2	ABCC8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
GATA2	ACSL6	0.60487	46.37	0.366	rgb(221,147,148)	1.9076	None
GATA2	ADCY1	0.55465	43.55	0.553	rgb(223,111,113)	1.8512	None
GATA2	ADCY2	0.79438	50.27	0.273	rgb(220,165,165)	1.9856	None
GATA2	ADCY5	0.46431	40.36	0.358	rgb(221,149,149)	1.7874	None
GATA2	ADORA2A	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
GATA2	AF131837	0.45981	41.26	0.263	rgb(220,167,167)	1.8054	2,2
GATA2	AGT	0.90434	50.62	0.618	rgb(224, 99,100)	1.9926	None
GATA2	AKT3	0.97889	50.86	0.856	rgb(226, 54, 55)	1.9974	None
GATA2	AMPD3	0.052045	17	0	rgb(217,217,217)	1.3201	None
GATA2	ANGPT2	-0.9722	50.79	-0.79	rgb( 46,113,247)	1.996	None
GATA2	ANK2	0.88616	50.58	0.576	rgb(223,107,108)	1.9918	None
GATA2	ANKRD13B	0.11582	20	0	rgb(217,217,217)	1.3801	None
GATA2	ANKRD45	0.24796	30	0	rgb(217,217,217)	1.5801	None
GATA2	ARNT2	0.068278	17	0	rgb(217,217,217)	1.3201	None
GATA2	ASIC5	0.7254	49.27	0.267	rgb(220,166,167)	1.9656	2,2
GATA2	ATP1A3	0.10777	20	0	rgb(217,217,217)	1.3801	None
GATA2	ATP8B2	0.052045	17	0	rgb(217,217,217)	1.3201	None
GATA2	BAI2	0.59637	46.25	0.252	rgb(220,169,169)	1.9052	2,2
GATA2	BASP1	0.73664	49.27	0.273	rgb(220,165,165)	1.9656	None
GATA2	BC042374	0.43362	39.2	0.2	rgb(219,179,179)	1.7642	2,2
GATA2	BCAT1	-0.54845	44.45	-0.45	rgb(120,158,234)	1.8692	None
GATA2	BCL2	0.068278	17	0	rgb(217,217,217)	1.3201	None
GATA2	BRSK1	0.10777	20	0	rgb(217,217,217)	1.3801	None
GATA2	BSN	0.04399	16	0	rgb(217,217,217)	1.3001	None
GATA2	C1orf95	0.81908	50.4	0.395	rgb(221,141,142)	1.9882	2,2
GATA2	C2CD4A	0.060595	16	0	rgb(217,217,217)	1.3001	None
GATA2	C7	-0.97476	50.8	-0.8	rgb( 43,111,247)	1.9962	None
GATA2	CACNA1A	0.68794	48.23	0.233	rgb(220,172,173)	1.9448	None
GATA2	CACNA1C	0.95147	50.73	0.734	rgb(225, 77, 78)	1.9948	None
GATA2	CADM2	0.59612	45.3	0.297	rgb(220,160,161)	1.8862	None
GATA2	CALY	0.5057	43.19	0.259	rgb(220,168,168)	1.844	None
GATA2	CAMKV	0.67278	48.06	0.058	rgb(218,206,206)	1.9414	None
GATA2	CCDC150	0.24796	30	0	rgb(217,217,217)	1.5801	None
GATA2	CCDC181	0.37914	37.47	0.468	rgb(222,128,129)	1.7295	None
GATA2	CD300LF	0.52396	43.56	0.558	rgb(223,110,112)	1.8514	None
GATA2	CDHR3	0.91553	50.64	0.642	rgb(224, 94, 96)	1.993	None
GATA2	CELA3A	-0.91144	50.67	-0.67	rgb( 71,128,242)	1.9936	None
GATA2	CELA3B	-0.8691	50.57	-0.57	rgb( 93,142,239)	1.9916	None
GATA2	CELSR3	0.54118	44.33	0.333	rgb(221,153,154)	1.8668	None
GATA2	CENPE	-0.94031	50.7	-0.7	rgb( 65,125,244)	1.9942	None
GATA2	CERKL	0.15832	24	0	rgb(217,217,217)	1.4601	None
GATA2	CERS1	-0.83994	50.47	-0.47	rgb(115,155,235)	1.9896	None
GATA2	CHL1	0.88385	50.61	0.608	rgb(224,101,102)	1.9924	None
GATA2	CIT	-0.94601	50.76	-0.76	rgb( 53,117,246)	1.9954	None
GATA2	CLCN4	-0.94031	50.7	-0.76	rgb( 53,117,246)	1.9942	None
GATA2	CLGN	-0.64717	47.44	-0.44	rgb(121,159,234)	1.929	None
GATA2	CNGA4	0.81429	50.38	0.5	rgb(222,122,123)	1.9878	None
GATA2	CNIH2	0.10777	20	0	rgb(217,217,217)	1.3801	None
GATA2	COL12A1	0.92577	50.71	0.714	rgb(225, 81, 82)	1.9944	None
GATA2	COL22A1	0.75663	49.49	0.492	rgb(222,123,124)	1.97	None
GATA2	CPB1	0.90202	50.61	0.61	rgb(224,101,102)	1.9924	None
GATA2	CPE	0.72123	49.21	0.209	rgb(219,177,178)	1.9644	None
GATA2	CSF1R	-0.96501	50.81	-0.81	rgb( 41,110,248)	1.9964	None
GATA2	CTPS1	-0.76795	49.59	-0.59	rgb( 89,139,239)	1.972	None
GATA2	CTTNBP2	-0.80504	50.34	-0.34	rgb(142,172,230)	1.987	None
GATA2	CXXC4	0.74027	49.32	0.32	rgb(221,156,156)	1.9666	None
GATA2	CYMP	-0.73994	49.31	-0.31	rgb(151,177,229)	1.9664	None
GATA2	DACH1	0.5418	43.28	0.284	rgb(220,163,163)	1.8458	None
GATA2	DENND2A	-0.77162	49.65	-0.65	rgb( 76,131,242)	1.9732	None
GATA2	DGKB	0.53123	42.74	0.736	rgb(225, 76, 78)	1.835	None
GATA2	DIRAS1	0.53812	44.28	0.283	rgb(220,163,164)	1.8658	2,2
GATA2	DKFZp686O16217	-0.37038	36.14	-0.14	rgb(186,198,222)	1.7029	2,2
GATA2	DLG2	0.18104	25	0	rgb(217,217,217)	1.4801	None
