TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HEY1	AK025975	0.70781	48.48	0.48	rgb(222,125,126)	1.9498	2,2
HEYL	AK025975	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HEY1	BRSK2	0.36245	36.62	0.62	rgb(224, 99,100)	1.7125	None
HEYL	BRSK2	-0.40801	38.03	-0.027	rgb(211,213,218)	1.7407	None
HEY1	BST2	0.86254	50.53	0.526	rgb(223,117,118)	1.9908	2,2
HEYL	BST2	0.54655	43.38	0.378	rgb(221,145,146)	1.8478	2,2
HEY1	CD37	0.95374	50.78	0.777	rgb(226, 69, 70)	1.9958	None
HEYL	CD37	0.86456	50.56	0.558	rgb(223,110,112)	1.9914	None
HEY1	CECR6	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
HEYL	CECR6	0.8691	50.57	0.567	rgb(223,109,110)	1.9916	2,2
HEY1	CELSR3	0.14469	23	0	rgb(217,217,217)	1.4401	None
HEYL	CELSR3	0.4589	40.24	0.243	rgb(220,171,171)	1.785	None
HEY1	DNAH11	-0.96799	50.82	-0.82	rgb( 39,109,248)	1.9966	None
HEYL	DNAH11	0.62582	46.33	0.33	rgb(221,154,155)	1.9068	None
HEY1	IFI27	0.83317	50.45	0.447	rgb(222,132,133)	1.9892	2,2
HEYL	IFI27	0.60062	45.4	0.396	rgb(221,141,142)	1.8882	2,2
HEY1	NEUROD2	0.91322	50.68	0.685	rgb(225, 86, 88)	1.9938	None
HEYL	NEUROD2	0.90913	50.63	0.628	rgb(224, 97, 98)	1.9928	None
HEY1	POM121L10P	0.82292	50.42	0.425	rgb(222,136,137)	1.9886	None
HEYL	POM121L10P	0.93222	50.68	0.68	rgb(224, 87, 88)	1.9938	None
HEY1	TMEM189-UBE2V1	0.39789	38.37	0.372	rgb(221,146,147)	1.7475	None
HEYL	TMEM189-UBE2V1	0.016605	14	0	rgb(217,217,217)	1.2601	None
HEY1	TNP1	0.51677	43.39	0.388	rgb(221,143,144)	1.848	2,2
HEYL	TNP1	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
