TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HEYL	ADD2	0.73205	49.18	0.39	rgb(221,143,143)	1.9638	None
HEYL	ADORA2A	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HEY1	AK025975	0.70781	48.48	0.48	rgb(222,125,126)	1.9498	2,2
HEYL	AK025975	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HEYL	AK093555	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
HEYL	AK316321	0.43561	39.26	0.263	rgb(220,167,167)	1.7654	2,2
HEYL	ASXL3	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
HEYL	ATCAY	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
HEY1	AX747175	-0.45043	40.77	-0.77	rgb( 51,116,246)	1.7956	2,2
HEY1	AX747639	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
HEYL	BAI2	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HEY1	BRSK2	0.36245	36.62	0.62	rgb(224, 99,100)	1.7125	None
HEYL	BRSK2	-0.40801	38.03	-0.027	rgb(211,213,218)	1.7407	None
HEY1	BST2	0.86254	50.53	0.526	rgb(223,117,118)	1.9908	2,2
HEYL	BST2	0.54655	43.38	0.378	rgb(221,145,146)	1.8478	2,2
HEY1	C1orf110	-0.5197	43.43	-0.43	rgb(123,160,233)	1.8488	2,2
HEY1	C21orf58	0.24796	30	0	rgb(217,217,217)	1.5801	None
HEYL	C9orf66	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HEY1	CD37	0.95374	50.78	0.777	rgb(226, 69, 70)	1.9958	None
HEYL	CD37	0.86456	50.56	0.558	rgb(223,110,112)	1.9914	None
HEYL	CD52	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
HEYL	CDK5R1	0.76311	49.55	0.554	rgb(223,111,112)	1.9712	None
HEY1	CECR6	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
HEYL	CECR6	0.8691	50.57	0.567	rgb(223,109,110)	1.9916	2,2
HEY1	CELSR3	0.14469	23	0	rgb(217,217,217)	1.4401	None
