TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
INSM1	AF131837	0.4722	40.57	0.565	rgb(223,109,110)	1.7916	2,2
INSM1	AK094786	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
INSM1	AK128153	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	AK316321	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	ANKRD13B	0.16638	23	0	rgb(217,217,217)	1.4401	None
INSM1	ASIC5	0.36547	35.54	0.537	rgb(223,114,116)	1.6909	2,2
INSM1	ATCAY	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
INSM1	AX747090	0.87922	50.6	0.596	rgb(224,103,104)	1.9922	2,2
INSM1	BAI1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
INSM1	BAIAP3	0.56762	44.27	0.266	rgb(220,166,167)	1.8656	None
INSM1	BC033961	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
INSM1	BHMT	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
INSM1	C10orf10	0.78711	50.17	0.166	rgb(219,185,186)	1.9836	2,2
INSM1	C19orf26	0.37001	36.12	0.119	rgb(218,194,195)	1.7025	2,2
INSM1	C1orf110	0.44329	39.42	0.421	rgb(222,137,137)	1.7686	2,2
INSM1	CA8	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
INSM1	CACNA1B	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
INSM1	CAMK2B	0.71888	49.11	0.107	rgb(218,197,197)	1.9624	None
INSM1	CD96	0.25535	29	0	rgb(217,217,217)	1.5601	None
INSM1	CELSR3	0.87096	50.58	0.582	rgb(223,106,107)	1.9918	None
INSM1	CEND1	0.31941	33	0	rgb(217,217,217)	1.6401	None
INSM1	CPLX1	0.67741	48.23	0.228	rgb(220,173,174)	1.9448	None
INSM1	DKFZp586B1922	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
INSM1	DQ588732	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
INSM1	EPHA8	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	FAM105A	0.70983	48.62	0.624	rgb(224, 98, 99)	1.9526	2,2
INSM1	FAM179A	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
INSM1	FAM19A5	0.52982	44.14	0.144	rgb(219,189,190)	1.863	2,2
INSM1	FBXL16	0.90669	50.66	0.659	rgb(224, 91, 92)	1.9934	None
INSM1	FUT1	0.27096	30	0	rgb(217,217,217)	1.5801	None
INSM1	GABRB3	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	GAP43	0.31941	33	0	rgb(217,217,217)	1.6401	None
INSM1	GATA2	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
INSM1	GPR112	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
INSM1	GRAP2	0.54387	44.37	0.369	rgb(221,146,147)	1.8676	None
INSM1	HERC5	-0.48897	42.35	-0.35	rgb(141,171,230)	1.8272	None
INSM1	KCNH8	-0.46208	40.3	-0.3	rgb(151,177,228)	1.7862	None
INSM1	KCNMA1	0.19533	25	0	rgb(217,217,217)	1.4801	None
INSM1	LOC100129175	0.40421	37.52	0.523	rgb(223,117,118)	1.7305	2,2
INSM1	LOC100130000	0.35708	35.29	0.291	rgb(220,161,162)	1.6859	2,2
INSM1	LOC100130557	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
INSM1	LOC100996634	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
INSM1	MAP1A	-0.58154	44.56	-0.56	rgb( 95,143,238)	1.8714	None
INSM1	MX1	-0.93656	50.69	-0.69	rgb( 66,125,243)	1.994	None
INSM1	NCAM1	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
INSM1	NEURL	0.78323	49.86	0.865	rgb(227, 52, 54)	1.9774	2,2
INSM1	NKX2-2	0.40202	38.52	0.516	rgb(223,118,119)	1.7506	2,2
INSM1	PAX4	0.93656	50.69	0.695	rgb(225, 84, 86)	1.994	2,2
INSM1	PCDH17	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
INSM1	PGA5	0.90202	50.61	0.613	rgb(224,100,101)	1.9924	None
INSM1	RUNDC3A	0.50363	42.12	0.294	rgb(220,161,161)	1.8226	None
INSM1	SLC12A5	0.13057	21	0	rgb(217,217,217)	1.4001	None
INSM1	SNED1	0.91322	50.68	0.681	rgb(224, 87, 88)	1.9938	None
INSM1	STARD4-AS1	0.48455	41.27	0.269	rgb(220,166,166)	1.8056	None
INSM1	STARD8	-0.35845	35.33	-0.33	rgb(145,173,230)	1.6867	None
INSM1	SYNM	0.68538	48.16	0.158	rgb(219,187,187)	1.9434	None
INSM1	SYP	0.10777	20	0	rgb(217,217,217)	1.3801	None
INSM1	TMEM56-RWDD3	0.36749	35.67	0.666	rgb(224, 90, 91)	1.6935	2,2
