TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
LTF	AX746834	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
LTF	BC041484	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
LTF	BC053580	-0.35481	36.29	-0.29	rgb(154,179,228)	1.7059	2,2
LTF	BGN	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
LTF	BST2	-0.37336	36.21	-0.21	rgb(171,189,225)	1.7043	2,2
LTF	C10orf82	-0.67551	47.58	-0.58	rgb( 91,140,239)	1.9318	2,2
LTF	C3orf80	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
LTF	C7orf41	-0.36621	35.57	-0.57	rgb( 94,142,239)	1.6915	2,2
LTF	CACNB2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
LTF	CD52	0.728	49.3	0.296	rgb(220,160,161)	1.9662	2,2
LTF	CECR6	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
LTF	CNR1	-0.55737	43.68	-0.68	rgb( 69,127,243)	1.8538	2,2
LTF	DKFZp586B1922	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
LTF	DKFZp686O16217	0.86254	50.53	0.532	rgb(223,115,116)	1.9908	2,2
LTF	DLL3	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
LTF	DPYSL4	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
LTF	EPHA4	0.04399	16	0	rgb(217,217,217)	1.3001	None
LTF	FAM131B	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
LTF	FAM196A	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
LTF	FAM64A	0.39248	38.26	0.258	rgb(220,168,168)	1.7453	2,2
LTF	FEV	-0.91322	50.68	-0.68	rgb( 70,127,243)	1.9938	None
LTF	GRASP	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
LTF	IFI27	-0.64387	46.65	-0.65	rgb( 75,131,242)	1.9132	2,2
LTF	IFI44	-0.75147	49.44	-0.44	rgb(122,159,234)	1.969	2,2
LTF	IFI44L	-0.83143	50.46	-0.46	rgb(118,157,234)	1.9894	2,2
LTF	KAL1	-0.54684	44.42	-0.42	rgb(125,161,233)	1.8686	2,2
LTF	LIMD2	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
LTF	LOC100130000	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
LTF	LOC100188947	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
LTF	MEX3B	0.79228	50.25	0.245	rgb(220,170,171)	1.9852	None
LTF	MUC5B	0.94217	50.75	0.746	rgb(225, 75, 76)	1.9952	None
LTF	NAT8L	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
LTF	NOV	-0.42309	38.44	-0.44	rgb(122,159,234)	1.7489	2,2
LTF	RD3	-0.42454	38.49	-0.49	rgb(110,152,236)	1.7499	2,2
LTF	RNF157	-0.58501	45.58	-0.58	rgb( 91,141,239)	1.8918	None
LTF	RNF157-AS1	0.084387	19	0	rgb(217,217,217)	1.3601	None
LTF	S100G	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
LTF	SDPR	0.68472	48.34	0.339	rgb(221,152,153)	1.947	2,2
LTF	SLC26A7	-0.49942	41.66	-0.66	rgb( 75,131,242)	1.8134	2,2
LTF	SPIB	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
LTF	SRSF12	-0.38178	36.41	-0.41	rgb(129,163,232)	1.7083	2,2
LTF	TMEFF1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
LTF	TNP1	-0.69277	48.32	-0.32	rgb(147,174,229)	1.9466	2,2
LTF	XAF1	-0.3893	38.2	-0.2	rgb(174,191,225)	1.7441	2,2
LTF	XKR7	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
LTF	ZNF382	-0.41	39.2	-0.2	rgb(174,191,224)	1.7642	2,2
LTF	abParts	0.87641	50.56	0.562	rgb(223,110,111)	1.9914	2,2
