TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
MYSM1	ACTG1P4	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ZNF117	ACTG1P4	0.3442	34.43	0.433	rgb(222,134,135)	1.6687	2,2
ZNF514	ACTG1P4	0.46501	41.38	0.376	rgb(221,145,146)	1.8078	2,2
ZNF117	AF198444	0.4145	38.22	0.219	rgb(219,175,176)	1.7445	2,2
ZNF514	AF198444	0.87922	50.6	0.596	rgb(224,103,104)	1.9922	2,2
ZNF117	AFF2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
MYSM1	AK023417	0.65176	47.2	0.202	rgb(219,178,179)	1.9242	2,2
ZNF117	AK023417	0.42929	39.04	0.037	rgb(217,210,210)	1.761	2,2
ZNF514	AK023417	0.59814	46.28	0.275	rgb(220,164,165)	1.9058	2,2
MYSM1	AK055694	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
ZNF117	AK055694	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF514	AK055694	0.59364	45.24	0.241	rgb(220,171,171)	1.885	2,2
ZNF514	AK056486	0.77637	49.71	0.705	rgb(225, 82, 84)	1.9744	2,2
ZNF514	AK091624	-0.52672	43.67	-0.67	rgb( 72,129,242)	1.8536	2,2
MYSM1	AK123332	0.54932	43.43	0.434	rgb(222,134,135)	1.8488	2,2
ZNF117	AK123332	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ZNF514	AK123332	0.90669	50.66	0.663	rgb(224, 90, 92)	1.9934	2,2
MYSM1	AK125301	0.74824	49.42	0.417	rgb(222,137,138)	1.9686	2,2
ZNF117	AK125301	0.85663	50.54	0.54	rgb(223,114,115)	1.991	2,2
ZNF514	AK125301	0.82292	50.42	0.422	rgb(222,136,137)	1.9886	2,2
ZNF117	AK127443	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ZNF514	AK127443	0.72594	48.78	0.784	rgb(226, 67, 69)	1.9558	2,2
MYSM1	AK128619	0.36006	35.37	0.372	rgb(221,146,147)	1.6875	2,2
ZNF117	AK128619	0.73119	49.16	0.205	rgb(219,178,178)	1.9634	2,2
MYSM1	AK130076	0.75857	49.51	0.511	rgb(223,119,121)	1.9704	2,2
MYSM1	APOB	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
MYSM1	AX746617	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
ZNF514	AX746826	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
MYSM1	AX746834	0.65824	47.33	0.332	rgb(221,153,154)	1.9268	2,2
ZNF117	AX746834	0.79736	50.27	0.446	rgb(222,132,133)	1.9856	2,2
ZNF514	AX746834	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
ZNF514	AX747090	0.48021	42.23	0.234	rgb(220,172,173)	1.8248	2,2
ZNF117	AX747175	0.3701	36.13	0.134	rgb(218,191,192)	1.7027	2,2
ZNF514	AX747175	0.65923	47.35	0.351	rgb(221,150,151)	1.9272	2,2
ZNF514	AX747639	0.76311	49.55	0.641	rgb(224, 95, 96)	1.9712	2,2
ZNF514	AX748292	0.67918	47.65	0.649	rgb(224, 93, 94)	1.9332	2,2
ZNF117	BC006435	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ZNF514	BC019672	0.71367	48.54	0.538	rgb(223,114,115)	1.951	2,2
MYSM1	BC022892	0.83474	50.47	0.47	rgb(222,127,128)	1.9896	2,2
ZNF514	BC022892	0.68525	48.15	0.345	rgb(221,151,152)	1.9432	2,2
ZNF514	BC033528	0.65679	47.54	0.545	rgb(223,113,114)	1.931	2,2
MYSM1	BC042374	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
ZNF117	BC042374	0.49533	42.49	0.489	rgb(222,124,125)	1.83	2,2
ZNF514	BC042374	-0.4518	41.06	-0.06	rgb(204,209,219)	1.8014	2,2
MYSM1	BC053580	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ZNF514	BC053580	0.62276	47.06	0.32	rgb(221,156,156)	1.9214	2,2
ZNF514	BC073932	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
ZNF514	C19orf26	0.65196	47.49	0.492	rgb(222,123,124)	1.93	2,2
MYSM1	C8orf15	0.67675	47.6	0.601	rgb(224,102,103)	1.9322	2,2
ZNF514	C8orf15	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
ZNF514	CACNB2	0.5309	44.17	0.166	rgb(219,185,186)	1.8636	2,2
ZNF514	CD52	-0.66572	47.66	-0.66	rgb( 75,130,242)	1.9334	2,2
ZNF514	CDHR1	0.41549	39.33	0.335	rgb(221,153,154)	1.7668	2,2
MYSM1	DKFZP434K028	0.6252	46.32	0.315	rgb(220,157,157)	1.9066	2,2
ZNF514	DKFZp586B1922	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
ZNF117	DOCK4	0.49339	42.45	0.449	rgb(222,131,132)	1.8292	2,2
ZNF117	DQ570835	0.82553	50.43	0.584	rgb(223,105,107)	1.9888	2,2
ZNF514	DQ570835	0.70917	48.49	0.493	rgb(222,123,124)	1.95	2,2
MYSM1	DQ600483	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ZNF514	DQ600483	0.79736	50.27	0.553	rgb(223,111,113)	1.9856	2,2
ZNF514	FLJ44955	0.65456	47.52	0.587	rgb(223,105,106)	1.9306	2,2
MYSM1	GUSBP3	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ZNF514	GUSBP3	0.66572	47.66	0.656	rgb(224, 92, 93)	1.9334	2,2
MYSM1	GUSBP9	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ZNF514	GUSBP9	0.66208	47.6	0.602	rgb(224,102,103)	1.9322	2,2
ZNF117	HBT8	0.75857	49.51	0.51	rgb(223,120,121)	1.9704	2,2
MYSM1	HIST2H2BF	0.54007	44.31	0.308	rgb(220,158,159)	1.8664	2,2
ZNF117	HIST2H2BF	0.61115	45.6	0.601	rgb(224,102,103)	1.8922	2,2
ZNF514	HIST2H2BF	0.63143	47.28	0.281	rgb(220,163,164)	1.9258	2,2
ZNF117	KAL1	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
ZNF117	KIAA1456	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ZNF117	LOC100130000	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
ZNF514	LOC100130000	0.58459	45.57	0.566	rgb(223,109,110)	1.8916	2,2
ZNF514	LOC100130557	0.47732	42.17	0.171	rgb(219,184,185)	1.8236	2,2
ZNF514	LOC100188947	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
ZNF514	LOC100190986	0.96171	50.8	0.816	rgb(226, 61, 63)	1.9962	2,2
ZNF514	LOC100506585	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
ZNF514	LOC100652999	0.64304	46.63	0.626	rgb(224, 97, 99)	1.9128	2,2
ZNF514	LOC100996634	0.66914	47.75	0.745	rgb(225, 75, 76)	1.9352	2,2
ZNF117	LOC149134	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ZNF117	LOC441081	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ZNF514	LOC441081	0.90434	50.62	0.62	rgb(224, 99,100)	1.9926	2,2
ZNF117	LOC642776	0.34857	35.05	0.053	rgb(218,207,207)	1.6811	2,2
ZNF514	LOC642776	0.94973	50.77	0.767	rgb(225, 70, 72)	1.9956	2,2
ZNF514	LQFBS-1	-0.64436	47.41	-0.41	rgb(129,163,232)	1.9284	2,2
ZNF117	MAP1B	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
ZNF117	MURC	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ZNF117	NAIP	0.55056	44.49	0.734	rgb(225, 77, 78)	1.87	2,2
