TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PAX6	ABCA9	-0.96501	50.81	-0.81	rgb( 40,110,248)	1.9964	None
SMAD9	ABCA9	0.57811	45.44	0.443	rgb(222,132,133)	1.889	None
TFCP2L1	ABCA9	0.58009	45.48	0.482	rgb(222,125,126)	1.8898	None
NEUROG3	ABCC8	0.99632	50.95	0.953	rgb(227, 35, 37)	1.9992	None
SMAD9	ABCC8	0.43238	40.19	0.186	rgb(219,181,182)	1.784	None
SOX4	ABCC8	-0.96799	50.82	-0.82	rgb( 40,109,248)	1.9966	None
PAX6	ACBD7	-0.60962	45.57	-0.57	rgb( 93,141,239)	1.8916	None
SMAD9	ACBD7	0.17332	24	0	rgb(217,217,217)	1.4601	None
SOX4	ACBD7	-0.64907	47.46	-0.46	rgb(118,157,234)	1.9294	None
NEUROG3	ACSL6	0.98121	50.87	0.872	rgb(227, 50, 52)	1.9976	None
SOX4	ACSL6	0.27096	30	0	rgb(217,217,217)	1.5801	None
PAX6	ACSS3	0.3879	37.03	0.025	rgb(217,212,212)	1.7207	None
SMAD9	ACSS3	0.85663	50.54	0.545	rgb(223,113,114)	1.991	None
SOX4	ACSS3	0.70715	48.47	0.484	rgb(222,125,126)	1.9496	None
NEUROG3	ACTG1P4	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
SMAD9	ACTG1P4	0.61086	45.59	0.592	rgb(224,104,105)	1.892	2,2
NEUROG3	ACTL6B	0.99157	50.92	0.918	rgb(227, 42, 43)	1.9986	None
SOX4	ACTL6B	0.73119	49.16	0.158	rgb(219,187,187)	1.9634	None
PAX6	ADAM12	0.41314	39.28	0.284	rgb(220,163,163)	1.7658	None
SOX4	ADAM12	-0.88819	50.62	-0.62	rgb( 82,135,241)	1.9926	None
NEUROG3	ADAMTSL1	0.87096	50.58	0.578	rgb(223,107,108)	1.9918	None
SOX4	ADAMTSL1	-0.91322	50.68	-0.68	rgb( 70,127,243)	1.9938	None
TFCP2L1	ADAMTSL2	-0.68472	48.34	-0.34	rgb(143,172,230)	1.947	None
SOX4	ADCY1	0.87278	50.55	0.547	rgb(223,113,114)	1.9912	None
TFCP2L1	ADCY1	0.89488	50.6	0.601	rgb(224,102,103)	1.9922	None
SOX4	ADCY2	-0.98121	50.87	-0.87	rgb( 28,102,250)	1.9976	None
TFCP2L1	ADCY2	-0.91553	50.64	-0.64	rgb( 78,132,241)	1.993	None
NEUROG3	ADCY5	0.60359	45.44	0.439	rgb(222,133,134)	1.889	None
PAX6	ADCY5	0.44031	40.36	0.361	rgb(221,148,149)	1.7874	None
SMAD9	ADCY5	0.54713	43.39	0.393	rgb(221,142,143)	1.848	None
TFCP2L1	ADCY5	0.82433	50.42	0.421	rgb(222,137,138)	1.9886	None
NEUROG3	ADD2	0.85663	50.54	0.544	rgb(223,113,114)	1.991	None
PAX6	ADD2	0.016605	14	0	rgb(217,217,217)	1.2601	None
SOX4	ADD2	0.068278	17	0	rgb(217,217,217)	1.3201	None
SMAD9	ADORA2A	0.84692	50.49	0.495	rgb(222,123,124)	1.99	2,2
TFCP2L1	ADORA2A	-0.89488	50.6	-0.6	rgb( 86,137,240)	1.9922	2,2
SOX4	AF131837	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
TFCP2L1	AF198444	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
NEUROG3	AF258560	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
TFCP2L1	AF258560	-0.90202	50.61	-0.61	rgb( 86,137,240)	1.9924	2,2
NEUROG3	AFF2	0.5366	43.14	0.138	rgb(219,191,191)	1.843	2,2
PAX6	AFF2	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
SOX4	AGT	-0.76663	49.58	-0.58	rgb( 91,140,239)	1.9718	None
TFCP2L1	AGT	-0.41198	39.26	-0.26	rgb(160,182,227)	1.7654	None
TFCP2L1	AK023417	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
SOX4	AK025511	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
TFCP2L1	AK025511	-0.56778	45.29	-0.29	rgb(153,178,228)	1.886	2,2
NEUROG3	AK026379	0.92003	50.69	0.694	rgb(225, 84, 86)	1.994	2,2
SMAD9	AK026379	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
SOX4	AK054990	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
NEUROG3	AK056486	0.83804	50.48	0.483	rgb(222,125,126)	1.9898	2,2
PAX6	AK094786	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
NEUROG3	AK123868	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
NEUROG3	AK125437	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
PAX6	AK128153	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
PAX6	AK128619	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PAX6	AK130076	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
NEUROG3	AK5	0.98563	50.89	0.889	rgb(227, 47, 49)	1.998	None
PAX6	AK5	0.55646	44.64	0.64	rgb(224, 95, 96)	1.873	None
SOX4	AK5	0.5366	43.14	0.139	rgb(219,190,191)	1.843	None
TFCP2L1	AK5	-0.87641	50.56	-0.56	rgb( 95,143,238)	1.9914	None
SMAD9	AKR1B1	-0.41029	38.12	-0.12	rgb(191,201,222)	1.7425	None
SOX4	AKR1B1	-0.97476	50.8	-0.8	rgb( 44,112,247)	1.9962	None
TFCP2L1	AKR1B1	-0.85828	50.52	-0.52	rgb(105,149,237)	1.9906	None
NEUROG3	AKT3	0.99356	50.93	0.932	rgb(227, 39, 41)	1.9988	None
PAX6	AKT3	0.53874	43.21	0.213	rgb(219,176,177)	1.8444	None
SOX4	AKT3	-0.64965	47.15	-0.15	rgb(186,198,223)	1.9232	None
PAX6	ALAS2	0.31941	33	0	rgb(217,217,217)	1.6401	None
SMAD9	ALAS2	0.45489	40.14	0.138	rgb(219,191,191)	1.783	None
