TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NFAT5	ADCY1	-0.62371	46.29	-0.29	rgb(153,178,228)	1.906	None
NFAT5	AF198444	0.70132	48.52	0.523	rgb(223,117,118)	1.9506	2,2
NFAT5	AK025511	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	AK055694	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
NFAT5	AK123332	0.49442	42.47	0.475	rgb(222,126,127)	1.8296	2,2
NFAT5	AK125301	0.98249	50.83	0.828	rgb(226, 59, 60)	1.9968	2,2
NFAT5	AK128619	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
NFAT5	ARNT2	-0.80392	50.31	-0.31	rgb(149,176,229)	1.9864	None
NFAT5	ATCAY	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
NFAT5	ATP8B2	0.21045	26	0	rgb(217,217,217)	1.5001	None
NFAT5	AX747175	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	AX747639	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
NFAT5	BC022892	0.36328	37.02	0.021	rgb(217,213,213)	1.7205	2,2
NFAT5	BC053580	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
NFAT5	BHMT	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
NFAT5	BRSK1	0.45262	40.08	0.077	rgb(218,202,202)	1.7818	None
NFAT5	BST2	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
NFAT5	C10orf82	-0.36258	35.44	-0.44	rgb(122,159,234)	1.6889	2,2
NFAT5	C17orf65	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
NFAT5	C1orf110	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
NFAT5	C8orf15	-0.58992	46.1	-0.099	rgb(196,204,221)	1.9022	2,2
NFAT5	CADM2	-0.39285	37.18	-0.18	rgb(177,193,224)	1.7237	None
NFAT5	CCDC150	0.41351	38.2	0.236	rgb(220,172,172)	1.7441	None
NFAT5	CCDC154	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
NFAT5	CCDC162P	0.67088	47.51	0.594	rgb(224,104,105)	1.9304	None
NFAT5	CD37	0.85828	50.52	0.516	rgb(223,119,120)	1.9906	None
NFAT5	CDH22	-0.5537	44.55	-0.55	rgb( 99,145,238)	1.8712	None
