TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PAX4	ADAM12	0.068278	17	0	rgb(217,217,217)	1.3201	None
PAX4	ADCY1	-0.86456	50.56	-0.56	rgb( 94,142,238)	1.9914	None
PAX4	ADCY5	0.31941	33	0	rgb(217,217,217)	1.6401	None
PAX4	ADD2	-0.39789	37.32	-0.32	rgb(148,175,229)	1.7265	None
PAX4	AK025511	0.44812	39.57	0.567	rgb(223,109,110)	1.7716	2,2
PAX4	AK026379	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PAX4	AK092048	0.64523	47.42	0.42	rgb(222,137,138)	1.9286	2,2
PAX4	AK125437	-0.52202	42.48	-0.48	rgb(114,154,235)	1.8298	2,2
PAX4	AK128619	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PAX4	AK5	0.64019	46.56	0.562	rgb(223,110,111)	1.9114	None
PAX4	ALAS2	0.15118	22	0	rgb(217,217,217)	1.4201	None
PAX4	APLN	-0.87476	50.59	-0.59	rgb( 88,139,240)	1.992	None
PAX4	APLP1	0.17332	24	0	rgb(217,217,217)	1.4601	None
PAX4	ARHGAP9	-0.71458	48.55	-0.55	rgb( 98,145,238)	1.9512	None
PAX4	ARHGEF25	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
PAX4	ARNT2	0.19533	25	0	rgb(217,217,217)	1.4801	None
PAX4	ATOH8	-0.4202	38.36	-0.36	rgb(140,170,231)	1.7473	None
PAX4	ATP8B2	0.016605	14	0	rgb(217,217,217)	1.2601	None
PAX4	AX746995	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
PAX4	BAIAP3	0.21045	26	0	rgb(217,217,217)	1.5001	None
PAX4	BC042374	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
PAX4	BC073932	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
PAX4	BCL2	-0.89261	50.63	-0.63	rgb( 80,134,241)	1.9928	None
PAX4	BOC	-0.69711	48.36	-0.36	rgb(138,169,231)	1.9474	None
PAX4	BRS3	0.060595	16	0	rgb(217,217,217)	1.3001	None
PAX4	BRSK2	0.13057	21	0	rgb(217,217,217)	1.4001	None
PAX4	C10orf10	-0.55886	45.09	-0.088	rgb(198,205,220)	1.882	2,2
PAX4	C1QL1	0.63494	46.46	0.459	rgb(222,129,130)	1.9094	None
PAX4	C2CD4A	0.74639	49.46	0.457	rgb(222,130,131)	1.9694	None
PAX4	C3orf80	-0.33812	34.03	-0.034	rgb(210,213,218)	1.6607	None
PAX4	CACNA1H	-0.89261	50.63	-0.63	rgb( 80,133,241)	1.9928	None
PAX4	CACNA2D1	0.53304	43	0.002	rgb(217,217,217)	1.8402	None
