TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PLAG1	ADAM12	0.027303	15	0	rgb(217,217,217)	1.2801	None
PLAG1	ADM5	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
PLAG1	AK025975	-0.46634	41.41	-0.41	rgb(129,163,232)	1.8084	2,2
PLAG1	AK130076	0.65353	47.51	0.505	rgb(223,120,121)	1.9304	2,2
PLAG1	ANKRD13B	-0.50492	43.17	-0.17	rgb(181,195,223)	1.8436	None
PLAG1	ARNT2	0.076869	18	0	rgb(217,217,217)	1.3401	None
PLAG1	ATP8B2	0.35613	36.32	0.32	rgb(221,156,157)	1.7065	None
PLAG1	BCL2	-0.38129	36.4	-0.4	rgb(130,164,232)	1.7081	None
PLAG1	BSN	0.51231	43.31	0.307	rgb(220,158,159)	1.8464	None
PLAG1	C1QL1	0.016605	14	0	rgb(217,217,217)	1.2601	None
PLAG1	CABP4	0.15118	22	0	rgb(217,217,217)	1.4201	None
PLAG1	CACNA1C	0.54845	44.45	0.452	rgb(222,131,132)	1.8692	None
PLAG1	CACNA1H	0.04399	16	0	rgb(217,217,217)	1.3001	None
PLAG1	CBFA2T3	-0.50182	43.04	-0.042	rgb(208,211,219)	1.841	None
PLAG1	CCDC40	-0.36968	36.11	-0.11	rgb(194,203,221)	1.7023	None
PLAG1	CD37	-0.53928	44.3	-0.3	rgb(152,178,228)	1.8662	None
PLAG1	CDK5R2	0.035399	15	0	rgb(217,217,217)	1.2801	None
PLAG1	CELF5	0.0067328	14	0	rgb(217,217,217)	1.2601	None
PLAG1	CNTD2	-0.44812	39.57	-0.57	rgb( 93,142,239)	1.7716	None
PLAG1	CSF1R	0.32805	35	0	rgb(217,217,217)	1.6801	None
PLAG1	DNER	0.12321	21	0	rgb(217,217,217)	1.4001	None
PLAG1	EPHA4	-0.4145	38.22	-0.22	rgb(169,188,225)	1.7445	None
PLAG1	EPHB3	-0.76914	49.63	-0.63	rgb( 80,134,241)	1.9728	None
