TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
POU2F2	ABCA9	0.4052	39.06	0.064	rgb(218,205,205)	1.7614	None
POU2F2	ACBD7	-0.50905	43.26	-0.26	rgb(161,183,227)	1.8454	None
POU2F2	ACTG1P4	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
POU2F2	ACTL6B	0.64019	46.56	0.565	rgb(223,109,110)	1.9114	None
POU2F2	ADCY1	0.14469	23	0	rgb(217,217,217)	1.4401	None
POU2F2	AF258560	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
POU2F2	AK023417	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
POU2F2	AK026379	0.92396	50.66	0.656	rgb(224, 92, 93)	1.9934	2,2
POU2F2	AK130076	0.44118	40.37	0.373	rgb(221,146,147)	1.7876	2,2
POU2F2	AMPD3	0.04399	16	0	rgb(217,217,217)	1.3001	None
POU2F2	ANGPT2	-0.57344	44.41	-0.41	rgb(127,163,233)	1.8684	None
POU2F2	AX748292	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
POU2F2	BAI2	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
POU2F2	BC033528	0.3893	38.2	0.204	rgb(219,178,178)	1.7441	2,2
POU2F2	BC107568	-0.34097	34.23	-0.23	rgb(167,186,226)	1.6647	2,2
POU2F2	BCL2	0.18104	25	0	rgb(217,217,217)	1.4801	None
POU2F2	BRS3	0.69645	48.47	0.467	rgb(222,128,129)	1.9496	None
POU2F2	BST2	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
POU2F2	C17orf65	0.83994	50.47	0.471	rgb(222,127,128)	1.9896	2,2
POU2F2	C1orf127	0.24796	30	0	rgb(217,217,217)	1.5801	None
POU2F2	C6orf185	0.53928	44.3	0.298	rgb(220,160,161)	1.8662	2,2
POU2F2	CACNA1A	0.12321	21	0	rgb(217,217,217)	1.4001	None
POU2F2	CACNA2D1	0.40632	37.64	0.642	rgb(224, 94, 96)	1.7329	None
POU2F2	CADM2	0.14469	23	0	rgb(217,217,217)	1.4401	None
POU2F2	CCDC162P	0.18104	25	0	rgb(217,217,217)	1.4801	None
POU2F2	CCDC181	0.13057	21	0	rgb(217,217,217)	1.4001	None
POU2F2	CD300LF	0.63247	47.29	0.288	rgb(220,162,163)	1.926	None
POU2F2	CD96	0.94031	50.7	0.698	rgb(225, 84, 85)	1.9942	None
POU2F2	CDHR1	0.729	49.31	0.311	rgb(220,158,158)	1.9664	2,2
POU2F2	CDHR3	0.15832	24	0	rgb(217,217,217)	1.4601	None
POU2F2	CENPE	-0.93222	50.68	-0.68	rgb( 70,127,243)	1.9938	None
POU2F2	CERKL	0.04399	16	0	rgb(217,217,217)	1.3001	None
POU2F2	CFC1	0.15832	24	0	rgb(217,217,217)	1.4601	None
POU2F2	CLIP3	0.54523	44.39	0.39	rgb(221,142,143)	1.868	None
POU2F2	CNTD2	0.084387	19	0	rgb(217,217,217)	1.3601	None
POU2F2	CPE	0.65564	47.53	0.526	rgb(223,116,117)	1.9308	None
POU2F2	CPLX1	-0.55766	44.75	-0.75	rgb( 54,118,246)	1.8752	None
POU2F2	CXXC4	0.89488	50.6	0.598	rgb(224,103,104)	1.9922	None
POU2F2	DKFZP434K028	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
POU2F2	DNER	0.092482	18	0	rgb(217,217,217)	1.3401	None
POU2F2	DOCK4	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
POU2F2	DPP10	0.64572	46.72	0.719	rgb(225, 80, 81)	1.9146	None
POU2F2	EBF3	0.29533	33	0	rgb(217,217,217)	1.6401	None
POU2F2	EDAR	-0.77356	49.67	-0.67	rgb( 72,129,242)	1.9736	None
POU2F2	EPHB3	0.068278	17	0	rgb(217,217,217)	1.3201	None
POU2F2	FAXC	0.052045	17	0	rgb(217,217,217)	1.3201	None
POU2F2	FGF14	0.23961	28	0	rgb(217,217,217)	1.5401	None
POU2F2	FLJ44955	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
POU2F2	GPR173	0.27869	32	0	rgb(217,217,217)	1.6201	None
POU2F2	GRAP2	-0.57943	45.47	-0.47	rgb(115,155,235)	1.8896	None
POU2F2	GREB1	0.15832	24	0	rgb(217,217,217)	1.4601	None
POU2F2	HES6	0.23961	28	0	rgb(217,217,217)	1.5401	None
POU2F2	HIST2H2BF	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
POU2F2	IFI27	0.74201	49.43	0.431	rgb(222,135,135)	1.9688	2,2
POU2F2	IGSF10	0.27869	32	0	rgb(217,217,217)	1.6201	None
POU2F2	KCNH3	-0.60863	46.43	-0.43	rgb(123,160,234)	1.9088	None
POU2F2	KCNH7	0.77266	49.66	0.659	rgb(224, 91, 92)	1.9734	None
POU2F2	KCNJ6	0.0067328	14	0	rgb(217,217,217)	1.2601	None
POU2F2	KCNK17	0.45762	41.23	0.23	rgb(220,173,174)	1.8048	None
POU2F2	KCNMB2	0.04399	16	0	rgb(217,217,217)	1.3001	None
POU2F2	KCTD12	0.18104	25	0	rgb(217,217,217)	1.4801	None
POU2F2	LIN7A	0.80033	50.32	0.318	rgb(220,156,157)	1.9866	None
POU2F2	LMX1B	0.67988	48.27	0.269	rgb(220,166,166)	1.9456	None
POU2F2	LOC100128288	0.48228	42.26	0.257	rgb(220,168,169)	1.8254	2,2
POU2F2	LOC100190986	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
POU2F2	LOC100652999	0.37604	37.36	0.359	rgb(221,148,149)	1.7273	2,2
POU2F2	LOC441081	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
POU2F2	LOC644172	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
POU2F2	LONRF2	0.23296	29	0	rgb(217,217,217)	1.5601	None
POU2F2	LZTS1	-0.77683	49.68	-0.68	rgb( 70,128,243)	1.9738	None
POU2F2	MAP2	0.076869	18	0	rgb(217,217,217)	1.3401	None
POU2F2	MAPK10	0.45729	41.22	0.224	rgb(219,174,175)	1.8046	None
POU2F2	MCOLN3	0.87641	50.56	0.556	rgb(223,111,112)	1.9914	None
POU2F2	MSH5	-0.5	42.65	-0.65	rgb( 76,131,242)	1.8332	None
POU2F2	NAIP	0.6905	48.4	0.403	rgb(221,140,141)	1.9482	2,2
POU2F2	NAV3	0.1881	26	0	rgb(217,217,217)	1.5001	None
POU2F2	NEGR1	0.18104	25	0	rgb(217,217,217)	1.4801	None
POU2F2	NEK10	-0.35283	36.24	-0.24	rgb(164,185,226)	1.7049	None
POU2F2	NFASC	0.34469	36.02	0.019	rgb(217,213,213)	1.7005	None
POU2F2	NOL4	0.53978	43.24	0.239	rgb(220,171,172)	1.845	None
POU2F2	NREP	0.16638	23	0	rgb(217,217,217)	1.4401	None
POU2F2	PALMD	-0.73556	49.38	-0.38	rgb(134,167,231)	1.9678	None
POU2F2	PCDHB14	0.51314	43.32	0.317	rgb(220,156,157)	1.8466	2,2
POU2F2	PCYT1B	0.41722	39.37	0.373	rgb(221,146,146)	1.7676	None
POU2F2	PHYHIP	0.027303	15	0	rgb(217,217,217)	1.2801	None
POU2F2	PLCXD3	0.7254	49.27	0.575	rgb(223,107,108)	1.9656	None
POU2F2	PRR5-ARHGAP8	0.52346	43.55	0.555	rgb(223,111,112)	1.8512	None
POU2F2	PTPRT	-0.6221	46.86	-0.86	rgb( 31,104,250)	1.9174	None
POU2F2	RAB26	0.084387	19	0	rgb(217,217,217)	1.3601	None
POU2F2	RAB3C	0.31152	34	0	rgb(217,217,217)	1.6601	None
POU2F2	RD3	-0.65176	47.2	-0.53	rgb(103,148,237)	1.9242	None
POU2F2	RGS9	0.43511	40.25	0.251	rgb(220,169,170)	1.7852	None
POU2F2	RUNX1T1	0.41334	39.29	0.291	rgb(220,161,162)	1.766	None
POU2F2	SAMD5	0.04399	16	0	rgb(217,217,217)	1.3001	None
POU2F2	SDCBP2-AS1	0.29533	33	0	rgb(217,217,217)	1.6401	None
POU2F2	SDPR	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
POU2F2	SEZ6	0.04399	16	0	rgb(217,217,217)	1.3001	None
POU2F2	SFMBT2	-0.40132	38.49	-0.49	rgb(110,152,236)	1.7499	None
POU2F2	SIM1	0.43722	40.29	0.285	rgb(220,163,163)	1.786	None
POU2F2	SLC14A2	0.52602	43.63	0.631	rgb(224, 96, 98)	1.8528	None
POU2F2	SLC25A53	0.052045	17	0	rgb(217,217,217)	1.3201	None
POU2F2	SLC26A7	0.82148	50.41	0.408	rgb(221,139,140)	1.9884	None
POU2F2	SMA5	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
POU2F2	SPDYE1	-0.40558	39.07	-0.074	rgb(201,207,220)	1.7616	None
POU2F2	SPOCK3	0.076869	18	0	rgb(217,217,217)	1.3401	None
