TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ZFP69B	ADCY5	0.84692	50.49	0.492	rgb(222,123,124)	1.99	None
ZFP69B	AFF2	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ZFP69B	AK025975	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
ZFP69B	AK056486	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZFP69B	AK093555	0.83994	50.47	0.474	rgb(222,126,127)	1.9896	2,2
ZFP69B	AK125437	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
ZFP69B	AK316321	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
ZFP69B	ASXL3	0.66811	47.72	0.724	rgb(225, 79, 80)	1.9346	2,2
ZFP69B	AVPR1B	-0.81908	50.4	-0.4	rgb(131,165,232)	1.9882	None
ZFP69B	AX746826	0.61739	46.59	0.588	rgb(223,105,106)	1.912	2,2
ZFP69B	AX746995	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
ZFP69B	BC019672	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
ZFP69B	BCAT1	-0.5285	44.04	-0.041	rgb(208,212,219)	1.861	None
ZFP69B	BHMT	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZFP69B	C14orf132	0.96943	50.78	0.784	rgb(226, 67, 69)	1.9958	None
ZFP69B	C17orf65	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ZFP69B	CABP7	0.1881	26	0	rgb(217,217,217)	1.5001	None
ZFP69B	CCDC154	0.44713	40.51	0.507	rgb(223,120,121)	1.7904	2,2
ZFP69B	CCDC88A	0.9482	50.72	0.718	rgb(225, 80, 81)	1.9946	None
ZFP69B	CD96	0.89488	50.6	0.601	rgb(224,102,103)	1.9922	None
ZFP69B	CELSR2	0.83994	50.47	0.465	rgb(222,128,129)	1.9896	None
ZFP69B	CHST8	0.72949	49.1	0.1	rgb(218,198,198)	1.9622	None
ZFP69B	DNER	0.35907	36.42	0.424	rgb(222,136,137)	1.7085	None
