	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BAD_PATHWAY									ADCY1 BCL2		ADCY1 BCL2																			ADCY1 BCL2																			
BIOCARTA_BOTULIN_PATHWAY		SNAP25 STX1A																																				SNAP25 STX1A											
BIOCARTA_CARDIACEGF_PATHWAY																																						ADAM12 AGT											
BIOCARTA_KERATINOCYTE_PATHWAY	PRKCG PRKCH																																																
BIOCARTA_NFAT_PATHWAY																																																AGT CAMK1	
BIOCARTA_NO1_PATHWAY																				CHRNA1 FLT1																			CHRNA1 PDE2A										
BIOCARTA_PDZS_PATHWAY																																						DLG2 NFASC											
KEGG_ACUTE_MYELOID_LEUKEMIA																						AKT3 RUNX1T1																											
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																						AKT3 NPY	CPT1C MAPK10																										
KEGG_ALZHEIMERS_DISEASE																											CDK5R1 GRIN1																						
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS									BCL2 NEFM SLC1A2																																								
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION																														HSPA2 HSPA6																			
KEGG_ARACHIDONIC_ACID_METABOLISM																							GGT5 JMJD7-PLA2G4B																										
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC								CACNA1C CACNA2D2 CACNB2 CACNB4 SLC8A1														CACNA1C CACNG6									ACTN3 CACNB4 ITGA7							CACNA1C CACNB4 CACNG7 ITGA7 SGCD								SGCD SLC8A1			CACNA1C CACNA2D2 ITGA7
KEGG_AXON_GUIDANCE																						ABLIM2 EFNB3 ROBO1																											
KEGG_BASAL_CELL_CARCINOMA																											PTCH1 WNT9A												FZD4 WNT9A										
KEGG_BLADDER_CANCER																															MMP2 PGF																		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY																						AKT3 VAV3																				NFAT5 PLCG2 VAV3							
KEGG_CALCIUM_SIGNALING_PATHWAY		CAMK2B PRKCG SLC8A1						AVPR1B CACNA1C CACNA1E CYSLTR2 PRKCG SLC8A1							ADCY1 PRKCG	ITPR1 PLCG2					ADCY2 CACNA1G ITPR1 P2RX6									ADCY1 CACNA1E CACNA1G CACNA1H ITPR1												ADCY2 ADORA2A AVPR1B CACNA1C CACNA1G P2RX6 PLCG2						CAMK2B GRIN1 ITPR1 P2RX6	
KEGG_CARDIAC_MUSCLE_CONTRACTION								CACNA1C CACNA2D2 CACNB2 CACNB4 SLC8A1														CACNA1C CACNG6																ATP1A3 CACNA1C CACNB4 CACNG7											CACNA1C CACNA2D2
KEGG_CELL_ADHESION_MOLECULES_CAMS				CLDN6 NRXN2						CDH5 VCAN									CLDN6 NRXN2			CADM3 CLDN6 NEGR1														CLDN6 NEGR1 NFASC NRXN2													
KEGG_CHEMOKINE_SIGNALING_PATHWAY											ADCY1 ADCY5 SHC3																																						
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES																				C7 F10																							CFH F10						
KEGG_DILATED_CARDIOMYOPATHY					CACNA1C CACNG6 MYBPC3		CACNG6 MYBPC3	CACNA1C CACNA2D2 CACNB2 CACNB4 SLC8A1			ADCY1 ADCY5 SGCD										ADCY2 CACNB4 ITGA7				ADCY2 CACNG6			MYBPC3 SGCD		ADCY1 CACNA2D2						ADCY1 CACNA2D1 CACNG4		ADCY2 CACNA1C CACNB4 CACNG7 ITGA7 SGCD				ADCY2 CACNA1C CACNB4				SGCD SLC8A1			CACNA1C CACNA2D2 ITGA7
KEGG_DRUG_METABOLISM_CYTOCHROME_P450																							ADH6 GSTA2										ADH6 GSTA2						ADH6 GSTM2										
KEGG_ECM_RECEPTOR_INTERACTION		SPP1 SV2B					SPP1 SV2B	COL1A2 SV2A SV2B													COL1A2 ITGA7 SV2B																	COL1A2 ITGA7 SPP1 SV2A SV2B THBS4											
KEGG_ENDOCYTOSIS					DNM3 HSPA2 NTRK1 PSD												CSF1R NTRK1 PARD6A								DNM3 RET					CSF1R HSPA2 HSPA6																			
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION							ATP6V1B1 ATP6V1G2										JAM3 PLCG2																					ATP6V0E2 ATP6V1G2 JAM3 MAPK10 MAPK12											
KEGG_ERBB_SIGNALING_PATHWAY		AKT3 CAMK2B PAK6 PRKCG																																	PAK6 SHC3			AKT3 EIF4EBP1 MAPK10 PAK6 SHC3											
KEGG_FATTY_ACID_METABOLISM																					ACSL6 ADH6 CPT1C		ADH6 CPT1C																										
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY																						AKT3 VAV3	JMJD7-PLA2G4B MAPK10 VAV3													AKT3 JMJD7-PLA2G4B PLCG2													
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	DNM3 PRKCG																															AMPH VAV3				AKT3 AMPH PLCG2													
