	ARX	ASCL1	E2F7	ETV1	FEV	FOXD4L5	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.79046867151	1	1	0.00223696164622	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.00647846558377	1	1	1
GO_AXON	0.0181617062301	1	0.00298391636015	1	0.0748478094384	0.867449684616	1	1	1	0.508844123007	0.0	1	0.00768141462702	1
GO_AXON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	0.644281313157	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0	0.282752889536	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	0.000168133032429	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	0.461451336163	1	1	1	1	1	0.000308581613954	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000429102761204	1	1	1	1	1	0.0331933907748	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.997059575465	0.0576343503562	1	1	1	1	1	0.229326626685	1	1	1
GO_CATION_TRANSPORT	1	1	1	1	0.101712796858	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.0178719592796	1	1	1
GO_CELL_BODY	1	1	1	1	0.702045597229	1	1	1	1	1	0.0135652805092	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	0.0288866383215	1	1	1	1	1	0.0	0.00396562311971	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.759800021223	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.00691975468373	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.5039539096	1	1	1
GO_DENDRITIC_TREE	1	1	1	1	1	1	1	1	1	1	0.0	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	1	1	1	1	0.526644468006	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	1	1	0.082067600756	1	1	1
GO_GATED_CHANNEL_ACTIVITY	1	1	1	1	1.67401001523e-05	1	1	1	1	1	4.95303898851e-06	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.00020615047956	1	1	1	1	1	0.0166989973985	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000115962477713	1	1	1	1	1	0.0200587675592	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0441105664012	1	1	1	1	1	0.534946090504	1	1	1
GO_ION_TRANSPORT	1	1	1	1	0.023257809416	1	1	1	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0121056729822	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	0.536533993881	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	0.696058000549	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	0.0194981368517	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.352571775852	0.028538024656	1	0.441612078845	1	1	1	0.00827532131059	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	1	0.107011009442	1	1	1	1	1	0.47665534816	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.970710551136	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	1	1	1	1	1	1	0.701234483975	1	1	1
GO_NEUROGENESIS	1	1	1	1	0.269417420234	1	1	1	1	1	0.00652833657529	0.0334837318461	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	0.124608268242	1	1	1	1	1	0.0101706695142	0.583074894749	1	1
GO_NEURON_DIFFERENTIATION	1	1	1	1	0.529596940238	1	1	1	1	1	0.00864809462918	0.727338732057	1	1
GO_NEURON_PROJECTION	0.00028583300956	1	0.00113521286894	1	2.72140867308e-05	0.026985210765	1	1	1	0.0240045086389	2.99786677915e-05	8.11636667424e-05	3.69752954634e-05	1
GO_NEURON_TO_NEURON_SYNAPSE	1	1	1	1	1	1	1	1	1	1	0.133260552622	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	0.000268191701723	1	1	1
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	1	1	1	1	1	1	1	1	1	1	1	1	1	0.481021684273
GO_POSITIVE_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	0.950037938297	1
GO_POSTSYNAPSE	0.102120898893	1	1	1	1	1	1	1	1	1	4.35242313929e-05	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.181857495982	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	0.0121180575017	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.0996414705941	1	1	1
GO_POTASSIUM_ION_TRANSPORT	1	1	1	1	1	1	1	1	1	1	0.0511831550892	1	1	1
GO_PRESYNAPSE	0.245603269547	1	0.0124791828388	1	0.000163440949875	1	1	1	1	1	0.000124804602927	1	1	1
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	1	1	1	1	1	1	1	1	1	1	0.305065607078	1	1	1
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	1	1	1	1	1	1	1	1	1	1	0.270092893006	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	1	1	0.137346574559	1	1	1
