	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HES4	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	1	0.0569263955376	1	1	1	1	1	1	1	1	1	1	0.474628108514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000511249773538	1	1	0.00016707486854	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	0.765918338851	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	1	1	0.0	1	1	1	0.0	0.0	0.140730000193	0.285125154114	0.0	1	1	1	0.0	0.00306497758869	0.0	0.0	1	0.196186734263	1	0.0	1	1	0.0	0.245450443041	1	0.000881070385367	1	1	0.0	1	0.0	0.0	1	0.0	0.0450638307632	1	1	1
GO_AXON_DEVELOPMENT	1	1	0.0579839203015	1	1	1	0.00118840748566	1	1	1	0.198233074797	1	1	1	1	1	1	1	1	1	1	0.000246601608453	1	1	1	1	1	1	1	1	1	1	0.30740702917	1	1	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0207808073065	1	1	1	0.00196697295031	1	0.0162185240227	0.0	1	1	1	1	1	1	6.65878821688e-05	1	1	0.0	1	1	1	1	0.0414639821052	1	1	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.178965260095	1	1	1	0.00471922332169	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.977013345033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0386773729599	1	1	1	1	1	1	1	1	1	1	1	1	0.0850412252078	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.500219784975	1	1	1	1	1	1	0.0465479775212	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0380220712127	1	1	1	1	1	1	0.0175146127565	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	1	1	1	0.161153811375	1	1	1	1	1	1	0.000199237200689	1	1	1	1	1	1	1	1	1	0.243892863843	1	1	1	1	1	0.123020281907	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.743803237606	7.85552866436e-05	1	1	0.0	0.000751925735478	0.0315299296786	1	0.0	1	1	1	0.000978187767406	1	0.0	0.0	1	0.00339084988488	0.401368701676	0.0	1	1	0.0295783033737	0.0	1	0.0	1	1	0.000271997775791	1	4.59879744867e-05	0.0	1	0.000116310402069	0.243887953878	1	0.254240285016	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	0.00144913054542	1	1	0.00133326511942	0.0555397524458	0.000437559521443	1	0.0	1	1	1	4.21393886474e-05	1	1	0.0	1	0.441009048254	1	0.000396178223075	1	1	0.815933091158	0.00410146571008	1	3.86203893865e-06	1	1	1	1	0.000489107678603	0.00112339910218	1	4.47583627144e-05	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	0.915454929062	1	1	0.00653572839742	0.205811348648	1	1	0.00616471262939	1	1	1	1	1	0.728567452205	0.0	1	1	1	0.0109387777504	1	1	0.0219730664422	0.000258074787964	1	0.0	1	1	0.056767042282	1	0.0217417496062	0.079942331897	1	0.0389352436314	1	1	0.217800257357	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.330813257865	1	1	0.00208470160034	0.561992141112	1	1	0.0171698392926	1	1	1	1	1	0.058310196813	0.0	1	1	1	0.000704609237047	1	1	1	0.0113537412067	1	0.000684981009913	1	1	1	1	0.121441448825	0.0100327087962	1	0.607703721027	1	1	1	1
