TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CCDC17	ADM5	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
ZNF883	ADM5	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
CCDC17	AF086346	0.78121	49.8	0.796	rgb(226, 65, 67)	1.9762	2,2
ZNF883	AF086346	-0.53205	42.79	-0.79	rgb( 45,112,247)	1.836	2,2
CCDC17	AF258560	0.52202	43.5	0.501	rgb(223,121,122)	1.8502	2,2
ZNF883	AF258560	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CCDC17	AF420437	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ZNF883	AF420437	-0.44577	40.47	-0.47	rgb(114,154,235)	1.7896	2,2
CCDC17	AK024092	0.89261	50.63	0.633	rgb(224, 96, 97)	1.9928	2,2
ZNF883	AK024092	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CCDC17	AK025511	0.48104	42.24	0.237	rgb(220,172,172)	1.825	2,2
ZNF883	AK025511	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CCDC17	AK025664	0.60091	46.32	0.321	rgb(221,156,156)	1.9066	2,2
ZNF883	AK025664	-0.72524	48.74	-0.74	rgb( 57,120,245)	1.955	2,2
CCDC17	AK026392	0.77865	49.76	0.761	rgb(225, 72, 73)	1.9754	2,2
ZNF883	AK026392	-0.53185	42.77	-0.77	rgb( 50,115,246)	1.8356	2,2
CCDC17	AK027252	0.76382	49.59	0.589	rgb(223,104,106)	1.972	2,2
ZNF883	AK027252	-0.42454	38.49	-0.49	rgb(111,153,236)	1.7499	2,2
CCDC17	AK027332	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
ZNF883	AK027332	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CCDC17	AK027840	0.77893	49.77	0.767	rgb(225, 70, 72)	1.9756	2,2
ZNF883	AK027840	-0.53185	42.77	-0.77	rgb( 49,115,246)	1.8356	2,2
CCDC17	AK055257	0.76712	49.62	0.62	rgb(224, 98,100)	1.9726	2,2
ZNF883	AK055257	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CCDC17	AK091624	0.74886	49.48	0.483	rgb(222,125,126)	1.9698	2,2
ZNF883	AK091624	-0.49566	41.5	-0.5	rgb(108,150,236)	1.8102	2,2
CCDC17	AK091996	0.38063	36.39	0.392	rgb(221,142,143)	1.7079	2,2
ZNF883	AK091996	-0.70574	48.57	-0.57	rgb( 92,141,239)	1.9516	2,2
CCDC17	AK095546	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ZNF883	AK095546	-0.49298	42.44	-0.44	rgb(122,159,234)	1.829	2,2
