TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CSRNP3	ACE	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CSRNP3	ACTG1P4	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
CSRNP3	AF086346	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
CSRNP3	AFF2	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
CSRNP3	AK025664	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CSRNP3	AK026392	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CSRNP3	AK027840	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CSRNP3	AK056486	0.59157	46.15	0.153	rgb(219,188,188)	1.9032	2,2
CSRNP3	AK092380	0.36237	36.61	0.609	rgb(224,101,102)	1.7123	2,2
CSRNP3	AK097012	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
CSRNP3	AK125858	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CSRNP3	AK128361	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
CSRNP3	AK128563	0.74523	49.45	0.453	rgb(222,130,131)	1.9692	2,2
CSRNP3	AK302511	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
CSRNP3	AK311257	0.46159	41.3	0.304	rgb(220,159,160)	1.8062	2,2
CSRNP3	AL831889	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
CSRNP3	AL832937	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
CSRNP3	APOB	0.39141	38.24	0.236	rgb(220,172,172)	1.7449	2,2
CSRNP3	AX746826	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	AX747090	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
CSRNP3	AX747755	-0.34436	36	-0.0025	rgb(216,217,217)	1.7001	2,2
CSRNP3	BC041654	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
CSRNP3	BC053580	0.74767	49.41	0.501	rgb(223,121,122)	1.9684	2,2
CSRNP3	C7orf41	0.75436	49.53	0.528	rgb(223,116,117)	1.9708	2,2
CSRNP3	C9orf102	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	CACNB2	0.44391	40.42	0.415	rgb(222,138,138)	1.7886	2,2
CSRNP3	CCNA1	0.74168	49.33	0.328	rgb(221,154,155)	1.9668	2,2
CSRNP3	CERS6-AS1	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
CSRNP3	CLCN4	0.40107	37.41	0.414	rgb(222,138,139)	1.7283	2,2
CSRNP3	CYSLTR2	0.50603	42.19	0.19	rgb(219,181,181)	1.824	2,2
CSRNP3	DKFZp586B1922	-0.40132	38.49	-0.49	rgb(111,152,236)	1.7499	2,2
CSRNP3	DKFZp779K0112	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	ELAVL3	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	FAM21B	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
CSRNP3	FBN1	0.37435	37.32	0.32	rgb(221,156,157)	1.7265	2,2
CSRNP3	FLJ35024	0.87922	50.6	0.603	rgb(224,102,103)	1.9922	2,2
CSRNP3	FOXD4L5	0.60814	45.54	0.541	rgb(223,114,115)	1.891	2,2
CSRNP3	GOLGA6L4	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CSRNP3	GPR133	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
CSRNP3	GUCY1B3	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
CSRNP3	HIF1A-AS2	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
CSRNP3	IFI44	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
CSRNP3	KIAA1456	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
CSRNP3	LHFPL4	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CSRNP3	LINC00340	0.86679	50.54	0.54	rgb(223,114,115)	1.991	2,2
CSRNP3	LINC00494	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
CSRNP3	LOC100132215	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CSRNP3	LOC100506585	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CSRNP3	LOC100996634	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CSRNP3	LOC202181	0.76258	49.58	0.577	rgb(223,107,108)	1.9718	2,2
CSRNP3	LOC399744	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CSRNP3	LOC441204	0.63201	46.42	0.419	rgb(222,137,138)	1.9086	2,2
CSRNP3	LOC642776	0.41722	39.37	0.373	rgb(221,146,147)	1.7676	2,2
CSRNP3	LQFBS-1	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
CSRNP3	ONECUT1	0.42689	40.04	0.042	rgb(217,209,209)	1.781	2,2
CSRNP3	PCDHB9	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
CSRNP3	PFN1P2	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
CSRNP3	PTHLH	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CSRNP3	RSPH10B2	0.88819	50.62	0.675	rgb(224, 88, 89)	1.9926	2,2
CSRNP3	SMA5	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
CSRNP3	SUCNR1	0.4646	41.37	0.368	rgb(221,147,147)	1.8076	2,2
CSRNP3	TACR3	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	TBC1D3C	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
CSRNP3	WBSCR27	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CSRNP3	ZRANB2-AS1	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
