TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
GATA2	ABCA9	0.98344	50.88	0.879	rgb(227, 49, 51)	1.9978	None
GATA2	ABCC8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
GATA2	ABLIM2	0.90434	50.62	0.622	rgb(224, 98, 99)	1.9926	None
GATA2	ACSL6	0.60487	46.37	0.366	rgb(221,147,148)	1.9076	None
GATA2	ACTN3	-0.971	50.83	-0.83	rgb( 37,107,249)	1.9968	None
GATA2	ADAMTS2	0.69434	48.44	0.437	rgb(222,133,134)	1.949	2,2
GATA2	ADCY1	0.55465	43.55	0.553	rgb(223,111,113)	1.8512	None
GATA2	ADCY2	0.79438	50.27	0.273	rgb(220,165,165)	1.9856	None
GATA2	ADCY5	0.46431	40.36	0.358	rgb(221,149,149)	1.7874	None
GATA2	ADORA2A	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
GATA2	AF131837	0.45981	41.26	0.263	rgb(220,167,167)	1.8054	2,2
GATA2	AGAP11	0.30343	32	0	rgb(217,217,217)	1.6201	None
GATA2	AGT	0.90434	50.62	0.618	rgb(224, 99,100)	1.9926	None
GATA2	AK054970	0.49682	41.55	0.55	rgb(223,112,113)	1.8112	2,2
GATA2	AK055386	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
GATA2	AK091996	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
GATA2	AK092251	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
GATA2	AK096718	0.60425	46.36	0.358	rgb(221,149,149)	1.9074	2,2
GATA2	AK125333	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
GATA2	AK128833	0.86254	50.53	0.532	rgb(223,115,117)	1.9908	2,2
GATA2	AK311257	0.91722	50.65	0.653	rgb(224, 92, 94)	1.9932	2,2
GATA2	AKT3	0.97889	50.86	0.856	rgb(226, 54, 55)	1.9974	None
GATA2	AMBP	0.98249	50.83	0.828	rgb(226, 59, 61)	1.9968	None
GATA2	AMPD3	0.052045	17	0	rgb(217,217,217)	1.3201	None
GATA2	ANGPT2	-0.9722	50.79	-0.79	rgb( 46,113,247)	1.996	None
GATA2	ANK2	0.88616	50.58	0.576	rgb(223,107,108)	1.9918	None
GATA2	ANKFN1	-0.56658	45.27	-0.27	rgb(158,181,227)	1.8856	None
GATA2	ANKRD13B	0.11582	20	0	rgb(217,217,217)	1.3801	None
GATA2	ANKRD45	0.24796	30	0	rgb(217,217,217)	1.5801	None
GATA2	APBB1	0.51066	43.28	0.277	rgb(220,164,165)	1.8458	None
GATA2	APOA1	0.068278	17	0	rgb(217,217,217)	1.3201	None
GATA2	ARHGEF26-AS1	0.11582	20	0	rgb(217,217,217)	1.3801	None
GATA2	ARL9	-0.74201	49.43	-0.43	rgb(124,161,233)	1.9688	None
GATA2	ARNT2	0.068278	17	0	rgb(217,217,217)	1.3201	None
GATA2	ASIC1	-0.66233	47.4	-0.4	rgb(131,165,232)	1.9282	None
GATA2	ASIC5	0.7254	49.27	0.267	rgb(220,166,167)	1.9656	2,2
GATA2	ASRGL1	0.052045	17	0	rgb(217,217,217)	1.3201	None
GATA2	ATP13A4	0.26378	31	0	rgb(217,217,217)	1.6001	None
GATA2	ATP1A3	0.10777	20	0	rgb(217,217,217)	1.3801	None
GATA2	ATP6V1G2	-0.4195	39.41	-0.7	rgb( 66,125,244)	1.7684	None
GATA2	ATP8B2	0.052045	17	0	rgb(217,217,217)	1.3201	None
GATA2	AX746734	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
GATA2	AX747516	0.76914	49.63	0.635	rgb(224, 96, 97)	1.9728	2,2
GATA2	AX747590	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
GATA2	AX747850	0.34147	34.26	0.26	rgb(220,167,168)	1.6653	2,2
GATA2	BAI2	0.59637	46.25	0.252	rgb(220,169,169)	1.9052	2,2
GATA2	BASP1	0.73664	49.27	0.273	rgb(220,165,165)	1.9656	None
GATA2	BC020343	0.6905	48.4	0.401	rgb(221,140,141)	1.9482	2,2
GATA2	BC040894	0.79884	50.31	0.308	rgb(220,158,159)	1.9864	2,2
GATA2	BC042374	0.43362	39.2	0.2	rgb(219,179,179)	1.7642	2,2
GATA2	BC073817	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
GATA2	BC150585	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
GATA2	BCAT1	-0.54845	44.45	-0.45	rgb(120,158,234)	1.8692	None
GATA2	BCL2	0.068278	17	0	rgb(217,217,217)	1.3201	None
GATA2	BRSK1	0.10777	20	0	rgb(217,217,217)	1.3801	None
GATA2	BSN	0.04399	16	0	rgb(217,217,217)	1.3001	None
GATA2	BTBD11	0.10029	19	0	rgb(217,217,217)	1.3601	None
GATA2	BX648496	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
GATA2	C11orf87	0.85828	50.52	0.517	rgb(223,118,119)	1.9906	2,2
GATA2	C1RL-AS1	0.74886	49.48	0.477	rgb(222,126,127)	1.9698	None
GATA2	C1orf95	0.81908	50.4	0.395	rgb(221,141,142)	1.9882	2,2
GATA2	C2CD4A	0.060595	16	0	rgb(217,217,217)	1.3001	None
GATA2	C7	-0.97476	50.8	-0.8	rgb( 43,111,247)	1.9962	None
GATA2	C9orf16	0.32805	35	0	rgb(217,217,217)	1.6801	None
GATA2	CACNA1A	0.68794	48.23	0.233	rgb(220,172,173)	1.9448	None
GATA2	CACNA1C	0.95147	50.73	0.734	rgb(225, 77, 78)	1.9948	None
