TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HES6	AF116693	-0.67551	47.58	-0.58	rgb( 91,140,239)	1.9318	2,2
HES6	AK026379	-0.55841	43.77	-0.77	rgb( 50,115,246)	1.8556	2,2
HES6	AK090700	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
HES6	AK091729	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HES6	AK091996	-0.457	40.2	-0.2	rgb(174,191,224)	1.7842	2,2
HES6	AK095546	-0.3974	37.31	-0.31	rgb(150,176,229)	1.7263	2,2
HES6	AK127339	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
HES6	AK311497	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HES6	APOA4	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
HES6	APOB	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
HES6	AX746605	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HES6	AX746867	-0.52363	42.5	-0.5	rgb(109,151,236)	1.8302	2,2
HES6	AX746995	0.38207	37.68	0.679	rgb(224, 87, 89)	1.7337	2,2
HES6	AX747590	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
HES6	AX747619	-0.70611	48.46	-0.46	rgb(117,156,235)	1.9494	2,2
HES6	AX747850	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
HES6	AX748336	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
HES6	BC107568	0.59265	46.19	0.191	rgb(219,180,181)	1.904	2,2
HES6	BHMT	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
HES6	C10orf35	0.54684	44.42	0.421	rgb(222,137,138)	1.8686	2,2
HES6	CR627394	-0.52536	42.54	-0.54	rgb(101,146,237)	1.831	2,2
HES6	CSRNP3	0.04399	16	0	rgb(217,217,217)	1.3001	None
HES6	DQ583756	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
HES6	FAM105A	0.81033	50.37	0.366	rgb(221,147,148)	1.9876	2,2
HES6	FJX1	0.98249	50.83	0.826	rgb(226, 59, 61)	1.9968	None
HES6	FOXD4L2	-0.45589	40.17	-0.17	rgb(180,194,224)	1.7836	2,2
HES6	FW340055	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HES6	GYLTL1B	0.47617	41.02	0.018	rgb(217,214,214)	1.8006	2,2
HES6	LGI3	0.17332	24	0	rgb(217,217,217)	1.4601	None
HES6	LIMD2	0.45762	41.23	0.232	rgb(220,173,173)	1.8048	2,2
HES6	LOC100131257	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HES6	LOC100188947	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
HES6	LOC145837	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
HES6	MUC2	-0.76795	49.59	-0.59	rgb( 89,139,239)	1.972	2,2
HES6	PCDHB16	0.39698	38.34	0.338	rgb(221,152,153)	1.7469	2,2
HES6	SERF2-C15ORF63	0.60215	45.42	0.423	rgb(222,136,137)	1.8886	2,2
HES6	SMOC1	0.48521	41.28	0.285	rgb(220,163,163)	1.8058	None
HES6	TMEM35	0.87278	50.55	0.551	rgb(223,112,113)	1.9912	2,2
HES6	TMEM8C	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
HES6	TUBB4A	-0.67212	48.01	-0.009	rgb(215,216,217)	1.9404	2,2
HES6	ZCCHC12	0.95147	50.73	0.727	rgb(225, 78, 80)	1.9948	2,2
