TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HLF	AB007962	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
HLF	ABCC4	-0.44783	39.56	-0.56	rgb( 96,144,238)	1.7714	None
HLF	ABLIM2	-0.93222	50.68	-0.71	rgb( 63,123,244)	1.9938	None
HLF	ACOT7	-0.66126	47.59	-0.59	rgb( 89,139,239)	1.932	None
HLF	AF198444	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
HLF	AFF2	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HLF	AHNAK	0.16638	23	0	rgb(217,217,217)	1.4401	None
HLF	AIF1	0.71917	49.13	0.352	rgb(221,150,150)	1.9628	None
HLF	AK024248	-0.47464	40.66	-0.66	rgb( 74,130,242)	1.7934	2,2
HLF	AK025664	0.38521	36.56	0.558	rgb(223,110,112)	1.7113	2,2
HLF	AK027332	0.52796	42.61	0.605	rgb(224,101,103)	1.8324	2,2
HLF	AK056486	-0.75663	49.49	-0.49	rgb(111,152,236)	1.97	2,2
HLF	AK091593	0.91722	50.65	0.65	rgb(224, 93, 94)	1.9932	2,2
HLF	AK091624	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
HLF	AK094786	-0.438	39.32	-0.32	rgb(146,174,229)	1.7666	2,2
HLF	AK123868	-0.4031	37.48	-0.48	rgb(112,153,235)	1.7297	2,2
HLF	AK124970	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
HLF	AK125333	0.88141	50.57	0.573	rgb(223,107,109)	1.9916	2,2
HLF	AK127443	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HLF	AK128153	-0.75564	49.48	-0.48	rgb(113,154,235)	1.9698	2,2
HLF	AK128563	-0.45808	40.22	-0.22	rgb(170,188,225)	1.7846	2,2
HLF	AK128656	-0.49851	41.6	-0.6	rgb( 87,138,240)	1.8122	2,2
HLF	AK302511	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
HLF	AK311213	-0.80913	50.35	-0.35	rgb(142,171,230)	1.9872	2,2
HLF	AK311257	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
HLF	AL109792	-0.35952	35.36	-0.36	rgb(139,170,231)	1.6873	2,2
HLF	AL831889	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	ANKRD36C	0.21727	28	0	rgb(217,217,217)	1.5401	None
HLF	APBB1	0.31941	33	0	rgb(217,217,217)	1.6401	None
HLF	ARHGAP24	-0.42309	38.44	-0.44	rgb(122,159,234)	1.7489	None
HLF	ASRGL1	-0.7185	48.61	-0.61	rgb( 85,137,240)	1.9524	None
HLF	ATCAY	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	ATP13A4	0.5853	44.68	0.697	rgb(225, 84, 85)	1.8738	None
HLF	AX746734	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
HLF	AX746764	-0.36258	35.44	-0.44	rgb(122,160,234)	1.6889	2,2
HLF	AX747090	-0.71458	48.55	-0.55	rgb( 97,144,238)	1.9512	2,2
HLF	AX747175	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
HLF	AX747639	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
HLF	AX747755	-0.41227	38.17	-0.17	rgb(180,194,224)	1.7435	2,2
HLF	AX747853	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HLF	AX748052	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HLF	AX748322	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
HLF	BC006435	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
HLF	BC019672	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HLF	BC020343	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
HLF	BC033528	-0.57431	44.43	-0.43	rgb(124,160,233)	1.8688	2,2
HLF	BC033961	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	BC040894	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
HLF	BC041025	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
HLF	BC041484	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
HLF	BC042825	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	BC073817	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
HLF	BC073932	0.68389	48.1	0.102	rgb(218,198,198)	1.9422	2,2
HLF	BTBD11	0.77451	49.68	0.683	rgb(225, 86, 88)	1.9738	None
HLF	BX647938	0.70017	48.51	0.508	rgb(223,120,121)	1.9504	2,2
HLF	BX649158	0.41549	39.33	0.328	rgb(221,154,155)	1.7668	2,2
HLF	C11orf87	0.76613	49.61	0.608	rgb(224,101,102)	1.9724	2,2
HLF	C4orf21	0.47146	41.57	0.568	rgb(223,109,110)	1.8116	2,2
HLF	C6orf201	-0.34387	34.41	-0.41	rgb(127,162,233)	1.6683	None
HLF	C8orf15	0.44845	40.56	0.556	rgb(223,111,112)	1.7914	2,2
HLF	C9orf102	0.27869	32	0	rgb(217,217,217)	1.6201	2,2
HLF	CACNA1B	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
HLF	CADM2	0.29533	33	0	rgb(217,217,217)	1.6401	None
HLF	CATSPERB	-0.51908	42.41	-0.41	rgb(127,162,233)	1.8284	None
HLF	CCDC162P	-0.42102	38.38	-0.38	rgb(134,166,232)	1.7477	None
HLF	CCDC39	0.31941	33	0	rgb(217,217,217)	1.6401	None
HLF	CCDC85B	0.68092	47.71	0.713	rgb(225, 81, 82)	1.9344	None
HLF	CCNA1	0.9278	50.67	0.667	rgb(224, 90, 91)	1.9936	2,2
HLF	CD200	-0.73119	49.16	-0.16	rgb(182,196,223)	1.9634	None
HLF	CD96	-0.39789	38.37	-0.37	rgb(137,168,231)	1.7475	None
HLF	CD99L2	-0.48934	41.36	-0.36	rgb(139,170,231)	1.8074	None
HLF	CDHR1	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HLF	CDHR3	0.04399	16	0	rgb(217,217,217)	1.3001	None
HLF	CDK5R1	0.30343	32	0	rgb(217,217,217)	1.6201	None
HLF	CERS6-AS1	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
HLF	CES1	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HLF	CNTNAP4	0.41508	39.32	0.323	rgb(221,155,156)	1.7666	2,2
HLF	COL14A1	0.83635	50.46	0.459	rgb(222,129,130)	1.9894	None
HLF	COL16A1	0.28724	31	0	rgb(217,217,217)	1.6001	None
HLF	COLQ	-0.40682	37.7	-0.7	rgb( 65,125,244)	1.7341	2,2
HLF	CRISPLD1	-0.367	35.64	-0.64	rgb( 77,132,241)	1.6929	2,2
HLF	CTSL2	0.63589	46.47	0.471	rgb(222,127,128)	1.9096	2,2
HLF	CXCL12	0.70752	48.59	0.593	rgb(224,104,105)	1.952	2,2
HLF	CYP27C1	0.32805	35	0	rgb(217,217,217)	1.6801	None
HLF	CYP4F24P	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
HLF	CYSLTR2	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
HLF	DDN	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
HLF	DEFB1	0.46411	40.35	0.353	rgb(221,150,150)	1.7872	None
HLF	DKFZp686M11215	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
HLF	DKFZp779K0112	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HLF	DNAH11	0.26378	31	0	rgb(217,217,217)	1.6001	None
HLF	DNAPTP1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
HLF	DNM3	0.14469	23	0	rgb(217,217,217)	1.4401	None
HLF	DOK6	0.90434	50.62	0.618	rgb(224, 99,100)	1.9926	None
HLF	DPP10	0.24796	30	0	rgb(217,217,217)	1.5801	None
HLF	DQ570835	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
HLF	DQ571357	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
HLF	DQ573539	-0.57662	44.45	-0.45	rgb(119,157,234)	1.8692	2,2
HLF	DYNC1I1	0.30343	32	0	rgb(217,217,217)	1.6201	None
HLF	DZIP1	0.88616	50.58	0.583	rgb(223,106,107)	1.9918	None
HLF	EML5	0.22515	27	0	rgb(217,217,217)	1.5201	None
HLF	ENTPD1	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
HLF	EPM2A	0.65064	47.48	0.484	rgb(222,125,126)	1.9298	None
HLF	FAM101B	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
HLF	FAM126A	0.29533	33	0	rgb(217,217,217)	1.6401	None
HLF	FAM179A	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
HLF	FAM57B	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HLF	FAM95B1	-0.74444	49.36	-0.36	rgb(139,169,231)	1.9674	2,2
HLF	FAT3	0.23296	29	0	rgb(217,217,217)	1.5601	None
HLF	FBN1	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
HLF	FCGBP	0.17332	24	0	rgb(217,217,217)	1.4601	None
HLF	FER1L6-AS1	0.49665	41.53	0.532	rgb(223,115,116)	1.8108	None
HLF	FFAR1	0.75717	49.55	0.55	rgb(223,112,113)	1.9712	2,2
HLF	FLJ00278	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	FLJ35024	0.83317	50.45	0.447	rgb(222,132,133)	1.9892	2,2
HLF	FXYD6	-0.69393	48.33	-0.33	rgb(146,174,229)	1.9468	None
HLF	GABRA1	0.77162	49.65	0.646	rgb(224, 94, 95)	1.9732	2,2
HLF	GABRB3	0.4202	39.43	0.429	rgb(222,135,136)	1.7688	2,2
HLF	GABRE	0.6292	47.25	0.254	rgb(220,169,169)	1.9252	None
HLF	GABRP	0.1881	26	0	rgb(217,217,217)	1.5001	None
