TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NEUROD1	ACSL6	0.29533	33	0	rgb(217,217,217)	1.6401	None
NEUROD2	ACSL6	0.47336	41.73	0.727	rgb(225, 78, 80)	1.8148	None
NEUROD1	ADCY2	0.80153	50.29	0.289	rgb(220,162,162)	1.986	None
NEUROD2	ADCY2	-0.71846	49.09	-0.09	rgb(198,205,220)	1.962	None
NEUROD1	AKR1B1	0.99356	50.93	0.933	rgb(227, 39, 41)	1.9988	None
NEUROD2	AKR1B1	0.76258	49.58	0.584	rgb(223,105,107)	1.9718	None
NEUROD1	AMBP	0.87922	50.6	0.604	rgb(224,102,103)	1.9922	None
NEUROD2	AMBP	0.52325	43.54	0.539	rgb(223,114,115)	1.851	None
NEUROD1	ANKRD13B	0.971	50.83	0.831	rgb(226, 58, 60)	1.9968	None
NEUROD2	ANKRD13B	0.65271	47.5	0.498	rgb(222,122,123)	1.9302	None
NEUROD1	ANKRD45	0.16638	23	0	rgb(217,217,217)	1.4401	None
NEUROD2	ANKRD45	0.49054	42.38	0.38	rgb(221,144,145)	1.8278	None
NEUROD1	AP3B2	0.98344	50.88	0.885	rgb(227, 48, 50)	1.9978	None
NEUROD2	AP3B2	0.49641	42.51	0.513	rgb(223,119,120)	1.8304	None
NEUROD1	APOA1	0.41466	38.23	0.226	rgb(219,174,174)	1.7447	None
NEUROD2	APOA1	-0.85828	50.52	-0.52	rgb(105,149,237)	1.9906	None
NEUROD1	ARHGAP9	0.99157	50.92	0.919	rgb(227, 42, 43)	1.9986	None
NEUROD2	ARHGAP9	0.87641	50.56	0.556	rgb(223,111,112)	1.9914	None
NEUROD1	ARHGEF25	0.84866	50.51	0.511	rgb(223,119,120)	1.9904	2,2
NEUROD2	ARHGEF25	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
NEUROD1	ATP13A4	-0.62222	46.9	-0.9	rgb( 21, 98,251)	1.9182	None
NEUROD2	ATP13A4	0.20355	27	0	rgb(217,217,217)	1.5201	None
NEUROD1	ATP8B2	0.64965	47.15	0.151	rgb(219,188,189)	1.9232	None
NEUROD2	ATP8B2	0.71074	48.64	0.645	rgb(224, 94, 95)	1.953	None
NEUROD1	BRS3	-0.35295	35.18	-0.18	rgb(178,193,224)	1.6837	None
NEUROD2	BRS3	0.27869	32	0	rgb(217,217,217)	1.6201	None
NEUROD1	C15orf61	0.79971	50.28	0.717	rgb(225, 80, 81)	1.9858	None
NEUROD2	C15orf61	-0.4494	40.63	-0.63	rgb( 80,133,241)	1.7928	None
NEUROD1	C1QL1	0.99847	50.97	0.966	rgb(228, 33, 35)	1.9996	None
NEUROD2	C1QL1	0.49798	42.54	0.543	rgb(223,113,114)	1.831	None
NEUROD1	C9orf16	0.72292	48.68	0.679	rgb(224, 87, 89)	1.9538	None
NEUROD2	C9orf16	0.50289	43.11	0.11	rgb(218,196,196)	1.8424	None
NEUROD1	CABP4	0.39711	37.3	0.302	rgb(220,159,160)	1.7261	None
NEUROD2	CABP4	0.64325	47.4	0.402	rgb(221,140,141)	1.9282	None
NEUROD1	CACNA1G	0.88819	50.62	0.616	rgb(224, 99,101)	1.9926	None
NEUROD2	CACNA1G	0.084387	19	0	rgb(217,217,217)	1.3601	None
NEUROD1	CADPS	0.971	50.83	0.829	rgb(226, 59, 60)	1.9968	None
NEUROD2	CADPS	0.4043	39.02	0.017	rgb(217,214,214)	1.7606	None
NEUROD1	CCDC162P	0.88819	50.62	0.619	rgb(224, 99,100)	1.9926	None
NEUROD2	CCDC162P	0.027303	15	0	rgb(217,217,217)	1.2801	None
NEUROD1	CCDC28B	0.93437	50.73	0.728	rgb(225, 78, 79)	1.9948	None
NEUROD2	CCDC28B	0.23296	29	0	rgb(217,217,217)	1.5601	None
NEUROD1	CD96	0.73437	49.24	0.239	rgb(220,171,172)	1.965	None
NEUROD2	CD96	0.13825	22	0	rgb(217,217,217)	1.4201	None
NEUROD1	CDH5	0.92577	50.71	0.715	rgb(225, 81, 82)	1.9944	None
NEUROD2	CDH5	0.4988	42.59	0.592	rgb(224,104,105)	1.832	None
NEUROD1	CELSR2	0.068278	17	0	rgb(217,217,217)	1.3201	None
NEUROD2	CELSR2	0.66361	47.63	0.625	rgb(224, 98, 99)	1.9328	None
NEUROD1	CEND1	0.74312	49.35	0.348	rgb(221,151,151)	1.9672	None
NEUROD2	CEND1	0.35812	36.38	0.38	rgb(221,144,145)	1.7077	None
NEUROD1	CFC1	0.84519	50.5	0.648	rgb(224, 93, 95)	1.9902	None
NEUROD2	CFC1	-0.6164	46.56	-0.56	rgb( 96,143,238)	1.9114	None
NEUROD1	CFC1B	0.22515	27	0	rgb(217,217,217)	1.5201	None
NEUROD2	CFC1B	0.076869	18	0	rgb(217,217,217)	1.3401	None
NEUROD1	CHD5	0.30343	32	0	rgb(217,217,217)	1.6201	None
NEUROD2	CHD5	0.26378	31	0	rgb(217,217,217)	1.6001	None
NEUROD1	CHRNA1	0.99748	50.96	0.956	rgb(228, 34, 36)	1.9994	None
NEUROD2	CHRNA1	0.64585	47.43	0.432	rgb(222,134,135)	1.9288	None
NEUROD1	CHRNB4	0.96501	50.81	0.809	rgb(226, 62, 64)	1.9964	None
NEUROD2	CHRNB4	0.9278	50.67	0.67	rgb(224, 89, 90)	1.9936	None
NEUROD1	CIB4	0.37109	36.16	0.163	rgb(219,186,186)	1.7033	None
NEUROD2	CIB4	-0.57125	44.36	-0.36	rgb(139,170,231)	1.8674	None
NEUROD1	CLPS	0.99632	50.95	0.949	rgb(227, 36, 38)	1.9992	None
NEUROD2	CLPS	0.82887	50.44	0.437	rgb(222,134,134)	1.989	None
NEUROD1	CRH	0.27869	32	0	rgb(217,217,217)	1.6201	None
NEUROD2	CRH	0.076869	18	0	rgb(217,217,217)	1.3401	None
NEUROD1	CRISPLD2	0.95374	50.78	0.784	rgb(226, 67, 69)	1.9958	None
NEUROD2	CRISPLD2	0.23961	29	0	rgb(217,217,217)	1.5601	None
NEUROD1	DNLZ	0.84192	50.49	0.491	rgb(222,123,124)	1.99	None
NEUROD2	DNLZ	0.26378	31	0	rgb(217,217,217)	1.6001	None
NEUROD1	DYNC1I1	0.53969	43.23	0.229	rgb(220,173,174)	1.8448	None
NEUROD2	DYNC1I1	0.23961	28	0	rgb(217,217,217)	1.5401	None
NEUROD1	E2F7	0.060595	16	0	rgb(217,217,217)	1.3001	None
NEUROD2	E2F7	0.3879	37.03	0.027	rgb(217,212,212)	1.7207	None
