TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PAX6	AADAT	0.27869	32	0	rgb(217,217,217)	1.6201	None
TFCP2L1	AADAT	-0.47166	40.56	-0.56	rgb( 94,142,238)	1.7914	None
SIX2	AB007962	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
TFCP2L1	AB007962	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
PAX6	ABCA9	-0.96501	50.81	-0.81	rgb( 40,110,248)	1.9964	None
SIX2	ABCA9	-0.71615	48.57	-0.57	rgb( 94,142,239)	1.9516	None
SMAD9	ABCA9	0.57811	45.44	0.443	rgb(222,132,133)	1.889	None
TFCP2L1	ABCA9	0.58009	45.48	0.482	rgb(222,125,126)	1.8898	None
PAX6	ABCC4	0.13057	21	0	rgb(217,217,217)	1.4001	None
SMAD9	ABCC4	-0.36592	37.13	-0.13	rgb(190,200,222)	1.7227	None
SOX4	ABCC4	0.12321	21	0	rgb(217,217,217)	1.4001	None
TFCP2L1	ABCC4	0.89488	50.6	0.597	rgb(224,103,104)	1.9922	None
SMAD9	ABCC8	0.43238	40.19	0.186	rgb(219,181,182)	1.784	None
SOX4	ABCC8	-0.96799	50.82	-0.82	rgb( 40,109,248)	1.9966	None
PAX6	ABLIM2	0.49665	41.53	0.531	rgb(223,116,117)	1.8108	None
SIX2	ABLIM2	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
SOX4	ABLIM2	-0.38364	36.48	-0.48	rgb(112,153,235)	1.7097	None
PAX6	ACBD7	-0.60962	45.57	-0.57	rgb( 93,141,239)	1.8916	None
SMAD9	ACBD7	0.17332	24	0	rgb(217,217,217)	1.4601	None
SOX4	ACBD7	-0.64907	47.46	-0.46	rgb(118,157,234)	1.9294	None
PAX6	ACE	0.59909	46.3	0.3	rgb(220,160,160)	1.9062	None
SMAD9	ACE	0.67286	48.07	0.067	rgb(218,204,204)	1.9416	None
SIX2	ACOT7	-0.82772	50.44	-0.44	rgb(121,158,234)	1.989	None
SMAD9	ACOT7	0.076869	18	0	rgb(217,217,217)	1.3401	None
TFCP2L1	ACOT7	0.58269	45.53	0.534	rgb(223,115,116)	1.8908	None
SIX2	ACSL6	0.91144	50.67	0.674	rgb(224, 88, 90)	1.9936	None
SOX4	ACSL6	0.27096	30	0	rgb(217,217,217)	1.5801	None
PAX6	ACSS3	0.3879	37.03	0.025	rgb(217,212,212)	1.7207	None
SMAD9	ACSS3	0.85663	50.54	0.545	rgb(223,113,114)	1.991	None
SOX4	ACSS3	0.70715	48.47	0.484	rgb(222,125,126)	1.9496	None
PAX6	ACTN3	-0.85663	50.54	-0.54	rgb( 99,145,238)	1.991	None
TFCP2L1	ACTN3	0.92003	50.69	0.695	rgb(225, 84, 86)	1.994	None
PAX6	ADAM12	0.41314	39.28	0.284	rgb(220,163,163)	1.7658	None
SIX2	ADAM12	-0.39207	37.17	-0.17	rgb(181,195,223)	1.7235	None
SOX4	ADAM12	-0.88819	50.62	-0.62	rgb( 82,135,241)	1.9926	None
SIX2	ADAMTSL2	0.85663	50.54	0.535	rgb(223,115,116)	1.991	None
TFCP2L1	ADAMTSL2	-0.68472	48.34	-0.34	rgb(143,172,230)	1.947	None
SIX2	ADCY1	-0.63309	46.43	-0.43	rgb(124,161,233)	1.9088	None
SOX4	ADCY1	0.87278	50.55	0.547	rgb(223,113,114)	1.9912	None
TFCP2L1	ADCY1	0.89488	50.6	0.601	rgb(224,102,103)	1.9922	None
SOX4	ADCY2	-0.98121	50.87	-0.87	rgb( 28,102,250)	1.9976	None
TFCP2L1	ADCY2	-0.91553	50.64	-0.64	rgb( 78,132,241)	1.993	None
PAX6	ADCY5	0.44031	40.36	0.361	rgb(221,148,149)	1.7874	None
SIX2	ADCY5	0.40938	39.18	0.179	rgb(219,183,183)	1.7638	None
SMAD9	ADCY5	0.54713	43.39	0.393	rgb(221,142,143)	1.848	None
TFCP2L1	ADCY5	0.82433	50.42	0.421	rgb(222,137,138)	1.9886	None
PAX6	ADD2	0.016605	14	0	rgb(217,217,217)	1.2601	None
SIX2	ADD2	-0.40814	38.04	-0.043	rgb(208,211,219)	1.7409	None
SOX4	ADD2	0.068278	17	0	rgb(217,217,217)	1.3201	None
SMAD9	ADORA2A	0.84692	50.49	0.495	rgb(222,123,124)	1.99	2,2
TFCP2L1	ADORA2A	-0.89488	50.6	-0.6	rgb( 86,137,240)	1.9922	2,2
PAX6	AEBP1	-0.52602	43.63	-0.63	rgb( 81,134,241)	1.8528	None
TFCP2L1	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
SMAD9	AF086346	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
SOX4	AF086346	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
