TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
POU2F2	ABLIM2	0.21727	28	0	rgb(217,217,217)	1.5401	None
POU5F1	ABLIM2	0.44713	40.51	0.508	rgb(223,120,121)	1.7904	None
POU2F2	ACBD7	-0.50905	43.26	-0.26	rgb(161,183,227)	1.8454	None
POU5F1	ACBD7	0.56382	44.19	0.194	rgb(219,180,180)	1.864	None
POU2F2	ACOT7	-0.61702	46.09	-0.095	rgb(196,204,221)	1.902	None
POU5F1	ACOT7	0.23296	29	0	rgb(217,217,217)	1.5601	None
POU2F2	ACTG1P4	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
POU5F1	ACTG1P4	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
POU2F2	ADAM20P1	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
POU5F1	ADAM20P1	0.60636	46.39	0.395	rgb(221,142,142)	1.908	2,2
POU2F2	ADCY1	0.14469	23	0	rgb(217,217,217)	1.4401	None
POU5F1	ADCY1	0.56584	45.26	0.265	rgb(220,166,167)	1.8854	None
POU2F2	ADH6	-0.82433	50.42	-0.42	rgb(125,161,233)	1.9886	None
POU5F1	ADH6	-0.72986	49.32	-0.32	rgb(147,174,229)	1.9666	None
POU2F2	AF258560	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
POU5F1	AF258560	0.58868	45.78	0.776	rgb(226, 69, 70)	1.8958	2,2
POU2F2	AIF1	0.32805	35	0	rgb(217,217,217)	1.6801	None
POU5F1	AIF1	0.66126	47.59	0.591	rgb(224,104,105)	1.932	None
POU2F2	AK023417	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
POU5F1	AK023417	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
POU2F2	AK024092	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
POU5F1	AK024092	0.52569	43.62	0.619	rgb(224, 99,100)	1.8526	2,2
POU2F2	AK091275	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
POU5F1	AK091275	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
POU2F2	AK122764	0.56142	44.12	0.12	rgb(218,194,194)	1.8626	2,2
POU5F1	AK122764	0.51066	43.28	0.282	rgb(220,163,164)	1.8458	2,2
POU2F2	AK128833	0.41053	39.21	0.214	rgb(219,176,177)	1.7644	2,2
POU5F1	AK128833	0.9278	50.67	0.67	rgb(224, 89, 90)	1.9936	2,2
