TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
PROX1	ACTG1P4	0.36179	36.55	0.548	rgb(223,112,113)	1.7111	2,2
PROX1	ADM5	0.77922	49.7	0.701	rgb(225, 83, 85)	1.9742	2,2
PROX1	ADORA2A	0.37299	37.29	0.295	rgb(220,161,161)	1.7259	2,2
PROX1	AK026379	0.88141	50.57	0.571	rgb(223,108,109)	1.9916	2,2
PROX1	AK092251	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
PROX1	AK125333	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
PROX1	AK125437	0.46753	41.43	0.427	rgb(222,135,136)	1.8088	2,2
PROX1	AK126318	0.51908	42.41	0.414	rgb(222,138,139)	1.8284	2,2
PROX1	AK128619	0.44758	40.53	0.526	rgb(223,117,118)	1.7908	2,2
PROX1	AK310876	0.57699	45.42	0.421	rgb(222,137,137)	1.8886	2,2
PROX1	AK311213	0.42809	40.1	0.098	rgb(218,198,199)	1.7822	2,2
PROX1	AK311257	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
PROX1	AK311497	0.7741	49.65	0.649	rgb(224, 93, 94)	1.9732	2,2
PROX1	AMPD3	0.45238	41.1	0.103	rgb(218,197,198)	1.8022	None
PROX1	APOB	0.39938	38.42	0.423	rgb(222,136,137)	1.7485	2,2
PROX1	ASCL2	0.81351	50.37	0.366	rgb(221,147,148)	1.9876	None
PROX1	ATP6V1B1	0.80558	50.33	0.33	rgb(221,154,155)	1.9868	None
PROX1	AX746771	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
PROX1	AX746826	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
PROX1	AX746995	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
PROX1	BAI2	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
PROX1	BC033528	0.82656	50.43	0.431	rgb(222,135,136)	1.9888	2,2
PROX1	BC040563	0.63804	46.5	0.502	rgb(223,121,122)	1.9102	2,2
PROX1	BC040894	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
PROX1	BC107568	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
PROX1	BHMT	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
PROX1	CATSPERB	0.20355	27	0	rgb(217,217,217)	1.5201	None
PROX1	CCDC154	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
PROX1	CDH22	0.69211	48.42	0.423	rgb(222,136,137)	1.9486	None
PROX1	CDHR1	0.56584	45.26	0.258	rgb(220,168,168)	1.8854	2,2
PROX1	DOCK4	0.97476	50.8	0.799	rgb(226, 64, 66)	1.9962	2,2
PROX1	DPCR1	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
PROX1	DQ588732	0.4722	40.57	0.569	rgb(223,108,109)	1.7916	2,2
PROX1	DTX3	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
PROX1	FAM226B	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
PROX1	FAM46C	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
PROX1	FAM64A	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
PROX1	FAM65C	0.44614	40.48	0.476	rgb(222,126,127)	1.7898	2,2
PROX1	FLJ22184	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
PROX1	FLJ38723	0.77893	49.77	0.774	rgb(226, 69, 71)	1.9756	2,2
PROX1	FW340024	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
PROX1	GOLGA6L5	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
PROX1	GPR133	0.84692	50.49	0.489	rgb(222,124,125)	1.99	2,2
PROX1	GRAMD2	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
PROX1	GUSBP3	0.73717	49.39	0.388	rgb(221,143,144)	1.968	2,2
PROX1	GYLTL1B	0.43499	39.24	0.239	rgb(220,171,172)	1.765	2,2
PROX1	HERV-Fb1	0.15832	24	0	rgb(217,217,217)	1.4601	2,2
PROX1	HHEX	-0.97476	50.8	-0.8	rgb( 44,112,247)	1.9962	None
PROX1	HNRPF	0.17332	24	0	rgb(217,217,217)	1.4601	2,2
PROX1	HV535469	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
PROX1	KIAA1456	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
PROX1	KIT	0.84692	50.49	0.488	rgb(222,124,125)	1.99	2,2
PROX1	LOC100129175	0.43672	40.28	0.284	rgb(220,163,163)	1.7858	2,2
PROX1	LOC100272216	0.4646	41.37	0.367	rgb(221,147,148)	1.8076	2,2
PROX1	LOC100527964	0.65238	47.21	0.211	rgb(219,177,177)	1.9244	2,2
PROX1	LOC100996634	0.93222	50.68	0.678	rgb(224, 88, 89)	1.9938	2,2
PROX1	LOC149134	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
PROX1	LOC399715	-0.40838	38.06	-0.059	rgb(204,209,219)	1.7413	2,2
PROX1	LOC441081	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
PROX1	LOC644172	0.3613	36.51	0.507	rgb(223,120,121)	1.7103	2,2
PROX1	LRAT	0.58823	45.76	0.763	rgb(225, 71, 73)	1.8954	None
PROX1	MAGEA5	-0.50789	42.22	-0.22	rgb(169,188,225)	1.8246	2,2
PROX1	MINOS1-NBL1	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
PROX1	MUC5AC	0.52557	43.61	0.838	rgb(226, 57, 59)	1.8524	2,2
PROX1	NAIP	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
PROX1	NEURL	0.84692	50.49	0.487	rgb(222,124,125)	1.99	2,2
PROX1	OR51E2	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
PROX1	PCDHB16	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
PROX1	PRKD1	0.66832	47.48	0.477	rgb(222,126,127)	1.9298	2,2
PROX1	PRR5-ARHGAP8	0.88385	50.61	0.612	rgb(224,100,101)	1.9924	None
PROX1	RFX6	0.83635	50.46	0.462	rgb(222,129,130)	1.9894	None
PROX1	RGS14	0.43693	39.28	0.275	rgb(220,164,165)	1.7658	None
PROX1	RSPH10B2	-0.38484	36.54	-0.54	rgb(100,146,237)	1.7109	2,2
PROX1	RSPH4A	0.8178	50.4	0.404	rgb(221,140,141)	1.9882	None
PROX1	SDCBP2-AS1	0.74312	49.35	0.354	rgb(221,149,150)	1.9672	None
PROX1	SGOL1-AS1	0.77761	49.75	0.749	rgb(225, 74, 75)	1.9752	2,2
PROX1	SMA	0.73247	49.35	0.349	rgb(221,150,151)	1.9672	2,2
PROX1	SMA5	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
PROX1	TMEM56-RWDD3	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
PROX1	TPPP3	-0.5197	43.43	-0.43	rgb(124,160,233)	1.8488	None
PROX1	UBE2Q2P1	0.55646	44.64	0.639	rgb(224, 95, 96)	1.873	2,2
PROX1	ZCCHC12	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
