	ARX	FOXP2	ONECUT1	SOX4	TFCP2L1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS		CHRNA3 CHRNA5 CHRNB2			
REACTOME_CA2_ACTIVATED_K_CHANNELS				KCNMA1 KCNMB2 KCNMB3 KCNN3	
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS		CHRNA3 CHRNA5 CHRNB2			
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS		CHRNA3 CHRNA5 CHRNB2			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS		RBP2 TTR	CLPS GPC6 RBP2 TTR		
REACTOME_NEURONAL_SYSTEM	CAMK2B KCNB2 KCNJ2 KCNK17 PRKCG SNAP25 STX1A SYN1 SYT2 TUBB2B TUBB3	ADCY1 CHRNA3 CHRNA5 CHRNB2 KCNMB3 NCALD STX1A TUBB4A		ABCC8 ADCY2 BEGAIN CACNA1A CACNB4 CHRNA5 GABRA1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 LRRTM3 NRXN2 SNAP25 STX1A TUBA1A TUBB2B	ADCY2 BEGAIN CACNB4 GABRA1 KCNH2 KCNJ6 KCNK3 NRXN2 SYN1 SYT2
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	SNAP25 STX1A SV2B SYT2			SNAP25 STX1A SV2A SV2B	
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	CAMK2B KCNJ2 PRKCG TUBB2B TUBB3	ADCY1 CHRNA3 CHRNA5 CHRNB2 NCALD TUBB4A		ADCY2 CHRNA5 GABRA1 GNG2 GNG4 GRIK5 KCNJ3 TUBA1A TUBB2B	
REACTOME_PEPTIDE_HORMONE_METABOLISM	SLC30A8 STX1A	GIP PAX6 STX1A		AGT CES1 CPB1 FFAR1 GIP ISL1 KIF5A MBOAT4 PCSK1 PCSK2 SEC11C STX1A	AGT CPE GHRL ISL1 PCSK1 PCSK2 SEC11C
REACTOME_POTASSIUM_CHANNELS	KCNB2 KCNJ2 KCNK17			ABCC8 GNG2 GNG4 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3	KCNH2 KCNJ6 KCNK3
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_		GIP PAX6		FFAR1 GIP ISL1 PCSK1 SEC11C	ISL1 PCSK1 SEC11C
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	CAMK2B KCNJ2 PRKCG SNAP25 STX1A SYN1 TUBB2B TUBB3	ADCY1 CHRNA3 CHRNA5 CHRNB2 NCALD STX1A TUBB4A		ADCY2 CACNA1A CACNB4 CHRNA5 GABRA1 GNG2 GNG4 GRIK5 KCNJ3 SNAP25 STX1A TUBA1A TUBB2B	ADCY2 CACNB4 GABRA1 KCNJ6 SYN1
