	ARX	FOXP2	ONECUT1	SOX4	TFCP2L1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0	3	0	0	0
REACTOME_CA2_ACTIVATED_K_CHANNELS	0	0	0	4	0
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	3	0	0	0
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	3	0	0	0
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0	2	4	0	0
REACTOME_NEURONAL_SYSTEM	11	8	0	24	10
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	4	0	0	4	0
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	5	6	0	9	0
REACTOME_PEPTIDE_HORMONE_METABOLISM	2	3	0	12	7
REACTOME_POTASSIUM_CHANNELS	3	0	0	11	3
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	0	2	0	5	3
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	8	7	0	13	5
