	ARX	FOXP2	ONECUT1	SOX4	TFCP2L1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	1	2.7380030979129444e-06	1	1	1
REACTOME_CA2_ACTIVATED_K_CHANNELS	1	1	1	2.965743023053413e-06	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	6.361828350787135e-07	1	1	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1.2462220002618096e-06	1	1	1
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	1	0.004290158172440051	7.148480996033157e-07	1	1
REACTOME_NEURONAL_SYSTEM	2.8529444207059385e-07	1.070606002961938e-06	1	3.59316021381062e-10	0.0005110215823068698
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS	3.762622591274578e-08	1	1	4.89414333859628e-06	1
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.0010341298119882492	2.942863285282371e-06	1	0.0011935768423482207	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	0.04560572565028753	0.0007967245642129805	1	1.299624852180159e-09	2.753714142489372e-06
REACTOME_POTASSIUM_CHANNELS	0.006936208354211049	1	1	6.990518641725174e-08	0.03421491714755265
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	0.00031003727516754065	1	3.6222492472148815e-07	8.627080771916873e-05
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	6.863452101324441e-06	8.466526609796077e-07	1	3.7527816260096714e-05	0.038236086374274336
