	ASCL1	ETV1	FEV	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	POU2F2	RFX6	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG		GCK PAX6					GCK PAX6		GCK NKX6-1	GCK HHEX NKX6-1	GCK NEUROD1 NKX2-2 PAX4	HHEX NEUROD1		HHEX NKX6-1		GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6		GCK PAX6	GCK HHEX
REACTOME_CARDIAC_CONDUCTION	CACNB4 CAMK2B KCNJ11 KCNJ2 KCNK17 SCN3A	CACNA2D1 CACNG7 CAMK2B KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1	ATP1A3 CACNA2D1 CACNG7 FGF14 KCNH2 KCNK16	ATP1A3 CACNA1C CACNB4 CACNG6 KCNK3 SCN3B		CACNA1C FGF14 KCNK3	CACNA1C CACNG6 FGF14 KCNJ2 KCNK17	CACNA2D1 CACNG6 CAMK2B KCNK3	CACNA2D1 CACNG4 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNB4 CACNG4 CACNG6 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1	CAMK2B KCNH2 KCNJ11 KCNK17 KCNK3	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNK3 SCN3A SCN3B SLC8A1	ATP1A3 CACNA2D1 CAMK2B KCNJ2 KCNK3 SCN3B	ATP1A3 CACNA2D1 CACNG6 FGF14 KCNJ11 KCNJ2 SCN3B	CACNA2D1 CACNB4 FGF14 KCNK17	ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1	ATP1A3 CACNA1C CACNB4 CACNG7 CAMK2B KCNJ11 KCNJ2 KCNK3 SCN1B	CACNA1C CACNB4 CACNG6 FGF14 KCNJ2 KCNK17 SCN3A SLC8A1	ABCC9 ATP1A3 CACNA2D1 CACNG4 KCNJ2 SCN3B
REACTOME_CHYLOMICRON_ASSEMBLY		APOA1 APOC3			APOA1 APOA4 APOC3													APOA1 APOA4 APOC3	APOA1 APOC3
REACTOME_CHYLOMICRON_REMODELING		APOA1 APOC3			APOA1 APOA4 APOC3													APOA1 APOA4 APOC3	APOA1 APOC3
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_		MUC16 MUC5B	MUC16 MUC17			MUC16 MUC3A MUC5AC MUC5B			MUC17 MUC3A	MUC16 MUC17 MUC3A MUC5B			MUC17 MUC5B		MUC3A MUC5AC				MUC16 MUC17 MUC5AC MUC5B
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_		MUC16 MUC5B	MUC16 MUC17			MUC16 MUC3A MUC5AC MUC5B			MUC17 MUC3A	MUC16 MUC17 MUC3A MUC5B			MUC17 MUC5B		MUC3A MUC5AC				MUC16 MUC17 MUC5AC MUC5B
REACTOME_GABA_B_RECEPTOR_ACTIVATION	GABBR2 KCNJ2 KCNJ6	GNG2 GNG4 KCNJ2 KCNJ6	ADCY1 ADCY2 GNG2 GNG4	ADCY1 ADCY2 KCNJ6		ADCY1 ADCY2 KCNJ3 KCNJ6	ADCY2 GNG2 KCNJ2 KCNJ3	ADCY1 GABBR2	ADCY1 ADCY2 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3		GABBR2 GNG4 KCNJ6	ADCY1 ADCY2 GNG4 KCNJ2	GABBR2 GNG2 KCNJ2 KCNJ3 KCNJ6	ADCY1 KCNJ3 KCNJ6	GABBR2 GNG2 GNG4	GABBR2 GNG4 KCNJ2 KCNJ6	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 GABBR2 GNG4 KCNJ2
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	CAMK2B GABBR2 RBP2 RGS5 RGS9 SSTR5	APOA1 APOC3 CAMK2B CCL19 GNAO1 GNG2 GNG4 GPC2 PRKCG RBP2 RGS16 RGS4 RGS5 SST SSTR2 SSTR5 SUCNR1 TTR	ADCY1 ADCY2 CLPS GNAO1 GNG2 GNG4 GPC6 PTGDR2 RBP1 RGS9 SSTR1 SSTR5		AGT APOA1 APOA4 APOC3		ADCY2 AGT APOA1 GNG2 NPW PTGDR2 PYY RBP2 RGS11 RGS4 RGS5 SSTR1 TTR	ADCY1 CAMK2B CCR6 GABBR2 RBP2 RGS16 RGS5 RGS9 SSTR1 SSTR2 TTR	ADCY1 ADCY2 APOA1 CCL19 GNG2 GNG4 NPW PTGDR2 PYY RBP2 RGS14 RGS16 RGS5 SSTR1 TTR	ADCY1 AGT APOA1 CCL19 GABBR2 GNAO1 GNG2 GNG4 NPY PTGDR2 PYY RBP1 RBP2 RGS14 RGS16 SST SSTR5	ADCY2 AGT APOA1 CAMK2B CLPS GNAO1 GPC2 NPW SSTR2 SSTR3	APOA4 CAMK2B CLPS GABBR2 GNAO1 GNG4 GPC6 RBP1 RGS14 RGS4 RGS9 SSTR2 SUCNR1	ADCY1 ADCY2 AGT CAMK2B CCR6 CLPS GNAO1 GNG4 GPC6 NPY PRKCG RBP1 RGS11 RGS16 RGS9 SSTR5 TTR	GABBR2 GNAO1 GNG2 NPY PTGDR2 PYY RGS9 SSTR3 SSTR5		APOA1 CAMK2B GABBR2 GNG2 GNG4 PRKCG PTGDR2 RBP1 RBP2 RGS14 RGS5 RGS9 SSTR1 SSTR5 TTR	CAMK2B GABBR2 GNAO1 GNG4 NPW PRKCG PTGDR2 RGS9 SSTR1	ADCY1 AGT APOA1 APOA4 APOC3 CCL19 GABBR2 GNAO1 GNG2 GNG4 PTGDR2 RBP2 RGS14 RGS5 SSTR5	ADCY1 APOA1 APOC3 CLPS GABBR2 GNAO1 GNG4 NPW PRKCG PTGDR2 PYY RBP1 RGS16 RGS5 RGS9 SSTR1 SSTR3 SSTR5 TTR
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION		GIP ISL1 PAX6 PCSK1 SEC11C	ISL1 PCSK1 SEC11C	FFAR1 ISL1 PCSK1			FFAR1 GIP GPR119 ISL1 PAX6 PCSK1		GIP SEC11C			ISL1 PCSK1 SEC11C	GIP SEC11C	GIP PCSK1		PAX6 PCSK1		ISL1 PAX6 PCSK1 SEC11C	
REACTOME_INSULIN_PROCESSING		KIF5A KIF5C PCSK1 PCSK2 SLC30A8	PCSK1 STX1A	CPE KIF5A KIF5C PCSK1 STX1A			CPE KIF5A KIF5C PCSK1 PCSK2 SLC30A8 STX1A			CPE KIF5A SLC30A8 STX1A	KIF5A PCSK1	PCSK1 PCSK2 STX1A	KIF5A STX1A	CPE PCSK1 PCSK2			CPE KIF5C PCSK1	CPE PCSK1 SLC30A8	
