	ASCL1	ETV1	FEV	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	POU2F2	RFX6	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0	2	0	0	0	0	2	0	2	3	4	2	0	2	0	6	0	2	2
REACTOME_CARDIAC_CONDUCTION	6	11	6	6	0	3	5	4	8	13	5	12	6	7	4	11	9	8	6
REACTOME_CHYLOMICRON_ASSEMBLY	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2
REACTOME_CHYLOMICRON_REMODELING	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	0	2	2	0	0	4	0	0	2	4	0	0	2	0	2	0	0	0	4
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	0	2	2	0	0	4	0	0	2	4	0	0	2	0	2	0	0	0	4
REACTOME_GABA_B_RECEPTOR_ACTIVATION	3	4	4	3	0	4	4	2	6	6	0	3	4	5	3	3	4	7	4
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	6	18	12	0	4	0	13	11	15	17	10	13	17	9	0	15	9	15	19
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0	5	3	3	0	0	6	0	2	0	0	3	2	2	0	2	0	4	0
REACTOME_INSULIN_PROCESSING	0	5	2	5	0	0	7	0	0	4	2	3	2	3	0	0	3	3	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	4	5	10	8	0	5	10	5	8	10	4	6	6	4	2	8	5	7	4
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	5	5	3	2	0	2	4	2	5	6	2	4	2	6	2	4	6	6	4
REACTOME_MUSCLE_CONTRACTION	6	13	6	7	0	3	6	5	10	15	6	13	7	7	4	12	10	9	7
REACTOME_NEURONAL_SYSTEM	16	31	21	19	0	11	24	16	30	29	14	19	24	17	11	27	23	22	20
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	6	14	10	6	0	6	11	7	14	10	4	6	11	8	4	14	12	11	12
REACTOME_PEPTIDE_HORMONE_METABOLISM	0	10	6	11	0	0	15	0	6	9	3	6	5	6	0	0	5	7	3
REACTOME_PHASE_0_RAPID_DEPOLARISATION	3	6	3	4	0	2	3	3	0	5	0	8	3	4	3	6	5	5	3
REACTOME_POTASSIUM_CHANNELS	9	16	7	8	0	4	9	6	14	17	9	10	7	9	7	10	10	8	8
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	4	0	0	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	4	5	8	6	0	3	9	4	6	9	3	6	4	4	0	8	5	6	3
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	0	5	3	3	0	0	6	0	2	0	0	3	2	2	0	2	0	4	0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	8	17	14	10	0	8	17	10	17	16	5	10	16	10	6	19	15	16	14
WP_DOPAMINERGIC_NEUROGENESIS	0	2	3	0	0	0	3	0	3	3	3	4	2	4	0	6	3	2	2
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	6	12	10	11	0	3	10	8	9	12	9	10	8	9	0	14	5	5	8
WP_SYNAPTIC_VESICLE_PATHWAY	0	6	5	4	2	3	7	5	4	8	0	5	6	4	2	3	4	4	4
