	ASCL1	ETV1	FEV	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	PAX6	POU2F2	RFX6	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	0.06457232515427158	1	1	1	1	0.04794062483145767	1	0.05701451729275908	0.008526006366903371	2.9575521973912444e-05	0.0381924942328955	1	0.03087637063500015	1	6.698815571137828e-07	1	0.03693043640284133	0.0352738515154325
REACTOME_CARDIAC_CONDUCTION	0.00012544093473165763	1.8099765967005688e-05	0.007681897618976308	0.003622481832692981	1	0.02996080810575308	0.0444916244616721	0.04641034660378063	0.001335482170796487	6.017749800690808e-07	0.0032173321480900574	1.3160637890585747e-07	0.006453763137651003	0.000815330400601777	0.0036694458808514963	1.8132723508257342e-06	1.4080283328832266e-05	0.00027205028053778335	0.005896477162416924
REACTOME_CHYLOMICRON_ASSEMBLY	1	0.011397270582106489	1	1	1.2582339257161124e-06	1	1	1	1	1	1	1	1	1	1	1	1	0.00020077913734350972	0.00594332462202829
REACTOME_CHYLOMICRON_REMODELING	1	0.011397270582106489	1	1	1.2582339257161124e-06	1	1	1	1	1	1	1	1	1	1	1	1	0.00020077913734350972	0.00594332462202829
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_	1	0.03191271974878984	0.018894185365103677	1	1	1.2152348625171783e-06	1	1	0.02801408947750894	0.000164398953695577	1	1	0.01762851624415518	1	0.0027329615630173887	1	1	1	4.065395709995645e-05
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_	1	0.028465830775768475	0.01680865448803126	1	1	9.327510129830685e-07	1	1	0.02496988642575848	0.00012741365968460538	1	1	0.01567803450063643	1	0.0024186136471232578	1	1	1	3.1378248529945196e-05
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.0018475840148892697	0.005574302430323974	0.0020328425510008907	0.010991880321446823	1	5.7238835483586215e-05	0.0030691557753014242	0.06691300200706496	4.92801906480933e-05	8.263357381099734e-05	1	0.01616445539825928	0.0017769797679428878	0.00010613189025332481	0.0010164264371361753	0.018613881289617273	0.001057365487151296	7.859965341916464e-07	0.001657868801787643
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.026844860061434495	0.00014302127299015144	0.004959580848953982	1	0.012524302477861071	1	0.004684765567602001	0.0021089462724371844	0.001581415109631168	0.0005507629170643513	0.0006848967401731354	0.0015661835905623755	7.867399502536898e-06	0.03505865173297629	1	0.00027124880413065267	0.026699323496010563	0.00012256285225265007	3.1084879992260284e-07
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1	3.23902572597623e-05	0.0028762144409386625	0.0018443550677590403	1	1	5.97775360988706e-07	1	0.04905611717233982	1	1	0.002779181618595805	0.03128009209321925	0.026414825986920132	1	0.036092070454029734	1	0.000157641720750612	1
REACTOME_INSULIN_PROCESSING	1	7.36007580358633e-05	0.04494441208713251	8.963508011050614e-06	1	1	6.903986704553944e-08	1	1	0.0010605848754255964	0.016329544847726418	0.004426397780711411	0.04205689265263168	0.0031930328402508534	1	1	0.0027788487781181814	0.004203545885718252	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.0033006269060157356	0.03445143055301447	1.0135503225594533e-06	2.097085165231327e-05	1	0.0001869215172288774	2.8450373703581278e-06	0.004260835932890394	0.0002756034794302309	1.5298234540161992e-05	0.00791752500499876	0.002264299054330454	0.0019996903761050344	0.031820011064959575	0.08896549808753318	8.567368374501338e-05	0.005649666813913989	0.00035067174403591306	0.039901058796545374
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	1.471322436552569e-06	0.0002655530080950541	0.009521943780593123	0.054287696656139195	1	0.012799494492739205	0.001421201682049733	0.046369996747730235	0.00019130090296615165	2.4650599745545954e-05	0.02666274681439451	0.0008912306520346691	0.06698522714803157	2.0599179483271612e-06	0.01133579203628965	0.0010871940821923776	1.5462072342486977e-06	3.6359442647793117e-06	0.0007571760248498149
REACTOME_MUSCLE_CONTRACTION	0.0010786429778230078	3.959288114796511e-05	0.04501190494881091	0.006707809780077012	1	0.08017236695515506	0.07021268756939236	0.05208559273702562	0.0013769589118588499	2.2973968759609775e-06	0.003798071304403794	1.6382717491492116e-06	0.012482592888919286	0.007770814677888871	0.014808041419931195	1.6284590435788893e-05	6.139050568165771e-05	0.0009221103946503995	0.011333593536241193
