	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	6	3	5	11	10	13	9	5	5	8	2	0	4	5	9	6	11	12	4	4	0	5	4	15	7	5	13	9	4	3	9	2	11	8	14	9	13	4	2	6	10
GO_AMINE_TRANSPORT	7	3	4	3	8	8	5	3	5	4	4	0	4	5	8	5	0	9	3	3	0	5	3	8	4	0	4	8	2	0	0	4	8	5	12	6	11	0	3	3	0
GO_AXON	46	15	17	28	46	49	31	12	13	34	11	13	16	20	32	30	37	52	8	15	13	29	14	36	13	16	26	28	9	10	44	13	37	38	46	31	39	11	10	22	24
GO_AXON_DEVELOPMENT	29	7	8	14	33	34	17	7	12	21	0	5	14	9	23	19	25	22	5	11	0	20	0	27	7	14	18	17	0	9	21	6	24	19	34	20	23	0	8	8	12
GO_BEHAVIOR	19	0	10	23	23	33	18	9	10	21	7	5	0	14	25	16	28	31	9	12	8	16	9	32	13	15	26	19	7	9	25	7	29	23	36	21	34	7	5	14	25
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	4	4	4	9	10	7	0	0	6	0	0	3	4	7	7	8	9	0	0	7	10	4	6	9	5	6	0	5	3	11	3	11	5	8	6	7	0	0	4	0
GO_CARDIAC_CONDUCTION	5	4	8	6	12	16	6	0	0	10	0	0	6	6	8	7	11	15	0	5	7	11	5	10	7	6	10	6	3	3	11	0	9	11	14	8	12	0	2	9	8
GO_CATION_CHANNEL_ACTIVITY	21	19	15	15	34	30	19	7	7	21	4	5	11	11	21	17	25	28	6	14	15	25	11	21	14	11	23	11	13	9	23	7	19	18	28	17	22	7	3	13	15
GO_CATION_CHANNEL_COMPLEX	16	14	9	9	22	22	16	6	0	17	4	6	7	9	20	16	18	24	4	9	8	19	6	13	10	10	20	9	10	6	13	6	17	14	22	15	17	3	0	8	15
GO_CATION_TRANSMEMBRANE_TRANSPORT	30	20	19	26	46	48	28	11	10	29	7	10	16	15	33	31	35	42	6	16	16	33	15	31	22	16	34	22	17	14	35	9	30	28	43	27	35	11	0	19	25
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	27	19	17	18	39	36	22	7	8	23	5	5	12	11	25	23	30	35	6	14	17	28	11	26	16	13	26	18	13	10	27	7	21	22	34	21	25	9	0	17	18
GO_CATION_TRANSPORT	34	24	25	29	55	55	29	13	15	34	8	11	18	18	38	34	40	48	8	19	17	37	17	36	23	17	37	28	17	14	40	11	35	33	49	33	40	13	0	22	27
GO_CELLULAR_COMPONENT_MORPHOGENESIS	40	10	16	19	43	44	24	13	15	23	6	9	17	12	30	27	31	30	10	15	0	24	12	35	13	19	25	24	0	14	28	11	33	31	45	25	28	0	9	11	20
GO_CELL_BODY	28	12	14	17	39	39	21	7	11	22	5	9	0	12	24	14	29	32	10	15	12	24	13	27	12	12	27	22	8	0	30	13	27	25	35	26	27	8	5	15	19
GO_CELL_CELL_SIGNALING	59	32	37	41	82	91	51	21	26	55	15	13	29	27	59	51	71	76	12	27	19	53	30	66	26	34	56	47	19	17	60	20	65	63	92	59	85	21	13	33	47
GO_CELL_JUNCTION_ORGANIZATION	25	17	18	18	29	31	19	7	0	22	0	7	13	12	27	17	25	31	6	9	0	22	11	26	14	9	17	14	7	9	29	9	18	22	32	23	28	7	5	11	17
GO_CELL_MORPHOGENESIS	43	12	17	22	48	47	30	10	13	27	7	10	18	12	33	30	36	34	10	16	0	31	12	39	15	20	29	25	0	15	29	11	33	31	49	30	34	0	12	0	21
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	35	0	12	17	37	39	21	8	12	22	7	8	13	10	26	23	27	27	8	14	0	22	9	33	11	18	22	22	0	11	26	8	27	23	38	23	24	0	10	0	18
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	32	8	12	17	34	38	19	8	12	20	7	8	13	9	24	21	25	23	8	12	0	20	8	30	10	17	21	21	6	10	25	8	26	22	35	20	21	0	8	0	16
GO_CELL_PART_MORPHOGENESIS	38	10	15	18	41	41	23	9	12	21	6	8	16	11	27	25	27	26	10	13	0	24	11	33	10	18	25	21	0	12	26	11	30	27	42	23	26	0	9	10	18
GO_CELL_PROJECTION_ORGANIZATION	52	19	28	36	64	70	44	17	22	44	11	15	28	23	47	51	55	56	12	23	15	43	25	57	18	31	41	37	14	19	51	14	45	41	69	41	55	19	14	23	35
GO_CHEMICAL_HOMEOSTASIS	29	16	20	0	46	51	22	0	12	35	0	0	0	15	31	27	40	45	0	13	12	29	17	38	24	18	27	29	10	0	32	10	25	30	45	38	45	11	9	17	22
GO_CIRCULATORY_SYSTEM_PROCESS	0	10	13	13	26	27	13	8	0	21	0	0	12	14	19	0	27	37	6	13	9	23	11	22	14	10	23	21	0	6	19	11	26	26	34	16	27	0	7	15	16
GO_CYTOSKELETAL_PROTEIN_BINDING	29	14	20	31	44	47	24	17	14	29	8	12	21	19	26	27	41	39	0	11	0	24	14	30	21	16	24	26	12	12	39	7	27	28	44	28	39	11	0	17	31
GO_DENDRITIC_SHAFT	6	2	0	5	7	6	3	0	2	5	0	0	0	0	5	5	5	6	0	2	3	5	2	3	4	4	4	5	3	0	7	0	4	5	7	5	6	0	0	0	7
GO_DENDRITIC_TREE	33	10	12	23	37	40	18	9	0	22	0	9	10	13	27	25	32	38	6	16	14	20	10	29	15	12	21	21	9	9	37	6	26	29	35	29	33	8	0	12	26
GO_DENSE_CORE_GRANULE	4	2	2	0	4	4	3	2	3	0	3	0	2	3	3	4	8	7	3	3	2	4	0	4	0	2	4	4	0	0	5	3	4	3	4	4	6	0	0	4	0
GO_DEVELOPMENTAL_MATURATION	18	6	8	7	15	16	12	0	0	8	0	0	6	11	9	12	14	17	4	8	6	11	6	12	7	8	12	10	4	5	13	6	11	10	17	13	14	0	0	9	10
GO_DISTAL_AXON	25	5	6	13	24	27	15	6	7	17	4	6	0	5	17	14	18	27	4	0	7	14	5	19	6	8	10	16	0	5	22	7	16	17	24	16	15	6	4	10	14
GO_EXOCYTIC_VESICLE	16	0	7	8	14	16	10	4	4	10	3	0	5	8	13	11	14	14	3	4	0	9	7	14	4	7	9	11	4	0	15	3	13	8	18	10	16	4	0	5	8
GO_GATED_CHANNEL_ACTIVITY	20	20	15	15	33	29	20	7	7	24	4	8	11	11	22	17	25	30	6	14	15	26	11	21	15	10	22	13	13	11	23	8	21	19	32	16	23	7	3	12	15
GO_GLUTAMATERGIC_SYNAPSE	17	9	8	13	18	25	16	7	5	18	7	0	7	8	15	16	18	21	6	8	7	20	9	22	6	9	16	10	5	5	23	7	21	18	21	17	27	5	3	8	14
GO_GLYCOSAMINOGLYCAN_BINDING	11	0	0	8	13	10	11	5	6	9	0	4	0	6	14	15	11	8	0	0	0	8	5	12	5	5	8	8	4	5	7	0	11	8	14	7	12	6	0	7	9
GO_GTPASE_ACTIVITY	14	8	7	8	12	12	10	6	5	0	0	0	7	6	12	14	11	14	0	0	0	8	0	11	0	9	10	10	5	4	18	0	12	8	17	12	15	4	3	0	9
GO_HEART_PROCESS	8	6	10	9	16	19	9	0	0	12	0	0	7	9	13	9	16	22	0	8	8	15	7	15	8	7	16	10	0	4	13	7	14	17	21	10	15	0	5	10	9
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	2	2	0	2	2	4	2	0	0	3	0	0	0	2	4	2	0	3	0	0	0	2	0	0	4	0	0	0	2	0	3	2	3	3	3	3	2	0	0	0	0
GO_HORMONE_ACTIVITY	0	0	0	7	10	9	9	4	4	7	0	4	0	4	10	6	10	12	0	4	0	4	3	9	5	5	7	0	0	0	4	8	7	5	11	7	13	0	4	0	6
GO_HORMONE_TRANSPORT	18	8	9	10	20	26	14	5	8	21	4	0	9	7	24	15	21	23	0	9	0	14	5	13	9	11	15	13	0	0	17	7	18	14	26	18	21	0	4	7	11
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	29	20	18	22	45	45	28	11	10	29	0	12	16	15	33	30	32	41	6	14	16	34	14	28	22	13	31	22	19	16	32	10	31	27	43	25	31	9	0	15	19
GO_INSULIN_SECRETION	16	7	7	8	15	20	10	0	7	13	4	0	5	5	17	14	16	18	0	8	0	13	0	9	5	11	12	10	0	0	14	5	11	11	18	12	16	0	0	6	10
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	47	32	31	29	65	68	41	17	21	56	12	15	28	22	47	45	55	62	13	28	22	48	24	50	26	27	41	34	19	19	45	16	44	42	68	43	56	18	0	22	32
GO_ION_TRANSMEMBRANE_TRANSPORT	35	23	21	29	54	56	33	14	14	35	8	13	18	16	39	35	40	47	9	18	17	35	15	36	25	18	38	27	19	16	38	12	34	31	51	30	40	14	0	21	26
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	29	20	17	18	42	39	25	9	9	27	0	8	13	12	29	26	31	38	7	15	18	30	11	27	19	14	27	20	15	12	28	9	24	23	38	22	27	9	0	17	18
GO_ION_TRANSPORT	42	27	26	31	66	67	35	15	19	43	10	15	22	20	48	41	48	59	11	22	19	43	18	46	26	20	43	36	21	18	43	18	44	40	63	42	51	16	9	24	28
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	9	8	7	7	12	11	6	0	5	7	3	0	3	3	7	4	8	7	3	6	3	8	4	8	0	3	11	0	0	0	8	2	0	6	10	6	9	4	0	5	8
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	10	10	8	8	14	12	8	0	5	10	3	3	4	4	9	6	8	9	3	7	5	11	5	9	5	3	11	5	4	0	9	3	5	7	14	6	12	4	2	6	9
GO_MAIN_AXON	6	4	6	5	9	9	6	0	4	6	0	0	4	3	5	5	5	8	0	6	4	3	3	4	2	3	5	3	3	2	9	0	3	6	9	7	6	2	2	3	6
GO_MEMBRANE_DEPOLARIZATION	7	6	6	4	13	14	5	3	0	7	0	2	3	4	8	5	10	13	3	3	5	8	5	10	8	3	8	7	3	3	8	4	8	9	11	10	12	0	2	4	5
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	4	3	4	2	8	9	3	2	0	3	0	0	2	2	3	2	6	7	0	3	4	6	4	6	5	2	5	3	0	2	5	2	3	5	6	5	6	0	2	2	4
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	4	2	3	2	6	8	2	2	0	3	0	0	2	0	3	2	5	5	0	0	4	4	2	5	5	0	4	3	0	2	3	0	3	5	5	4	5	0	0	2	3
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	24	18	14	13	33	31	18	6	0	20	0	5	10	11	23	20	24	32	5	12	16	26	11	21	15	11	22	15	13	9	23	7	21	20	30	20	21	6	0	14	14
GO_METAL_ION_TRANSPORT	29	22	20	24	46	46	25	10	10	31	0	10	17	16	33	29	32	40	5	16	15	32	14	32	23	14	32	24	17	13	32	9	31	30	42	29	32	9	0	17	23
GO_MICROTUBULE	13	0	10	14	18	20	0	0	6	11	0	0	9	7	11	11	17	18	0	7	6	10	0	13	6	10	0	12	7	8	21	0	0	12	23	14	22	7	0	9	16
GO_MICROTUBULE_BINDING	10	0	7	13	17	18	10	4	5	12	3	7	8	8	9	10	16	15	3	6	4	10	5	12	8	8	11	11	7	5	16	3	9	11	20	12	19	4	0	6	13
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	18	15	12	9	24	21	14	0	0	16	0	4	7	8	16	13	19	26	4	11	10	18	9	14	8	7	18	13	8	7	15	4	11	16	26	13	13	6	0	11	12
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	19	16	17	16	31	29	19	7	8	22	0	7	11	11	23	19	23	29	4	13	9	22	11	19	14	9	23	17	11	11	22	0	17	19	32	17	19	7	0	12	15
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	8	6	8	8	18	20	10	5	0	12	0	0	8	9	12	10	16	21	0	7	7	15	6	11	9	7	13	6	6	4	15	4	12	13	19	10	16	0	0	9	9
GO_NEUROGENESIS	57	22	29	42	68	77	47	18	20	42	12	14	27	28	50	51	62	62	15	30	19	50	26	57	20	33	45	45	15	19	59	15	49	52	75	47	64	13	17	29	38
GO_NEURONAL_DENSE_CORE_VESICLE	3	2	0	0	3	2	2	0	2	0	3	0	0	2	3	3	6	5	3	3	0	2	0	2	0	2	3	4	0	0	4	3	3	0	3	3	4	0	0	2	0
GO_NEURON_DEVELOPMENT	51	15	19	32	57	62	35	13	18	37	9	12	21	23	44	43	48	50	14	22	11	37	18	49	16	27	34	35	11	14	45	15	41	39	58	38	45	11	13	18	28
