	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	0.010586729638655257	0.06922302000532743	0.004139663533015092	3.006349612588721e-07	0.0002449113371647549	4.20923097310677e-06	9.975711482934635e-05	0.0008083780962878651	0.0017331628335147675	0.0003058288523760666	0.07806974001238243	1	0.025317771364106068	0.0028839344460880323	0.0001611440186782831	0.011956674781288923	4.3914929767963073e-05	7.97332567570308e-06	0.00047100948883160854	0.015797982770857866	1	0.03128003976015348	0.01429254944131475	1.4864933728375718e-09	4.868546922409678e-05	0.004022325772824131	5.252046708648095e-08	2.5366084331124306e-05	0.005267754144775205	0.03804731571786535	0.0001027197398866253	0.08862354038570186	5.609147115559487e-06	0.0004026212875622992	1.331027205231372e-06	0.00015682110421744166	1.8568496975568394e-06	0.004544761525842933	0.05831901076895862	0.0007663634945376252	8.865141427394363e-06
GO_AMINE_TRANSPORT	0.00037937128329113	0.03118042642949337	0.007149142536339359	0.09281295992848859	0.0005160537164716761	0.0008864360005099714	0.010829817008796039	0.015639091847866826	0.00040075652324522704	0.03434557224851753	0.00034857899427098715	1	0.008573689838908494	0.0006830127057415591	8.868131608352758e-05	0.01204693602518947	1	8.147710136219288e-05	0.002288771372207621	0.03238323374295837	1	0.008798268480484484	0.030001729676352284	9.559013972548769e-05	0.005050571275694193	1	0.047210555176867786	1.6124990362631486e-05	0.09043140793201232	1	1	0.0004629085358076601	0.0001029394891003399	0.009092037492565819	1.2410233992676822e-06	0.0029561444601831077	2.4703854235585965e-06	1	0.002840964684516667	0.043569941439050686	1
GO_AXON	0.0	3.819770052115867e-05	9.267555619918433e-06	3.643676471654089e-10	0.0	0.0	7.091074394338648e-10	0.00014940659340245688	0.0002024563679344782	0.0	9.086554692561144e-06	9.038731820787405e-07	6.830604204277613e-05	2.576558422173747e-08	9.047803617434624e-10	5.9727545131949e-09	6.823378528864055e-10	0.0	0.0002631339167993296	4.5511959776978195e-05	5.1780819770419484e-05	3.892556388329638e-09	0.00012345061868601626	8.923972671937008e-13	0.0005502554921571479	3.3089465831914744e-05	8.954291828011662e-07	8.7928608838439e-10	0.005446183345572786	0.0024870606852969157	0.0	4.6330766412250313e-07	0.0	0.0	0.0	3.3153585432543764e-09	6.827483023386094e-11	0.00029277733314381216	1.1991781003306556e-05	6.979614775026732e-09	1.925968444282944e-06
GO_AXON_DEVELOPMENT	1.1264233990004868e-10	0.0745654095938062	0.052122572631547404	0.0019956438055885872	1.4121130931243897e-09	3.1214804074863878e-09	0.0008689623127037249	0.02246605695118642	0.00012725236353672287	2.8518465244875557e-06	1	0.05292698335259172	0.00010635019979932103	0.012944772957330652	2.5741038154336593e-06	0.00015192156685883695	1.5980361390277587e-05	0.0003074278019451482	0.012805859750347093	0.0012741106147249326	1	1.6536232887998104e-05	1	1.6174766304111188e-08	0.0769168794723184	5.5797223028397624e-05	0.0003952949127385974	0.00011085953376610558	1	0.002282763357061346	1.1293047024740765e-05	0.012479812541509316	1.0749970669188258e-06	6.023124910570221e-05	1.1050211190521964e-08	8.022358048465072e-05	0.00017839497335814247	1	0.00012101785049112301	0.05913352528617244	0.03510913114753256
GO_BEHAVIOR	0.0005751781198783945	1	0.018661796843261413	1.9609272594589555e-07	0.0010177921762389852	2.6106330774933184e-07	0.001468940983727296	0.004840108921153163	0.004878793900028433	2.1808184903493455e-05	0.00421233229563045	0.08328055124713285	1	9.929576787592875e-05	2.302779593565951e-06	0.010292692995109376	7.228324229280325e-06	2.501438759461294e-07	2.6429928463800323e-05	0.0011506242781991194	0.0186416360740137	0.005013169048109223	0.022645708085836103	3.054512198730208e-10	0.00031420731582199046	6.26669623883247e-05	2.915589973895294e-07	5.8969354765681103e-05	0.03484160598474828	0.005495875797318361	7.70938882732608e-07	0.00634398408970438	2.3309308816443775e-08	3.918970491456619e-06	2.918245967098443e-08	0.00017470971783450917	1.3451152081067619e-08	0.028640124255382537	0.028915807582073794	0.00032119710185074535	1.8336231155657856e-07
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0022517900277059244	0.013962700428445385	0.019877545685140996	0.05821626155314741	0.0009058939246772146	0.0003955296850078893	0.0022517900277059244	1	1	0.006435367210579246	1	1	0.0950905606092145	0.015041648411233899	0.003206167138792404	0.0026135889919741695	0.0032467940830578357	0.0007882426954484156	1	1	9.219186124398426e-06	8.71985387240759e-06	0.013271543431962574	0.01341497467380015	4.0525006095304406e-07	0.003660506595840829	0.01043490786404977	1	0.0006097690599607963	0.03599390914638656	2.0725290591494527e-06	0.01281337743003641	4.526865578391437e-06	0.029689637132529145	0.007867845278751284	0.012568266899424141	0.013210760256187282	1	1	0.02167922150632684	1
GO_CARDIAC_CONDUCTION	0.04972979952402312	0.019396656506904253	1.9015414068901393e-05	0.005576841367496588	2.1265268204673227e-05	5.3897480478681814e-08	0.015041559831353801	1	1	1.567677062119799e-05	1	1	0.001307972997848461	0.0006412766855232732	0.0013384731520796889	0.004526162129955935	8.870625318713188e-05	8.765898340534761e-08	1	0.003888947595342085	1.7625850920244268e-05	3.2127771192325127e-06	0.0034204464422173952	6.053669178196497e-05	7.940759571900546e-05	0.0009628013901841204	3.8047216205372436e-05	0.006666765100936889	0.03976495646496181	0.04607671712678085	5.457017641985473e-06	1	0.000336684067352655	3.4729106502817686e-06	3.3494566952230187e-06	0.0013080125703721635	2.3084337777201647e-05	1	0.06677419310266242	2.681588446962202e-06	0.000557489589749327
GO_CATION_CHANNEL_ACTIVITY	5.3368389707486585e-09	6.85995704685638e-12	4.579492274281449e-08	3.902266056732273e-06	2.013056388250334e-12	2.408895305450187e-11	1.4241016987881494e-07	0.0019932234566782947	0.005164352838810671	1.1463598958982857e-09	0.026226951330123205	0.00921153910236494	8.94218113677292e-05	2.543372836039115e-05	1.6471518260452456e-08	4.306242637364122e-06	2.81114032052443e-09	7.082445740991261e-12	0.00024162109305070345	9.678062617979322e-08	4.583511348243974e-10	4.821698595947055e-12	1.7893650437472708e-05	1.9906442272343838e-08	8.811393781282817e-08	5.2189179260975216e-05	2.336156823545821e-10	0.0014752745190173	1.4370042933364857e-08	8.195491075002614e-05	1.684381523148204e-10	0.00020709164191057283	5.293000977513174e-07	3.5689090616131125e-07	6.933003060538567e-10	6.703390328932635e-06	3.762355469394407e-07	0.0012422008188137657	0.06998575846409849	2.5363893171315155e-06	2.1549339122572952e-05
GO_CATION_CHANNEL_COMPLEX	5.420814730427992e-08	4.196603065054205e-10	5.372731870123548e-05	0.0007087991910583735	1.9318668886825208e-10	8.479879021194847e-10	5.420814730427992e-08	0.0011446789220133091	1	2.3207704646921457e-09	0.006595108832762042	0.00020531347094421282	0.0021804939304137516	2.7630468169559386e-05	9.278999790751641e-11	7.839786597685361e-08	1.3886507155280725e-07	4.123146268852906e-12	0.002756345926509307	2.6057888972919052e-05	3.0257505307940136e-05	8.62970805926011e-11	0.004042908990710581	2.1387951362195068e-05	3.384167266640148e-06	7.743371011392775e-06	2.3735680088066147e-11	0.0009249566711010404	1.8602635720732508e-07	0.0012657633826292924	1.0131274236990784e-05	0.00015094550047833888	2.9421889369274368e-08	1.1118438739687875e-06	2.10158901392532e-09	7.048377119733829e-07	9.842342180155228e-07	0.09362970312252283	1	0.00037517187968072463	1.296989954324701e-07
GO_CATION_TRANSMEMBRANE_TRANSPORT	3.5602393395617327e-06	3.063975806516517e-06	5.273554419116255e-05	4.2838653062649e-06	3.411060323088577e-10	5.542299952310259e-10	2.6989035012525697e-05	0.00740542679453382	0.05344519499523326	1.8646241992659185e-06	0.029802636688575523	0.002061328355610348	0.002351287603667318	0.0015537435015684498	5.720547787690933e-07	2.1615956693477045e-06	1.7566502092281056e-05	1.6435160898886636e-08	0.029293313996422432	0.0005011632871552152	2.7831902496666672e-05	3.7392545171321956e-08	0.0010614600360547843	5.8449797120108116e-06	2.103540055475861e-07	0.0012677125295731395	6.436784250052341e-08	0.0004685217672319997	2.281882151122794e-06	0.00030055559116126673	1.3226081230222064e-08	0.004761027111245597	1.9264761395243468e-05	1.210150603003779e-05	4.481116839816224e-07	0.00019119627306696252	2.9905059926726985e-05	0.003996618371745697	1	7.608518044788237e-05	0.00013876463676310014
