	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY														PDE2A PDE8B	PDE2A PDE8B													PDE2A PDE8B							PDE2A PDE8B							PDE2A PDE8B										PDE2A PDE8B														
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS															SULT2A1 TPST2																															SULT2A1 TPST2	SULT2A1 TPST2							SULT2A1 TPST2	SULT2A1 TPST2			SULT2A1 TPST2						SULT2A1 TPST2		
GO_9PLUS2_MOTILE_CILIUM		DNAJB13 TACR3 TSSK4																									DEFB1 DNAH11						CCR6 DEFB1 DNAH11 DNAJB13						CCR6 DEFB1 DNAH11 TACR3	CCR6 DNAJB13 TACR3 TCTEX1D4		CCR6 DNAH11 DNAJB13 TCTEX1D4 TSSK4		DEFB1 DNAJB13 TCTEX1D4	DEFB1 DNAJB13 TCTEX1D4 TSSK4			DEFB1 DNAH11 TACR3				DEFB1 DNAH11 DNAJB13 TCTEX1D4 TSSK4						CCR6 DEFB1 DNAH11 DNAJB13 TCTEX1D4 TSSK4						CCR6 DNAH11 TCTEX1D4 TSSK4		
GO_ACETATE_ESTER_TRANSPORT										ADORA2A CHRNA3																																				ADORA2A CHRNA3																				
GO_ACETYLCHOLINE_BINDING					CHRNA3 CHRNB2									CHRNA3 CHRNB2				CHRNA3 CHRNB2																								CHRNA3 CHRNB2																								
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2	CHRNA5 CHRNB2			CHRNA3 CHRNA5 CHRNB2																CHRNA5 CHRNB2								CHRNA3 CHRNA5 CHRNB2												CHRNA5 CHRNB2					CHRNA3 CHRNA5							
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2	CHRNA5 CHRNB2			CHRNA3 CHRNA5 CHRNB2																CHRNA5 CHRNB2								CHRNA3 CHRNA5 CHRNB2												CHRNA5 CHRNB2					CHRNA3 CHRNA5							
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY					CHRNA3 CHRNB2							CHRNA5 CHRNB2		CHRNA3 CHRNA5 CHRNB2	CHRNA5 CHRNB2			CHRNA3 CHRNA5 CHRNB2																CHRNA5 CHRNB2								CHRNA3 CHRNA5 CHRNB2												CHRNA5 CHRNB2					CHRNA3 CHRNA5							
GO_ACIDIC_AMINO_ACID_TRANSPORT			CPLX1 SNAP25 STX1A															CPLX1 STX1A	ADORA2A SNAP25 STX1A									ADORA2A CPLX1 SNAP25		SNAP25 SYT4		CPLX1 SNAP25 STX1A	CPLX1 SNAP25 STX1A		ADORA2A CPLX1 SNAP25 STX1A				CPLX1 SNAP25 STX1A			CPLX1 SNAP25 STX1A				ADORA2A CPLX1 SNAP25																				
GO_ACID_SECRETION	CES1 SLC26A7												CES1 GHRL SCT	GHRL SCT SLC26A7 SV2A	GHRL SCT SLC26A7 SV2A				CES1 GHRL																	CES1 SLC26A7				SCT SV2A							SLC26A7 SV2A	SLC26A7 SV2A			CES1 SLC26A7	CES1 SCT SV2A						GHRL SCT SV2A		CES1 SCT						
