	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020074618074522155	0.02345470070058764	1	1	1	1	1	1	1	1	1	1	1	1	0.004072487835821148	1	1	1	1	1	1	0.019342864357067557	1	1	1	1	1	1	0.01251968080067467	1	1	1	1	1	1	1	1	1	0.012777610225508829	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08379502593718247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.029592065112460597	0.006565137041586788	1	1	1	1	1	1	0.09127904883584725	0.04554592420348924	1	1	0.07366999048131961	1	1	1	1	1	0.035864327022206655	1	1
GO_9PLUS2_MOTILE_CILIUM	1	0.01707383168862131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07772524984308804	1	1	1	1	1	0.08474751358522203	1	1	1	1	1	0.06783225110551594	0.009125983715534414	1	0.030457029153882487	1	0.06410256262598746	0.0829702802587261	1	1	0.02719849002104202	1	1	1	0.03168155887761759	1	1	1	1	1	0.025506090853310792	1	1	1	1	1	0.0639067132189306	1	1
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1	1	3.0411621440573633e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0018367243549607393	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.004320646638541814	1	1	1	1	1	1	1	1	0.023436905890816595	1	1	1	0.00291335332056486	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014655899490106927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.0065476699460735865	1	1	1	1	1	1	0.01270390905643759	1	0.002972323122423015	0.04044943378331112	1	1	0.0001272844243461746	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03370501696532313	1	1	1	1	1	1	1	0.0014609005121157814	1	1	1	1	1	1	1	1	1	1	1	0.04429434671995014	1	1	1	1	0.0027005203882876083	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.0065476699460735865	1	1	1	1	1	1	0.01270390905643759	1	0.002972323122423015	0.04044943378331112	1	1	0.0001272844243461746	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03370501696532313	1	1	1	1	1	1	1	0.0014609005121157814	1	1	1	1	1	1	1	1	1	1	1	0.04429434671995014	1	1	1	1	0.0027005203882876083	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.01223084228082405	1	1	1	1	1	1	0.023437695894098276	1	0.00752831363107076	0.07198055577538875	1	1	0.0003405376602602095	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06042125041474189	1	1	1	1	1	1	1	0.003768081174363558	1	1	1	1	1	1	1	1	1	1	1	0.07851126617241033	1	1	1	1	0.005100617271694752	1	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	0.07044818692915278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0734079532753904	0.05761239539927687	1	1	1	1	1	1	1	1	0.019901760436956017	1	0.08966385708609548	1	0.08170387716570793	0.07499186510931743	1	0.040527057649157205	1	1	1	0.062358833272300074	1	1	0.08376706118768207	1	1	1	0.04602328176113446	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACID_SECRETION	0.004141858966043022	1	1	1	1	1	1	1	1	1	1	1	0.0005768024089610746	0.008162227507955588	0.010841657726069598	1	1	1	0.09863363373512779	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005782530433057986	1	1	1	0.03452293389464112	1	1	1	1	1	1	0.02017918136226482	0.0225491550190261	1	1	0.010663760993426585	0.024859865485421517	1	1	1	1	1	0.04635063055034061	1	0.006697094062783071	1	1	1	1	1	1
