	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	0.07806974001238243	0.04084622513508729	0.0012863485335029567	0.002008930482616633	6.118878652094928e-06	1	0.0007203589060315041	0.04746204181707281	9.356072239175006e-08	0.00039375489216508797	1	0.0012305150019022992
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	1	1	6.607302117656033e-07	1	1	1	1	1	0.0016451516480150419	1	1	1
GO_AXON	2.3173469809734115e-08	1.4993070673874342e-08	1.3486641052717907e-05	0.00018683311407829972	0.007328057704661495	0.00033175908687110844	1	4.034303326183597e-06	7.713667482533992e-10	1.0300800579954306e-05	1.0129214134124709e-08	0.001298825834728512
GO_AXON_DEVELOPMENT	0.008811954438994518	0.009392097856053438	0.00023251150859437963	0.004519138708370063	0.01821694790895989	1	1	1	4.233644688156346e-07	0.0769168794723184	0.029954373470597817	0.012179862656567786
GO_BEHAVIOR	0.01622157552422232	0.006605839510618661	0.0008770459775827577	0.0024139318647649066	0.00013277660979882366	0.0019182358117235676	0.0425636949385485	0.004177040950630984	9.344519602549894e-10	2.1603908961775886e-07	1	0.002801011163869327
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	1	1	1	1	2.266432658215578e-07	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	0.0890716243758709	0.04940744962467414	7.003780156944472e-07	1	1	1	1	1	1.165347286979923e-05	0.003767758106636876	0.04307263390843674	0.001731193173152512
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.026532475737403916	1	2.8932020956773385e-07	1	1	1	1	1	0.012401951632332486	0.09594019181938074	1	0.009520979507062433
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	1	1	5.456784781809887e-07	1	1	1	1	1	0.004464098495257418	0.057902787662851285	1	0.004231896273173996
GO_CATION_CHANNEL_ACTIVITY	0.0009048584027464557	0.0026160199546569896	2.454744572055745e-07	0.04124072475415175	0.0037251977522030355	1	1	0.05294479557500398	2.1523894111474817e-08	0.000553599018621953	0.03822029522207415	0.00337852802579941
GO_CATION_CHANNEL_COMPLEX	0.006595108832762042	0.007822334284587673	2.4862635557121315e-05	1	0.06707138255334966	0.00436008446466285	1	0.0023789298165517447	1.379477532204021e-09	0.019212830608046683	1	0.00030971658122080914
GO_CATION_TRANSMEMBRANE_TRANSPORT	0.00017386038472444465	0.00384803025952718	8.461048874863764e-07	0.022064683158095733	1	0.04282935326445214	1	1	9.22208171050265e-07	0.02133786881892441	1	0.005566400480638611
GO_CELL_BODY	0.014611794133760347	0.00569673055442621	1.715238872945779e-05	0.000472568790411354	0.0008449971093877906	1	1	0.003726833561755516	4.7160698568582404e-08	0.008414215057421348	0.009873781404180715	0.0006645263468239015
GO_CELL_CELL_SIGNALING	7.403739153899469e-05	0.0008643359746776103	2.5834115291445414e-08	0.000476899412237497	0.006107452013667247	0.000975034039984557	1	0.0004376268390478	0.0	1.5490806970497317e-08	0.0016427722903842312	0.0002538987078833932
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	3.009618257943103e-07	1	1	1	1	1	0.0005461977909602123	1	1	0.014813729959232802
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	5.456784781809887e-07	1	1	1	1	1	0.0005390134342476705	1	1	0.042044588620523626
GO_DENDRITIC_TREE	3.7397276799855383e-05	3.625059784906348e-05	1.8458085059291918e-06	1	1	0.06394731841446533	1	0.07047042929486047	1.3213485861029994e-09	2.503041273160811e-05	0.011513242319978967	1.3197855445068463e-05
GO_GATED_CHANNEL_ACTIVITY	0.0009476563625384626	0.0027492741418637667	1.5823215034904692e-06	0.04238469227546726	0.0038457219529551834	1	1	0.010478528438004564	7.478138108751864e-10	0.0005902008906399914	0.03908390432726572	0.003548307682368357
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	0.0001396639984796444	0.02243858339291127	5.419883629675937e-07	0.05165587665452254	1	1	1	1	5.550059130055018e-07	0.08078423692637737	1	0.06584392882901402
GO_LEARNING	0.0129632047456959	1.640946519987363e-05	0.03822271322403781	1	1	0.0199778242887938	1	0.005964981717123896	6.234706252528088e-05	7.895703327820414e-07	1	0.052541159714205476
GO_MEMBRANE_DEPOLARIZATION	0.003598724197208747	1	9.945940904199091e-08	1	1	1	1	0.0016026523196376319	0.0007744614106767189	0.0004340463270099404	1	0.016025209188833878
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0.006910830557708025	1	2.7806915658956655e-08	1	1	1	1	1	0.009663837563813837	0.027258467708422107	1	0.001284874918991763
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.002706162613385077	1	7.281343306075883e-10	1	1	1	1	1	0.0024892996888626895	1	1	0.007816952868462956
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.2825481603861988e-05	0.00987796838850763	5.365238510579573e-06	0.0854894068572557	1	1	1	0.0231494265900557	4.918344109761108e-08	0.03011875528014729	0.014948447419533606	0.038821595577558266
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	2.645024994585299e-07	1	1	1	1	1	1.9105660031826233e-07	0.0006006225272752186	0.07716230398940649	0.007079646989434973
GO_NEUROGENESIS	0.00010439046865373669	0.00011128944859140066	4.62587267024972e-05	5.658306888889353e-05	0.012569984182374982	1	1	0.008469721060792246	3.904036282820211e-05	2.8708948551781077e-08	0.0008687154823160403	0.060543318860799
GO_NEURONAL_DENSE_CORE_VESICLE	1	1	1	1	1	6.674127338568425e-07	1	0.00041106379781441493	0.008646883245534087	1	1	1
GO_NEURON_DEVELOPMENT	4.514527735532958e-06	0.00017998702351496032	6.531939587883784e-06	0.00011466581180485935	0.005438905999673338	0.08994508126001266	1	0.002102105292822065	7.858731785326256e-07	1.2682947769682151e-05	0.0033755829377670743	0.015284738328858127
GO_NEURON_PROJECTION	2.9170199589145795e-10	9.865726013913445e-10	4.702969125247591e-10	3.5730639028619393e-06	3.330343226359833e-05	0.00011991965568147744	1	4.830466584171411e-06	3.409317272939916e-11	2.1947665906907332e-10	1.206835283928953e-07	3.074698829652611e-06
GO_NEURON_TO_NEURON_SYNAPSE	0.0002347186510518462	3.868827660336027e-05	0.015578759393173547	0.0005686814973636656	0.033231030680348494	0.00020094613430865493	0.08177268036711338	0.0003250939757621918	9.970865499919768e-08	0.000254994013376697	0.048588636345827885	0.0013870229670676082
GO_NEUROTRANSMITTER_TRANSPORT	1.1813932496607116e-05	0.0002903837866861103	8.196732744769619e-07	0.001990224632361648	2.3166772444849215e-07	2.131603306754215e-05	1	2.4027091796274824e-05	3.950801555463457e-06	0.0002026817394351621	0.0016652425925870462	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.005467000088938079	0.017394361960686888	4.743946623420037e-06	0.0387863211938807	0.013008697111898893	1	1	0.0331278758130209	3.2287908247052854e-07	0.001916891069285498	0.09079664072385285	0.021777807921937176
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	0.0821221284297774	0.037687634295225036	0.007348514423226149	1	0.0018280890060445865	0.08333347061187468	1	0.007669192113035739	2.2200901361735248e-07	1	1	0.018853582739378316
