	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73
GO_ADULT_BEHAVIOR	4	3	4	8	10	7	5	8	2	0	0	9	0	9	12	4	3	5	14	4	5	13	7	3	8	2	9	5	0	9	7	4
GO_AXON	32	13	14	10	43	31	21	29	7	10	14	30	23	36	49	8	15	26	31	12	14	22	18	7	43	12	31	35	17	29	23	10
GO_AXON_DEVELOPMENT	23	5	8	6	29	20	10	19	0	0	5	23	15	19	21	5	11	19	20	7	9	17	14	0	21	6	21	17	12	18	16	0
GO_BEHAVIOR	13	6	7	14	21	19	10	21	5	4	0	25	10	24	31	9	11	16	28	10	14	24	13	6	23	7	22	18	0	19	16	7
GO_CALCIUM_ION_IMPORT	3	3	0	0	6	3	0	4	0	0	0	5	3	4	5	0	0	5	4	7	0	0	0	2	5	2	4	0	3	5	0	0
GO_CARDIAC_CONDUCTION	0	3	6	3	10	6	4	10	0	0	3	7	4	9	15	0	4	10	9	7	4	8	5	3	11	2	7	10	4	7	7	0
GO_CATION_CHANNEL_ACTIVITY	15	15	9	8	29	15	15	19	0	5	7	17	11	22	27	6	13	23	19	13	8	19	8	11	22	7	13	16	9	14	13	5
GO_CATION_CHANNEL_COMPLEX	12	11	6	4	18	12	15	16	0	5	6	16	11	14	22	4	8	17	12	9	9	16	5	10	13	6	13	13	5	12	12	0
GO_CATION_TRANSMEMBRANE_TRANSPORT	19	16	12	14	37	24	20	25	0	9	9	27	18	31	41	5	15	30	27	21	13	29	19	15	34	9	20	24	14	22	23	10
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	17	15	10	10	32	19	16	20	0	5	7	20	14	26	34	6	13	26	22	15	10	22	14	11	26	7	15	18	11	17	16	7
GO_CATION_TRANSPORT	20	20	18	16	45	30	21	30	0	10	12	32	21	36	45	7	18	34	32	22	14	31	23	15	39	11	25	29	17	27	26	12
GO_CELLULAR_COMPONENT_MORPHOGENESIS	31	7	14	8	37	26	12	21	0	6	8	27	23	24	28	10	15	23	29	11	12	20	19	0	25	10	25	27	18	23	17	0
GO_CELL_BODY	22	10	10	8	37	22	12	20	4	6	0	22	10	25	31	10	13	22	24	12	10	24	16	0	29	12	21	23	10	25	17	7
GO_CELL_CELL_SIGNALING	42	24	32	20	72	51	34	50	0	10	15	55	35	58	69	12	27	49	58	22	25	47	34	15	58	20	48	52	34	50	50	19
GO_CELL_JUNCTION_ORGANIZATION	18	12	12	9	28	17	0	18	0	7	7	24	13	22	29	6	9	21	25	13	0	15	11	7	28	8	14	19	11	20	15	7
GO_CELL_MORPHOGENESIS	32	9	15	0	41	29	17	25	0	8	8	28	23	29	31	10	16	29	32	13	13	22	19	0	27	10	26	26	21	26	22	7
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	27	0	11	0	32	23	0	20	0	6	0	23	18	21	26	8	14	21	27	10	11	18	17	0	25	7	21	20	15	21	15	0
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	25	6	11	7	30	22	0	18	0	6	6	21	17	19	22	8	12	19	25	9	10	18	16	5	24	7	21	20	14	18	13	0
GO_CELL_PART_MORPHOGENESIS	29	7	13	7	35	25	12	19	0	6	8	24	21	21	24	10	13	23	27	9	11	20	16	0	24	10	23	24	17	21	16	0
GO_CELL_PROJECTION_ORGANIZATION	38	13	23	18	52	42	28	39	7	11	15	43	42	42	51	12	22	42	46	16	24	32	28	13	49	13	32	34	31	35	34	16
GO_CHEMICAL_HOMEOSTASIS	19	10	14	0	41	26	0	32	7	0	10	27	17	30	42	0	0	28	27	21	15	25	24	0	32	10	22	22	18	34	24	9
GO_CHYLOMICRON_REMODELING	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	3	3	2	0
GO_CIRCULATORY_SYSTEM_PROCESS	0	0	8	7	23	13	10	21	4	4	9	18	0	23	35	6	10	21	18	14	7	17	18	5	19	11	21	24	12	14	17	0
GO_CYTOSKELETAL_PROTEIN_BINDING	18	8	17	15	38	24	17	25	6	8	13	24	22	34	38	0	11	22	24	17	13	17	20	10	36	0	21	23	16	25	20	8
GO_DENDRITIC_SHAFT	3	2	0	2	6	3	2	5	0	0	0	3	5	5	6	0	2	5	3	4	3	4	5	2	7	0	4	5	2	4	3	0
GO_DENDRITIC_TREE	23	7	7	10	36	21	15	18	0	7	8	24	18	31	36	6	15	18	28	13	10	20	17	0	35	5	19	27	0	27	18	7
GO_DISTAL_AXON	16	4	6	5	22	19	9	15	3	5	0	15	11	17	26	4	0	12	17	6	7	10	10	0	22	7	13	16	9	14	10	5
GO_EXOCYTIC_VESICLE	10	3	6	0	12	7	7	9	4	0	6	13	7	11	13	3	4	9	12	4	5	8	6	0	15	0	9	5	5	9	8	3
GO_GATED_CHANNEL_ACTIVITY	14	15	10	8	30	15	16	20	0	8	7	19	11	23	28	6	13	23	19	15	7	18	9	11	22	8	15	17	11	13	14	5
GO_GLUTAMATERGIC_SYNAPSE	15	7	6	9	17	18	10	15	0	0	5	13	12	16	19	6	8	19	22	0	7	15	0	0	21	7	15	16	0	14	17	4
GO_HEART_PROCESS	0	4	6	5	14	8	7	12	0	0	4	12	0	13	22	0	7	14	12	8	0	12	9	0	13	7	12	16	6	9	9	0
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	2	2	0	0	2	0	2	3	0	0	0	3	0	0	3	0	0	2	0	4	0	0	0	2	3	2	3	3	0	3	0	0
GO_HORMONE_ACTIVITY	0	0	0	4	9	4	4	6	2	4	0	10	0	7	11	0	3	0	6	3	5	7	0	0	4	8	6	0	4	6	5	2
GO_HORMONE_TRANSPORT	11	7	8	0	19	16	11	21	0	3	0	23	10	16	21	0	9	14	10	7	10	15	11	0	17	7	14	11	10	17	9	0
GO_IMPORT_INTO_CELL	0	6	4	0	11	8	8	7	2	3	0	9	7	12	16	0	4	11	10	5	8	10	8	5	12	0	0	8	8	9	7	3
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	18	15	11	12	36	21	21	25	0	12	10	26	18	28	39	5	13	30	25	21	10	26	18	17	32	10	22	23	14	20	21	8
GO_INSULIN_SECRETION	10	7	6	0	15	12	8	13	0	0	0	16	9	12	17	0	8	13	7	4	10	12	8	0	14	5	9	10	5	12	8	0
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	36	22	22	18	58	39	25	48	0	11	15	40	31	48	56	13	26	43	45	23	18	35	27	18	43	16	30	35	30	37	35	14
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	5	4	4	4	9	9	5	9	0	0	0	9	4	9	14	0	0	8	10	3	0	8	4	0	8	4	8	6	5	9	9	3
GO_ION_TRANSMEMBRANE_TRANSPORT	23	18	14	16	45	28	23	29	0	12	10	32	20	36	45	8	17	31	31	24	14	32	22	17	37	12	24	26	17	25	27	12
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	19	15	10	10	35	20	18	22	0	8	8	23	16	27	36	7	14	27	23	18	10	22	15	13	27	9	18	19	0	18	17	7
GO_ION_TRANSPORT	26	21	18	17	56	34	25	37	7	14	14	40	24	44	55	10	21	39	38	25	16	36	29	17	42	18	33	34	22	35	35	14
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	7	8	5	5	11	6	4	6	0	0	0	7	0	8	7	3	5	7	7	0	3	11	0	2	7	2	0	6	5	6	4	3
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	7	8	6	6	13	7	5	8	0	3	0	9	0	8	8	3	6	9	8	5	3	11	0	3	8	3	5	7	6	6	6	3
GO_LOCOMOTORY_BEHAVIOR	7	3	4	8	11	10	5	8	2	0	0	12	5	7	11	3	5	8	13	6	7	11	6	0	9	0	10	9	0	7	6	0
GO_MAIN_AXON	5	2	6	0	8	4	5	5	3	0	2	4	3	5	8	0	6	0	3	2	3	4	0	3	9	0	0	6	0	6	4	2
GO_MEMBRANE_DEPOLARIZATION	4	5	5	3	12	5	5	7	0	0	2	7	3	9	12	2	0	8	8	8	0	5	4	3	8	4	6	8	5	9	7	0
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	2	2	3	0	8	2	3	3	0	0	0	3	2	5	7	0	2	6	5	5	0	3	3	0	5	2	2	4	3	4	4	0
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	0	2	0	6	0	2	3	0	0	0	3	2	4	5	0	0	4	4	5	0	3	3	0	3	0	2	4	2	3	4	0
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	15	14	7	6	26	16	14	19	0	5	7	18	13	20	31	5	11	24	19	14	8	18	11	11	23	7	15	17	9	16	14	4
GO_METAL_ION_TRANSPORT	17	18	13	14	37	23	18	29	0	10	10	28	18	28	38	0	15	29	28	22	11	27	19	15	32	9	22	26	13	23	22	8
GO_MICROTUBULE	9	0	7	5	17	10	8	8	0	0	0	10	9	15	17	3	7	9	9	0	8	0	9	7	20	0	0	10	9	11	13	6
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	12	6	0	21	11	11	14	0	4	5	14	8	19	25	4	10	16	13	8	0	15	10	7	15	4	7	12	9	10	9	4
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	11	13	11	10	27	14	14	19	0	7	7	20	11	23	28	0	12	20	17	14	0	19	14	10	22	0	11	15	11	13	15	6
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	6	4	6	5	16	8	8	12	0	0	6	10	7	14	20	0	6	13	10	9	4	9	5	6	15	4	9	12	5	9	9	0
GO_NEUROGENESIS	41	17	25	20	58	46	29	37	9	11	18	47	39	50	54	15	29	48	46	17	25	32	35	13	56	14	35	42	36	40	31	11
GO_NEURON_DEVELOPMENT	36	10	17	15	48	36	21	34	6	9	16	41	33	38	47	14	21	36	39	14	20	27	26	9	43	14	30	33	24	35	23	10
GO_NEURON_DIFFERENTIATION	41	15	23	19	53	40	25	36	8	10	16	45	37	44	49	14	27	43	44	14	23	29	31	10	49	14	32	40	29	36	28	10
GO_NEURON_PROJECTION	47	26	25	21	76	50	38	53	8	18	22	58	39	63	79	13	29	48	59	25	24	49	39	11	72	16	48	57	28	50	41	19
GO_NEURON_PROJECTION_GUIDANCE	14	0	5	4	20	11	6	12	0	0	5	17	7	9	11	3	5	13	12	6	0	7	10	0	12	4	13	12	8	11	7	0
GO_NEURON_PROJECTION_TERMINUS	13	3	3	3	13	7	4	9	0	3	4	10	7	7	16	5	4	8	10	4	4	8	8	0	12	6	9	10	5	8	9	3
GO_NEURON_SPINE	7	4	3	3	12	6	8	7	0	4	0	9	9	10	12	0	0	8	10	5	5	10	10	0	14	0	6	8	5	10	5	3
GO_NEURON_TO_NEURON_SYNAPSE	16	6	7	10	22	19	9	14	0	0	5	19	16	19	26	3	8	18	24	5	10	12	14	6	26	4	14	17	11	18	17	11
GO_NEUROTRANSMITTER_SECRETION	10	4	7	4	17	10	8	11	4	2	4	10	9	18	14	4	4	7	18	4	4	9	7	0	15	4	9	12	6	13	13	5
GO_NEUROTRANSMITTER_TRANSPORT	11	6	8	5	19	11	8	11	4	0	5	13	10	18	16	4	5	9	19	5	4	11	9	0	17	4	10	12	7	14	14	5
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	16	15	10	8	31	16	16	21	0	8	8	19	13	23	29	7	14	24	20	15	8	19	9	13	23	9	16	17	11	14	14	5
GO_PEPTIDE_HORMONE_SECRETION	11	7	8	0	17	14	10	16	0	0	0	19	9	13	20	0	8	14	8	6	10	14	10	0	15	6	11	11	8	15	8	0
GO_PEPTIDE_SECRETION	15	8	10	0	20	17	13	21	0	0	0	25	13	17	26	0	10	17	12	10	11	17	13	0	20	8	13	13	11	20	12	0
GO_PERIKARYON	11	4	3	0	14	5	6	9	0	0	0	8	5	9	11	0	4	10	10	4	0	7	0	0	7	3	6	7	0	9	5	0
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	15	15	10	9	31	21	18	18	0	6	7	21	13	25	31	6	12	23	17	12	10	22	11	11	21	7	15	21	0	22	20	6
GO_PLASMA_MEMBRANE_REGION	20	12	14	15	36	30	18	31	6	11	9	29	26	30	42	6	0	23	35	17	18	28	24	10	36	9	22	28	23	26	31	11
GO_POSITIVE_REGULATION_OF_CHOLESTEROL_ESTERIFICATION	0	0	0	0	0	0	0	2	3	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
GO_POSTSYNAPSE	23	11	11	14	36	30	18	27	4	10	7	30	24	29	38	7	12	26	35	15	11	24	22	9	38	8	23	26	15	26	25	11
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	6	3	3	4	8	10	3	7	0	0	3	6	6	8	10	0	0	6	9	2	4	7	0	3	11	2	6	9	6	6	8	3
GO_POSTSYNAPTIC_MEMBRANE	8	7	6	8	20	18	7	17	3	8	6	15	15	17	20	3	6	13	19	10	8	13	11	6	20	5	12	16	14	15	15	5
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	6	4	4	6	10	12	0	7	0	0	3	8	6	10	11	0	3	7	11	0	4	9	3	3	11	3	7	9	7	7	9	3
GO_POTASSIUM_CHANNEL_ACTIVITY	8	9	4	0	15	8	8	10	0	4	3	10	6	14	16	2	9	9	8	5	3	9	5	7	9	2	4	9	6	6	7	2
GO_POTASSIUM_CHANNEL_COMPLEX	7	7	4	0	10	7	8	8	0	4	2	9	5	9	12	2	6	8	6	4	3	9	0	6	4	2	3	6	4	6	6	2
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	8	9	4	0	15	9	8	11	0	4	3	10	6	15	18	2	9	10	10	5	4	11	7	7	11	0	5	10	6	6	8	3
