	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73
GO_ADULT_BEHAVIOR	0.049828006894493404	0.025600918975399956	0.009194214068662943	6.630967165355273e-07	5.614763164796255e-05	0.0010338583017672764	0.010188044268352292	8.085599793838938e-05	0.03587789751432602	1	1	7.386897067929166e-05	1	0.0002642368054381894	1.8298131656546701e-06	0.000403748582844754	0.06558621219881544	0.020561786506805513	6.374422101274035e-10	0.00764295712232177	0.001610367231339338	9.089303754095113e-10	0.00020058993711236095	0.01813776978505166	0.00038149848128288255	0.0864798763509057	9.980976333756608e-06	0.013924157878577703	1	2.5366084331124306e-05	0.0012072226701741462	0.0017284951308191854
GO_AXON	0.0	7.679405227944969e-06	2.9258156900469068e-05	0.0021532518883710106	0.0	0.0	9.417538089362409e-07	0.0	0.0004341629594594165	1.1991781003306556e-05	9.068998992889377e-07	1.2151880612876198e-09	2.8853304412379543e-08	0.0	0.0	0.00019759444763844947	2.9161764430352122e-05	2.373835328306484e-08	0.0	0.0002805396843680308	4.301069387380174e-05	3.372029492298978e-07	1.3486641052717907e-05	0.015225717539032235	0.0	2.6512417226065566e-06	0.0	0.0	0.00010721627937193556	1.4436274398121896e-10	2.339481609325844e-06	0.000132175592919892
GO_AXON_DEVELOPMENT	4.1205840961566764e-09	0.09857933940923047	0.01411991785758615	0.06232075415735794	4.472054393467317e-09	3.3348920344122845e-06	0.031267447222362965	2.1196019748259687e-06	1	1	0.08822530710497811	4.320243613964436e-07	0.0001241792130211028	0.0005576180718775969	0.00011142092177562901	0.010868335395896933	0.0009351182572723271	1.1454786952191931e-05	3.3348920344122845e-06	0.030859077071864083	0.005609434163002303	1.814606813077546e-05	0.00023251150859437963	1	4.802708360007735e-06	0.011673106943995926	8.829771813712028e-08	3.77112687616199e-05	0.004039776554640939	3.326185364571632e-05	0.0005708573278183637	1
GO_BEHAVIOR	0.008532163861721065	0.061432778302472735	0.0707785757840691	3.6933009028849995e-06	0.0005371720670787061	7.540565535457677e-05	0.06581142405909501	1.031612507529367e-06	0.009837340504826098	0.09417477167314303	1	3.422738487079968e-07	0.05507673181927375	2.233894097014577e-05	9.33455968077368e-09	1.8874815852276683e-05	0.0026902897969469652	0.0016618818206011188	3.6276082138186894e-10	0.0022935762834086493	2.251175799716787e-05	5.854561502260935e-09	0.0025630950110094863	0.036011952781201284	3.419131944015774e-06	0.0058644214220793245	1.9476173762633664e-07	6.0140827973675925e-05	1	5.8969354765681103e-05	0.0022847357266725377	0.007389904426640337
GO_CALCIUM_ION_IMPORT	0.054429294747463275	0.007154233690560674	1	1	0.0020772878916898163	0.07420332085174464	1	0.01106864716468614	1	1	1	0.004898233432076071	0.04410796379226134	0.04149889533886675	0.011100520870960251	1	1	0.0028961269138535473	0.016535681248358802	5.226476988973161e-07	1	1	1	0.04650676485535099	0.004655279069361362	0.037261664526084926	0.010504771094711707	1	0.044721390310592746	0.0027301024365220528	1	1
GO_CARDIAC_CONDUCTION	1	0.0311902642159676	0.00026187519750842103	0.043920645015424475	0.00010739768917156223	0.007266246874833793	0.05360255798266966	2.836242466108807e-06	1	1	0.028574113088116304	0.0031557683904848144	0.04853603629331982	0.0004671027767476632	1.3189352943143717e-08	1	0.01799758075885416	7.901622682604525e-06	5.372733447006617e-05	2.1141988465367412e-05	0.013414905182196568	0.00010387690777491354	0.00964397021566299	0.02219628621279912	3.2127771192325127e-06	0.09852830164954918	0.0007371829377809114	3.249198512689233e-06	0.049361141377953555	0.0014561911900897728	0.001881939885152506	1
GO_CATION_CHANNEL_ACTIVITY	1.5483652267000991e-06	2.919187114258648e-11	0.00017766541402741698	0.0003988879289448244	0.0	7.696479263574751e-06	7.930651626519847e-07	1.533080662419195e-09	1	0.0025946047999002575	0.0007333561135463018	1.7620100843940278e-06	0.00028536586444161127	1.073496336267965e-08	2.946598520736643e-11	0.00019313773847051685	4.2613775652622365e-07	8.675948848235748e-12	1.1248949771669459e-08	5.2783191151206665e-08	0.0011075892030540935	7.555610581633232e-10	0.009098518123850208	9.908387077484093e-08	3.643420010135401e-10	0.00018915377040729098	3.362890195646173e-05	4.0985485716404924e-07	0.004099252590625824	2.723385296010683e-05	0.00017468591899405528	0.008226827430956374
GO_CATION_CHANNEL_COMPLEX	2.571672207407616e-06	5.8620711618218024e-09	0.0021158192439515444	0.029909522531982202	1.1593655813157966e-08	9.784275409763232e-06	3.48865969446166e-09	1.0284499918356005e-09	1	0.0004131776879406912	0.00046499909179964494	3.134816450867106e-08	6.8312297084593965e-06	8.356118059493767e-06	4.1762815428114664e-11	0.0023789298165517447	0.00012887307812081694	7.060954043680567e-10	9.784275409763232e-06	4.595560221032358e-06	9.444479547981999e-06	5.431146643530838e-10	0.04448337096133392	2.0364571584607916e-08	5.579244127251748e-06	0.00013932554126538932	3.704640728630082e-07	5.258877318059518e-07	0.05556432927562527	8.133240717911328e-06	1.2810865300694196e-05	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	0.0016653491274809529	2.7738205303773356e-06	0.006859083147132794	0.00024472002174436014	4.8987350398377316e-08	9.224270273910928e-05	0.00034016530273828227	4.15977956058633e-06	1	0.0008603747302744491	0.017595617406044983	3.54156321787924e-05	0.00152375923834569	1.7947174696719692e-05	7.301513837987272e-10	0.07446705417173805	0.0009807880697484395	1.07208165789352e-07	3.9813778830444235e-06	2.2753066208913708e-08	0.003379386730399725	1.094614110463965e-08	0.0002864611062409761	2.3515852209943233e-06	1.0898108637746873e-08	0.00432157706595071	0.0006309230503175334	1.6771645296675963e-05	0.03813372040364149	0.0004685217672319997	0.0003549702450744707	0.0016711842124844667
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0002444458018329154	1.9782904137066737e-07	0.004709696010883002	0.0019654260107958565	5.031021821366721e-09	0.00013855963255648973	0.00040157911454341555	7.903752756499571e-06	1	0.03437316846617322	0.0232908150898391	0.00023339047597170648	0.002353085902709773	5.600348770506969e-06	5.430601524025747e-10	0.005236942890775365	0.00036487524055128784	1.846164265906225e-08	4.222757761129792e-06	2.8658070527765034e-06	0.005985245979845288	2.726622199133999e-07	0.0013671527985525955	4.765628092184837e-05	1.7875864266603259e-07	0.00751126256981649	0.0018797130350791669	0.00010864886006323182	0.035177234513578015	0.0008853318072834515	0.0036105511196506956	0.009429496074832122
GO_CATION_TRANSPORT	0.015787993031450287	3.247212504442487e-07	0.00021432320088277113	0.0004596730600366916	2.0595709804283047e-08	3.5414881062401093e-05	0.004438806989196631	3.2098698875548948e-06	1	0.001677614480096068	0.006056482398594465	5.8659016626716465e-05	0.003001014093783616	6.282219012054835e-05	3.42863185620601e-08	0.028749193186968447	0.0009707635223855648	5.777664944250915e-07	5.124643928988704e-06	6.188099063164643e-07	0.014109102164044485	4.2711588776889187e-07	0.0002445605722938282	6.68525173619372e-05	4.333191350180954e-08	0.002999205471242883	0.0003207691729535389	1.2332441768792002e-05	0.04825860919285341	0.0003637080097045331	0.0015874260204898905	0.0013332171316030594
GO_CELLULAR_COMPONENT_MORPHOGENESIS	7.150324776716843e-11	0.07649178307218052	0.00029336105065425055	0.061642109051234906	2.9925751876547224e-09	1.7558823659502565e-06	0.0820507199467726	6.870211520459968e-05	1	0.025868816767716685	0.02625531810695314	5.333840192411898e-06	1.369915823890011e-06	0.0013630110934538253	7.264871927170624e-05	2.7055053015256902e-05	0.0003265738357195458	4.643887008315417e-05	4.2127956012549816e-08	0.005596717173643073	0.0039226164972382405	0.00011194868620245657	7.273662648132895e-05	1	3.55386255778134e-05	0.0005300485364554408	4.587834182556705e-07	6.103115579580987e-08	0.0004823435897266526	3.742818253327229e-05	0.01398274795550114	1
GO_CELL_BODY	1.4279245019732656e-07	0.0003980212361747171	0.002874476932614556	0.013279077741986778	1.411537553508424e-12	1.3556948632587051e-06	0.011579128986585974	2.7841659272498376e-06	0.039287104019978925	0.0066218488339681025	1	9.52354421235313e-06	0.04847587717779811	5.007942463386428e-06	5.426245230921722e-09	1.931075140015892e-06	0.0001856284974010025	1.2561517577225345e-06	8.89907956214131e-08	0.0001310544936561353	0.003681446329275917	3.735248332858987e-09	6.312782417894347e-05	1	6.033438193497886e-10	1.1234980853425114e-06	5.486631730056146e-07	5.2292548735621835e-08	0.050004242155492484	1.4696876937669856e-08	0.0006762929812764717	0.006532382548921523
