TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ARX	AB074188	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
LMX1A	AB074188	0.99942	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
ARX	ABCC8	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1A	ABCC8	0.59071	46.13	0.134	rgb(218,191,192)	1.9028	None
LMX1B	ABCC8	0.22515	27	0	rgb(217,217,217)	1.5201	None
SOX4	ABCC8	-0.96799	50.82	-0.82	rgb( 40,109,248)	1.9966	None
LMX1A	ABLIM2	0.40677	37.68	0.679	rgb(224, 87, 89)	1.7337	None
LMX1B	ABLIM2	0.63143	47.28	0.284	rgb(220,163,163)	1.9258	None
SOX4	ABLIM2	-0.38364	36.48	-0.48	rgb(112,153,235)	1.7097	None
LMX1B	ACBD7	0.24796	30	0	rgb(217,217,217)	1.5801	None
SOX4	ACBD7	-0.64907	47.46	-0.46	rgb(118,157,234)	1.9294	None
LMX1A	ACOT7	0.084387	19	0	rgb(217,217,217)	1.3601	None
LMX1B	ACOT7	-0.5145	42.34	-0.34	rgb(144,173,230)	1.827	None
ARX	ACTL6B	-0.78872	50.2	-0.42	rgb(125,161,233)	1.9842	None
LMX1A	ACTL6B	0.80281	50.33	0.538	rgb(223,114,115)	1.9868	None
LMX1B	ACTL6B	0.94403	50.71	0.709	rgb(225, 81, 83)	1.9944	None
SOX4	ACTL6B	0.73119	49.16	0.158	rgb(219,187,187)	1.9634	None
LMX1A	ADAM12	0.89938	50.65	0.649	rgb(224, 93, 94)	1.9932	None
SOX4	ADAM12	-0.88819	50.62	-0.62	rgb( 82,135,241)	1.9926	None
ARX	ADAMTSL1	0.44874	40.59	0.589	rgb(223,105,106)	1.792	None
LMX1A	ADAMTSL1	0.87641	50.56	0.558	rgb(223,110,112)	1.9914	None
LMX1B	ADAMTSL1	-0.83474	50.47	-0.75	rgb( 53,117,246)	1.9896	None
SOX4	ADAMTSL1	-0.91322	50.68	-0.68	rgb( 70,127,243)	1.9938	None
ARX	ADCY1	0.1881	26	0	rgb(217,217,217)	1.5001	None
LMX1B	ADCY1	0.71016	48.5	0.857	rgb(226, 53, 55)	1.9502	None
SOX4	ADCY1	0.87278	50.55	0.547	rgb(223,113,114)	1.9912	None
LMX1A	ADCY2	0.98637	50.85	0.847	rgb(226, 55, 57)	1.9972	None
LMX1B	ADCY2	-0.4627	40.32	-0.44	rgb(121,158,234)	1.7866	None
SOX4	ADCY2	-0.98121	50.87	-0.87	rgb( 28,102,250)	1.9976	None
ARX	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1B	AEBP1	-0.83804	50.48	-0.48	rgb(113,154,235)	1.9898	None
ARX	AF131837	0.96943	50.78	0.784	rgb(226, 67, 69)	1.9958	2,2
SOX4	AF131837	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
LMX1A	AGAP11	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1B	AGAP11	0.12321	21	0	rgb(217,217,217)	1.4001	None
SOX4	AGAP11	0.21727	28	0	rgb(217,217,217)	1.5401	None
LMX1A	AGT	0.93437	50.73	0.73	rgb(225, 78, 79)	1.9948	None
SOX4	AGT	-0.76663	49.58	-0.58	rgb( 91,140,239)	1.9718	None
ARX	AK054990	0.66126	47.59	0.591	rgb(224,104,105)	1.932	2,2
LMX1A	AK054990	0.88141	50.57	0.57	rgb(223,108,109)	1.9916	2,2
SOX4	AK054990	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
LMX1A	AK096718	0.94403	50.71	0.71	rgb(225, 81, 83)	1.9944	2,2
SOX4	AK096718	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
LMX1A	AK5	0.11582	20	0	rgb(217,217,217)	1.3801	None
