TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ASCL1	ABCC8	0.17332	24	0	rgb(217,217,217)	1.4601	None
ASCL2	ABCC8	0.0067328	14	0	rgb(217,217,217)	1.2601	None
ASCL1	ACE	-0.8304	50.45	-0.45	rgb(119,158,234)	1.9892	None
ASCL2	ACE	-0.60264	46.34	-0.34	rgb(143,172,230)	1.907	None
ASCL1	ADAMTSL2	0.17332	24	0	rgb(217,217,217)	1.4601	None
ASCL2	ADAMTSL2	0.25535	30	0	rgb(217,217,217)	1.5801	None
ASCL1	ADCY1	-0.46613	40.41	-0.41	rgb(127,162,233)	1.7884	None
ASCL2	ADCY1	0.64411	46.66	0.657	rgb(224, 91, 93)	1.9134	None
ASCL1	AEBP1	-0.6228	46.27	-0.27	rgb(159,181,227)	1.9056	None
ASCL2	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
ASCL1	AK5	0.26378	31	0	rgb(217,217,217)	1.6001	None
ASCL2	AK5	0.34981	36.17	0.173	rgb(219,184,184)	1.7035	None
ASCL1	ANXA6	-0.44209	39.39	-0.39	rgb(133,166,232)	1.768	None
ASCL2	ANXA6	0.78872	50.2	0.201	rgb(219,179,179)	1.9842	None
ASCL1	APLP1	-0.89765	50.64	-0.64	rgb( 77,132,241)	1.993	None
ASCL2	APLP1	0.45238	41.1	0.101	rgb(218,198,198)	1.8022	None
ASCL1	ATOH8	0.15832	24	0	rgb(217,217,217)	1.4601	None
ASCL2	ATOH8	0.42635	40.01	0.008	rgb(217,215,215)	1.7804	None
ASCL1	BAIAP3	0.10777	20	0	rgb(217,217,217)	1.3801	None
ASCL2	BAIAP3	0.66473	47.64	0.64	rgb(224, 95, 96)	1.933	None
ASCL1	BRSK2	0.32805	35	0	rgb(217,217,217)	1.6801	None
ASCL2	BRSK2	0.23961	28	0	rgb(217,217,217)	1.5401	None
ASCL1	C2CD4B	-0.67955	47.68	-0.68	rgb( 69,127,243)	1.9338	None
ASCL2	C2CD4B	0.3836	36.47	0.473	rgb(222,127,128)	1.7095	None
ASCL1	C4orf48	0.13057	21	0	rgb(217,217,217)	1.4001	None
ASCL2	C4orf48	-0.728	49.3	-0.3	rgb(152,177,228)	1.9662	None
ASCL1	CACNB4	0.65147	47.19	0.186	rgb(219,182,182)	1.924	None
ASCL2	CACNB4	0.35262	35.17	0.173	rgb(219,184,184)	1.6835	None
