TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CCDC17	AF086346	0.78121	49.8	0.796	rgb(226, 65, 67)	1.9762	2,2
ZNF883	AF086346	-0.53205	42.79	-0.79	rgb( 45,112,247)	1.836	2,2
CCDC17	AF420437	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
ZNF883	AF420437	-0.44577	40.47	-0.47	rgb(114,154,235)	1.7896	2,2
CCDC17	AK024092	0.89261	50.63	0.633	rgb(224, 96, 97)	1.9928	2,2
ZNF883	AK024092	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CCDC17	AK025664	0.60091	46.32	0.321	rgb(221,156,156)	1.9066	2,2
ZNF883	AK025664	-0.72524	48.74	-0.74	rgb( 57,120,245)	1.955	2,2
CCDC17	AK026392	0.77865	49.76	0.761	rgb(225, 72, 73)	1.9754	2,2
ZNF883	AK026392	-0.53185	42.77	-0.77	rgb( 50,115,246)	1.8356	2,2
CCDC17	AK027252	0.76382	49.59	0.589	rgb(223,104,106)	1.972	2,2
ZNF883	AK027252	-0.42454	38.49	-0.49	rgb(111,153,236)	1.7499	2,2
CCDC17	AK027840	0.77893	49.77	0.767	rgb(225, 70, 72)	1.9756	2,2
ZNF883	AK027840	-0.53185	42.77	-0.77	rgb( 49,115,246)	1.8356	2,2
CCDC17	AK055257	0.76712	49.62	0.62	rgb(224, 98,100)	1.9726	2,2
ZNF883	AK055257	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CCDC17	AK091996	0.38063	36.39	0.392	rgb(221,142,143)	1.7079	2,2
ZNF883	AK091996	-0.70574	48.57	-0.57	rgb( 92,141,239)	1.9516	2,2
CCDC17	AK095546	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ZNF883	AK095546	-0.49298	42.44	-0.44	rgb(122,159,234)	1.829	2,2
CCDC17	AK097012	0.78121	49.8	0.797	rgb(226, 65, 66)	1.9762	2,2
ZNF883	AK097012	-0.53214	42.8	-0.8	rgb( 44,112,247)	1.8362	2,2
CCDC17	AK293147	0.77951	49.78	0.784	rgb(226, 67, 69)	1.9758	2,2
ZNF883	AK293147	-0.53284	42.83	-0.83	rgb( 38,108,248)	1.8368	2,2
CCDC17	AL832212	0.76055	49.53	0.525	rgb(223,117,118)	1.9708	2,2
ZNF883	AL832212	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
CCDC17	AL832937	0.78042	49.79	0.792	rgb(226, 66, 67)	1.976	2,2
ZNF883	AL832937	-0.53197	42.78	-0.78	rgb( 47,114,247)	1.8358	2,2
CCDC17	AX747158	0.76055	49.57	0.568	rgb(223,109,110)	1.9716	2,2
ZNF883	AX747158	-0.37542	36.26	-0.26	rgb(160,182,227)	1.7053	2,2
CCDC17	AX747179	0.76196	49.54	0.538	rgb(223,114,115)	1.971	2,2
ZNF883	AX747179	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
CCDC17	AX747590	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
ZNF883	AX747590	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
CCDC17	AX747619	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
ZNF883	AX747619	-0.91722	50.65	-0.65	rgb( 76,131,242)	1.9932	2,2
CCDC17	BC041654	0.77951	49.78	0.779	rgb(226, 68, 70)	1.9758	2,2
ZNF883	BC041654	-0.53135	42.75	-0.75	rgb( 53,117,246)	1.8352	2,2
CCDC17	CATSPER2	0.35456	35.23	0.229	rgb(220,173,174)	1.6847	2,2
ZNF883	CATSPER2	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CCDC17	DKFZp686M11215	0.75613	49.54	0.541	rgb(223,114,115)	1.971	2,2
ZNF883	DKFZp686M11215	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
CCDC17	DQ588114	0.78121	49.8	0.798	rgb(226, 65, 66)	1.9762	2,2
ZNF883	DQ588114	-0.53214	42.8	-0.8	rgb( 43,111,248)	1.8362	2,2
CCDC17	E10222	0.78042	49.79	0.794	rgb(226, 65, 67)	1.976	2,2
ZNF883	E10222	-0.53234	42.82	-0.82	rgb( 39,109,248)	1.8366	2,2
CCDC17	HBT8	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
ZNF883	HBT8	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
CCDC17	HIF1A-AS2	0.4817	42.25	0.249	rgb(220,169,170)	1.8252	2,2
ZNF883	HIF1A-AS2	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
CCDC17	LOC100216479	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ZNF883	LOC100216479	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
CCDC17	LOC399715	0.61739	46.59	0.591	rgb(224,104,105)	1.912	2,2
ZNF883	LOC399715	-0.59327	46.2	-0.2	rgb(173,190,225)	1.9042	2,2
CCDC17	MAGEA5	0.4	38.43	0.425	rgb(222,136,137)	1.7487	2,2
ZNF883	MAGEA5	0.46914	40.47	0.472	rgb(222,127,128)	1.7896	2,2
CCDC17	MUC2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ZNF883	MUC2	-0.95147	50.73	-0.73	rgb( 59,121,245)	1.9948	2,2
CCDC17	NBPF10	-0.58773	45.69	-0.69	rgb( 68,126,243)	1.894	2,2
ZNF883	NBPF10	0.52672	42.58	0.579	rgb(223,106,108)	1.8318	2,2
CCDC17	TAS2R20	0.75081	49.5	0.503	rgb(223,121,122)	1.9702	2,2
ZNF883	TAS2R20	-0.66663	47.46	-0.46	rgb(117,156,234)	1.9294	2,2
CCDC17	TBC1D3C	0.77893	49.77	0.771	rgb(225, 70, 71)	1.9756	2,2
ZNF883	TBC1D3C	-0.53069	42.73	-0.73	rgb( 58,120,245)	1.8348	2,2
