TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CSRNP3	ACE	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CSRNP3	AF086346	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
CSRNP3	AK025664	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CSRNP3	AK026392	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CSRNP3	AK027840	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CSRNP3	AK092380	0.36237	36.61	0.609	rgb(224,101,102)	1.7123	2,2
CSRNP3	AK097012	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
CSRNP3	AK125858	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
CSRNP3	AK128563	0.74523	49.45	0.453	rgb(222,130,131)	1.9692	2,2
CSRNP3	AK302511	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
CSRNP3	AK311257	0.46159	41.3	0.304	rgb(220,159,160)	1.8062	2,2
CSRNP3	AL831889	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
CSRNP3	AL832937	0.18104	25	0	rgb(217,217,217)	1.4801	2,2
CSRNP3	BC041654	0.1881	26	0	rgb(217,217,217)	1.5001	2,2
CSRNP3	CACNB2	0.44391	40.42	0.415	rgb(222,138,138)	1.7886	2,2
CSRNP3	CERS6-AS1	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
CSRNP3	CLCN4	0.40107	37.41	0.414	rgb(222,138,139)	1.7283	2,2
CSRNP3	DKFZp779K0112	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	ELAVL3	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	FBN1	0.37435	37.32	0.32	rgb(221,156,157)	1.7265	2,2
CSRNP3	HIF1A-AS2	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
CSRNP3	LINC00494	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
CSRNP3	LOC100132215	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
CSRNP3	LOC642776	0.41722	39.37	0.373	rgb(221,146,147)	1.7676	2,2
CSRNP3	PFN1P2	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
CSRNP3	SUCNR1	0.4646	41.37	0.368	rgb(221,147,147)	1.8076	2,2
CSRNP3	TACR3	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
CSRNP3	TBC1D3C	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
CSRNP3	ZRANB2-AS1	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
