TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
CXXC4	AF086126	0.5862	44.76	0.761	rgb(225, 72, 73)	1.8754	2,2
CXXC4	AK022997	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	AK024248	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
CXXC4	AK057681	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CXXC4	AK092048	-0.42681	38.57	-0.57	rgb( 93,142,239)	1.7516	2,2
CXXC4	AK095242	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
CXXC4	AK123868	0.46828	41.45	0.453	rgb(222,130,131)	1.8092	2,2
CXXC4	AK124197	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
CXXC4	AK128656	0.42701	38.58	0.581	rgb(223,106,107)	1.7518	2,2
CXXC4	AK293147	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CXXC4	AK302511	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CXXC4	AL137655	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	APOA4	-0.58319	44.59	-0.59	rgb( 89,139,239)	1.872	2,2
CXXC4	ARHGEF26-AS1	0.30343	32	0	rgb(217,217,217)	1.6201	None
CXXC4	ATCAY	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
CXXC4	AX746640	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
CXXC4	AX746823	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
CXXC4	AX747140	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	AX747179	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
CXXC4	AX747658	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
CXXC4	BC033961	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
CXXC4	BC040563	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
CXXC4	BC068238	0.38674	36.76	0.759	rgb(225, 72, 74)	1.7153	2,2
CXXC4	BC090058	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
CXXC4	CERS6-AS1	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
CXXC4	DHRS2	0.016605	14	0	rgb(217,217,217)	1.2601	None
CXXC4	DKFZp686M11215	-0.37984	36.38	-0.38	rgb(134,166,232)	1.7077	2,2
CXXC4	DQ573539	0.65923	47.35	0.349	rgb(221,150,151)	1.9272	2,2
CXXC4	GPR116	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
CXXC4	GPR64	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	HIF1A-AS2	-0.47542	40.81	-0.81	rgb( 41,110,248)	1.7964	2,2
CXXC4	HNRPF	0.4045	37.53	0.525	rgb(223,117,118)	1.7307	2,2
CXXC4	IGSF21	0.068278	17	0	rgb(217,217,217)	1.3201	None
CXXC4	LIMD2	-0.53007	42.67	-0.67	rgb( 72,129,242)	1.8336	2,2
CXXC4	LOC100132215	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CXXC4	LOC100271836	0.52627	42.56	0.557	rgb(223,111,112)	1.8314	2,2
CXXC4	LOC389332	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
CXXC4	LOC646903	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	LOC731275	0.47398	40.63	0.627	rgb(224, 97, 98)	1.7928	2,2
CXXC4	MFAP2	-0.38249	36.43	-0.43	rgb(124,160,233)	1.7087	2,2
CXXC4	NAT8L	0.48674	42.32	0.315	rgb(220,157,157)	1.8266	2,2
CXXC4	NBPF10	0.40582	37.6	0.6	rgb(224,102,104)	1.7321	2,2
CXXC4	RAB39B	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
CXXC4	S100G	-0.46658	40.42	-0.42	rgb(126,161,233)	1.7886	2,2
CXXC4	SCN3A	0.35907	36.42	0.422	rgb(222,136,137)	1.7085	2,2
CXXC4	SPDYE8P	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
CXXC4	SSTR3	0.77204	49.63	0.626	rgb(224, 97, 99)	1.9728	None
CXXC4	TBC1D3H	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
CXXC4	WHAMMP1	0.52941	42.65	0.647	rgb(224, 93, 95)	1.8332	2,2
CXXC4	ZRANB2-AS1	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
