TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
EBF3	ABCC8	0.092482	18	0	rgb(217,217,217)	1.3401	None
EBF3	ADAMTSL2	-0.65196	47.49	-0.49	rgb(110,152,236)	1.93	None
EBF3	ADORA2A	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
EBF3	AGT	0.70917	48.49	0.494	rgb(222,123,124)	1.95	None
EBF3	AHNAK	0.23296	29	0	rgb(217,217,217)	1.5601	None
EBF3	AK054990	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
EBF3	AK092048	0.64907	47.46	0.458	rgb(222,129,130)	1.9294	2,2
EBF3	AK127339	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
EBF3	AL109792	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
EBF3	ANKRD36B	-0.52602	43.63	-0.63	rgb( 80,134,241)	1.8528	2,2
EBF3	ARNT2	0.15832	24	0	rgb(217,217,217)	1.4601	None
EBF3	ARX	0.3468	34.61	0.613	rgb(224,100,101)	1.6723	2,2
EBF3	BC107568	0.53887	44.29	0.292	rgb(220,161,162)	1.866	2,2
EBF3	C11orf87	0.11582	20	0	rgb(217,217,217)	1.3801	2,2
EBF3	C11orf92	0.38955	37.09	0.094	rgb(218,199,199)	1.7219	2,2
EBF3	C12orf50	-0.61041	46.46	-0.46	rgb(117,156,235)	1.9094	None
EBF3	C1RL-AS1	-0.66208	47.6	-0.6	rgb( 86,137,240)	1.9322	None
EBF3	C1orf173	0.37604	37.36	0.363	rgb(221,148,148)	1.7273	2,2
EBF3	C1orf95	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
EBF3	CABP7	0.092482	18	0	rgb(217,217,217)	1.3401	None
EBF3	CACNA1A	0.60062	45.4	0.399	rgb(221,141,142)	1.8882	None
EBF3	CADM2	0.31941	33	0	rgb(217,217,217)	1.6401	None
EBF3	CADM3	0.74168	49.33	0.335	rgb(221,153,154)	1.9668	None
EBF3	CAMKV	0.27096	30	0	rgb(217,217,217)	1.5801	None
EBF3	CCDC146	0.27869	32	0	rgb(217,217,217)	1.6201	None
EBF3	CCDC74B	-0.96026	50.75	-0.75	rgb( 53,118,246)	1.9952	None
EBF3	CDHR3	0.035399	15	0	rgb(217,217,217)	1.2801	None
