TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HLF	AB007962	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
HLF	ABLIM2	-0.93222	50.68	-0.71	rgb( 63,123,244)	1.9938	None
HLF	ACOT7	-0.66126	47.59	-0.59	rgb( 89,139,239)	1.932	None
HLF	AF198444	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
HLF	AHNAK	0.16638	23	0	rgb(217,217,217)	1.4401	None
HLF	AK024248	-0.47464	40.66	-0.66	rgb( 74,130,242)	1.7934	2,2
HLF	AK025664	0.38521	36.56	0.558	rgb(223,110,112)	1.7113	2,2
HLF	AK094786	-0.438	39.32	-0.32	rgb(146,174,229)	1.7666	2,2
HLF	AK123868	-0.4031	37.48	-0.48	rgb(112,153,235)	1.7297	2,2
HLF	AK124970	0.29533	33	0	rgb(217,217,217)	1.6401	2,2
HLF	AK128563	-0.45808	40.22	-0.22	rgb(170,188,225)	1.7846	2,2
HLF	AK128656	-0.49851	41.6	-0.6	rgb( 87,138,240)	1.8122	2,2
HLF	AK302511	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
HLF	AK311257	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
HLF	AL109792	-0.35952	35.36	-0.36	rgb(139,170,231)	1.6873	2,2
HLF	AL831889	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	ANKRD36C	0.21727	28	0	rgb(217,217,217)	1.5401	None
HLF	APBB1	0.31941	33	0	rgb(217,217,217)	1.6401	None
HLF	ATCAY	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	AX746764	-0.36258	35.44	-0.44	rgb(122,160,234)	1.6889	2,2
HLF	AX747639	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
HLF	AX748052	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HLF	AX748322	0.14469	23	0	rgb(217,217,217)	1.4401	2,2
HLF	BC033961	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
HLF	BC041025	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
HLF	C11orf87	0.76613	49.61	0.608	rgb(224,101,102)	1.9724	2,2
HLF	C4orf21	0.47146	41.57	0.568	rgb(223,109,110)	1.8116	2,2
HLF	C6orf201	-0.34387	34.41	-0.41	rgb(127,162,233)	1.6683	None
HLF	C8orf15	0.44845	40.56	0.556	rgb(223,111,112)	1.7914	2,2
HLF	CACNA1B	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
HLF	CADM2	0.29533	33	0	rgb(217,217,217)	1.6401	None
HLF	CATSPERB	-0.51908	42.41	-0.41	rgb(127,162,233)	1.8284	None
HLF	CCDC39	0.31941	33	0	rgb(217,217,217)	1.6401	None
HLF	CCDC85B	0.68092	47.71	0.713	rgb(225, 81, 82)	1.9344	None
HLF	CD200	-0.73119	49.16	-0.16	rgb(182,196,223)	1.9634	None
HLF	CDHR3	0.04399	16	0	rgb(217,217,217)	1.3001	None
HLF	CERS6-AS1	0.24796	30	0	rgb(217,217,217)	1.5801	2,2
HLF	CES1	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HLF	COL14A1	0.83635	50.46	0.459	rgb(222,129,130)	1.9894	None
HLF	CRISPLD1	-0.367	35.64	-0.64	rgb( 77,132,241)	1.6929	2,2
HLF	DDN	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
HLF	DEFB1	0.46411	40.35	0.353	rgb(221,150,150)	1.7872	None
HLF	DKFZp686M11215	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
HLF	DKFZp779K0112	0.32805	35	0	rgb(217,217,217)	1.6801	2,2
HLF	DNAH11	0.26378	31	0	rgb(217,217,217)	1.6001	None
HLF	DNAPTP1	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
HLF	DNM3	0.14469	23	0	rgb(217,217,217)	1.4401	None
HLF	DOK6	0.90434	50.62	0.618	rgb(224, 99,100)	1.9926	None
HLF	DPP10	0.24796	30	0	rgb(217,217,217)	1.5801	None
HLF	DQ570835	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
HLF	DQ571357	0.31152	34	0	rgb(217,217,217)	1.6601	2,2
HLF	DQ573539	-0.57662	44.45	-0.45	rgb(119,157,234)	1.8692	2,2
HLF	FAM179A	0.04399	16	0	rgb(217,217,217)	1.3001	2,2
HLF	FAM57B	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HLF	FAM95B1	-0.74444	49.36	-0.36	rgb(139,169,231)	1.9674	2,2
HLF	FAT3	0.23296	29	0	rgb(217,217,217)	1.5601	None
HLF	FBN1	0.076869	18	0	rgb(217,217,217)	1.3401	2,2
HLF	FCGBP	0.17332	24	0	rgb(217,217,217)	1.4601	None
HLF	FER1L6-AS1	0.49665	41.53	0.532	rgb(223,115,116)	1.8108	None
HLF	FFAR1	0.75717	49.55	0.55	rgb(223,112,113)	1.9712	2,2
HLF	FLJ00278	0.084387	19	0	rgb(217,217,217)	1.3601	2,2
HLF	GABRA1	0.77162	49.65	0.646	rgb(224, 94, 95)	1.9732	2,2
HLF	GABRB3	0.4202	39.43	0.429	rgb(222,135,136)	1.7688	2,2
HLF	GABRP	0.1881	26	0	rgb(217,217,217)	1.5001	None
HLF	GAST	0.52164	43.48	0.479	rgb(222,125,126)	1.8498	2,2
HLF	GDAP1L1	0.10029	19	0	rgb(217,217,217)	1.3601	2,2
HLF	GPR112	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
HLF	GPR116	-0.33965	34.15	-0.15	rgb(185,198,223)	1.6631	2,2
HLF	GPR123	0.23296	29	0	rgb(217,217,217)	1.5601	2,2
HLF	GSTA2	0.92003	50.69	0.689	rgb(225, 85, 87)	1.994	None
HLF	HBT8	-0.34027	34.19	-0.19	rgb(175,192,224)	1.6639	2,2
HLF	HECW2	0.23961	28	0	rgb(217,217,217)	1.5401	None
HLF	HEPACAM2	0.44548	39.48	0.484	rgb(222,125,126)	1.7698	None
HLF	HERV-Fb1	-0.57988	44.52	-0.52	rgb(105,149,237)	1.8706	2,2
HLF	HIF1A-AS2	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HLF	HNF1A-AS1	0.85171	50.52	0.567	rgb(223,109,110)	1.9906	None
HLF	IFI6	-0.82656	50.43	-0.43	rgb(123,160,233)	1.9888	None
HLF	IFIT1	-0.55489	44.58	-0.58	rgb( 92,141,239)	1.8718	2,2
HLF	IGSF21	0.10777	20	0	rgb(217,217,217)	1.3801	None
HLF	KCNA6	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
HLF	KCNK17	0.30343	32	0	rgb(217,217,217)	1.6201	None
HLF	KCNMB2-IT1	0.27096	30	0	rgb(217,217,217)	1.5801	2,2
HLF	KCNMB3	0.50905	43.26	0.263	rgb(220,167,167)	1.8454	None
HLF	KCNQ1OT1	0.70223	48.53	0.527	rgb(223,116,117)	1.9508	None
HLF	KIAA0845	0.035399	15	0	rgb(217,217,217)	1.2801	2,2
HLF	KIAA1328	-0.3525	35.16	-0.16	rgb(182,196,223)	1.6833	None
HLF	KTN1-AS1	0.27869	32	0	rgb(217,217,217)	1.6201	None
HLF	LCP1	0.83474	50.47	0.479	rgb(222,126,126)	1.9896	None
HLF	LGR6	-0.73664	49.27	-0.27	rgb(158,181,227)	1.9656	None
HLF	LINC00890	0.70847	48.6	0.597	rgb(224,103,104)	1.9522	2,2
HLF	LOC100132215	-0.4202	38.36	-0.36	rgb(138,169,231)	1.7473	2,2
HLF	LOC400927	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
HLF	LOC595101	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	LOC642776	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
HLF	LOC731275	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
HLF	LY6H	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
HLF	LZTS1	0.48976	41.37	0.374	rgb(221,145,146)	1.8076	None
HLF	MAPK8IP2	-0.35564	35.25	-0.25	rgb(162,183,227)	1.6851	2,2
HLF	MAST1	0.86254	50.53	0.533	rgb(223,115,116)	1.9908	None
HLF	MEP1B	0.62652	46.34	0.343	rgb(221,151,152)	1.907	None
HLF	MX2	-0.67352	48.14	-0.14	rgb(187,199,222)	1.943	None
HLF	NAT8L	-0.67233	47.53	-0.53	rgb(101,146,237)	1.9308	2,2
HLF	NAV3	0.076869	18	0	rgb(217,217,217)	1.3401	None
HLF	NCAM1	0.9278	50.67	0.666	rgb(224, 90, 91)	1.9936	2,2
HLF	NEFM	0.85828	50.52	0.516	rgb(223,118,120)	1.9906	None
HLF	NFAT5	0.68269	48.31	0.311	rgb(220,158,158)	1.9464	None
HLF	NPAS3	-0.65196	47.49	-0.49	rgb(111,152,236)	1.93	None
HLF	NPPB	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
HLF	NR2F2-AS1	-0.89765	50.64	-0.64	rgb( 79,133,241)	1.993	None
HLF	NTS	0.052045	17	0	rgb(217,217,217)	1.3201	2,2
HLF	PALMD	0.32805	35	0	rgb(217,217,217)	1.6801	None
HLF	PGM5	-0.69876	48.49	-0.49	rgb(112,153,235)	1.95	None
HLF	PPP1R16B	0.67741	48.23	0.229	rgb(220,173,174)	1.9448	None
HLF	PRRT2	-0.86254	50.53	-0.69	rgb( 68,126,243)	1.9908	None
HLF	RAB4B-EGLN2	0.6252	46.32	0.322	rgb(221,155,156)	1.9066	None
