TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HMBOX1	AB073649	0.68344	48.32	0.317	rgb(220,156,157)	1.9466	2,2
HMBOX1	ABLIM2	-0.43238	40.19	-0.19	rgb(175,191,224)	1.784	None
HMBOX1	ACOT7	-0.95568	50.74	-0.74	rgb( 55,119,245)	1.995	None
HMBOX1	ACSS3	0.49599	42.5	0.495	rgb(222,122,123)	1.8302	None
HMBOX1	ADAM12	0.65679	47.54	0.541	rgb(223,114,115)	1.931	None
HMBOX1	ADCY1	0.36035	36.47	0.468	rgb(222,128,128)	1.7095	None
HMBOX1	ADCY2	0.67741	48.23	0.233	rgb(220,173,173)	1.9448	None
HMBOX1	ADORA2A	-0.65853	47.34	-0.34	rgb(144,172,230)	1.927	2,2
HMBOX1	AEBP1	-0.51908	42.41	-0.41	rgb(127,162,233)	1.8284	None
HMBOX1	AF086126	0.42383	38.47	0.469	rgb(222,127,128)	1.7495	2,2
HMBOX1	AF086346	-0.77266	49.66	-0.66	rgb( 74,130,242)	1.9734	2,2
HMBOX1	AF116693	-0.55853	45.07	-0.075	rgb(201,207,220)	1.8816	2,2
HMBOX1	AF289551	0.26378	31	0	rgb(217,217,217)	1.6001	2,2
HMBOX1	AF420437	0.79884	50.31	0.305	rgb(220,159,159)	1.9864	2,2
HMBOX1	AHNAK	0.96943	50.78	0.775	rgb(226, 69, 70)	1.9958	None
HMBOX1	AK026392	-0.76712	49.62	-0.62	rgb( 81,135,241)	1.9726	2,2
HMBOX1	AK027252	-0.50636	42.2	-0.47	rgb(115,155,235)	1.8242	2,2
HMBOX1	AK027840	-0.76914	49.63	-0.63	rgb( 81,134,241)	1.9728	2,2
HMBOX1	AK055910	0.027303	15	0	rgb(217,217,217)	1.2801	2,2
HMBOX1	AK090844	0.75436	49.53	0.531	rgb(223,116,117)	1.9708	2,2
HMBOX1	AK092380	0.65679	47.54	0.541	rgb(223,114,115)	1.931	2,2
HMBOX1	AK094156	0.63759	47.34	0.34	rgb(221,152,153)	1.927	2,2
HMBOX1	AK094916	0.68038	48.28	0.278	rgb(220,164,164)	1.9458	2,2
HMBOX1	AK095242	0.98249	50.83	0.834	rgb(226, 58, 59)	1.9968	2,2
HMBOX1	AK097012	-0.77162	49.65	-0.65	rgb( 75,131,242)	1.9732	2,2
HMBOX1	AK097119	0.93656	50.69	0.691	rgb(225, 85, 86)	1.994	2,2
