TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ISL1	ABLIM2	0.25535	29	0	rgb(217,217,217)	1.5601	None
ISL1	ACOT7	0.16638	23	0	rgb(217,217,217)	1.4401	None
ISL1	ADAM12	0.26378	31	0	rgb(217,217,217)	1.6001	None
ISL1	ADAMTSL2	-0.86101	50.55	-0.55	rgb( 97,144,238)	1.9912	None
ISL1	AEBP1	-0.70458	48.44	-0.44	rgb(122,159,234)	1.949	None
ISL1	AF086126	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ISL1	AF086346	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ISL1	AGT	-0.59372	45.25	-0.25	rgb(162,184,227)	1.8852	None
ISL1	AHNAK	0.79682	50.26	0.256	rgb(220,168,169)	1.9854	None
ISL1	AK026392	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ISL1	AK027840	0.28724	31	0	rgb(217,217,217)	1.6001	2,2
ISL1	AK095045	-0.48641	41.31	-0.31	rgb(150,176,229)	1.8064	2,2
ISL1	AK097012	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ISL1	AK123868	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ISL1	AKR1B1	0.92577	50.71	0.708	rgb(225, 82, 83)	1.9944	None
ISL1	AL832937	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ISL1	ANKRD36C	0.75192	49.45	0.448	rgb(222,131,132)	1.9692	None
ISL1	ANKRD45	0.95374	50.78	0.784	rgb(226, 67, 69)	1.9958	None
ISL1	APLP1	-0.91144	50.67	-0.67	rgb( 71,128,242)	1.9936	None
ISL1	ARHGEF26-AS1	0.092482	18	0	rgb(217,217,217)	1.3401	None
ISL1	ARNT2	0.23961	28	0	rgb(217,217,217)	1.5401	None
ISL1	ARX	0.88616	50.58	0.582	rgb(223,106,107)	1.9918	2,2
ISL1	ASCL1	0.57266	45.37	0.367	rgb(221,147,148)	1.8876	2,2
ISL1	ASIC4	0.11582	20	0	rgb(217,217,217)	1.3801	None
ISL1	ATCAY	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ISL1	AVPR1B	0.43362	39.2	0.203	rgb(219,178,179)	1.7642	None
ISL1	BAALC	-0.73994	49.31	-0.31	rgb(150,176,229)	1.9664	None
ISL1	BAIAP3	0.068278	17	0	rgb(217,217,217)	1.3201	None
ISL1	BC041654	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
ISL1	BC090058	0.70917	48.49	0.493	rgb(222,123,124)	1.95	2,2
ISL1	BEX1	-0.34663	36.09	-0.094	rgb(197,205,221)	1.7019	2,2
ISL1	BSN	0.22515	27	0	rgb(217,217,217)	1.5201	None
ISL1	C12orf68	-0.50715	42.21	-0.21	rgb(171,189,225)	1.8244	2,2
ISL1	C1QL1	0.092482	18	0	rgb(217,217,217)	1.3401	None
ISL1	C22orf42	0.068278	17	0	rgb(217,217,217)	1.3201	None
ISL1	C7	0.25535	29	0	rgb(217,217,217)	1.5601	None
ISL1	CACNA1C	-0.49025	41.38	-0.38	rgb(134,167,232)	1.8078	None
ISL1	CACNB4	0.28724	31	0	rgb(217,217,217)	1.6001	None
ISL1	CADM2	0.23296	29	0	rgb(217,217,217)	1.5601	None
ISL1	CATSPERB	0.17332	24	0	rgb(217,217,217)	1.4601	None
ISL1	CD70	0.28724	31	0	rgb(217,217,217)	1.6001	None
ISL1	CEP290	0.91322	50.68	0.677	rgb(224, 88, 89)	1.9938	None
ISL1	CITED4	0.016605	14	0	rgb(217,217,217)	1.2601	None
ISL1	CLDN6	-0.57877	44.49	-0.49	rgb(110,152,236)	1.87	None
ISL1	COL14A1	0.21727	28	0	rgb(217,217,217)	1.5401	None
ISL1	DCX	0.78711	50.17	0.168	rgb(219,185,185)	1.9836	2,2
ISL1	DDC	0.016605	14	0	rgb(217,217,217)	1.2601	None
ISL1	DEFB1	-0.48294	41.24	-0.24	rgb(165,186,226)	1.805	None
ISL1	DIRAS1	0.59756	46.27	0.272	rgb(220,165,166)	1.9056	2,2
ISL1	DKFZp779K0112	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ISL1	DLL3	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
ISL1	DST	0.19533	25	0	rgb(217,217,217)	1.4801	None
ISL1	ETV1	-0.45853	41.24	-0.24	rgb(165,186,226)	1.805	None
ISL1	FAM110B	0.016605	14	0	rgb(217,217,217)	1.2601	None
ISL1	FAM135B	-0.47683	41.05	-0.049	rgb(206,211,219)	1.8012	None
ISL1	FCGBP	0.57125	44.36	0.356	rgb(221,149,150)	1.8674	None
ISL1	FGF14	0.53627	43.13	0.126	rgb(218,193,193)	1.8428	None
ISL1	FKSG51	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
ISL1	GABRP	0.61727	46.11	0.114	rgb(218,195,196)	1.9024	None
ISL1	GATA2	0.10777	20	0	rgb(217,217,217)	1.3801	2,2
ISL1	GNAO1	-0.81685	50.39	-0.39	rgb(131,165,232)	1.988	None
ISL1	GOLGA8B	0.89261	50.63	0.632	rgb(224, 96, 97)	1.9928	None
ISL1	GPBAR1	-0.81119	50.36	-0.36	rgb(139,170,231)	1.9874	None
ISL1	GPR119	0.50384	43.14	0.136	rgb(219,191,191)	1.843	2,2
ISL1	GPR162	-0.96501	50.81	-0.81	rgb( 42,110,248)	1.9964	None
ISL1	GPR64	0.79831	50.3	0.301	rgb(220,160,160)	1.9862	2,2
ISL1	H1FX-AS1	0.30343	32	0	rgb(217,217,217)	1.6201	None
ISL1	HEPACAM2	-0.50198	42.04	-0.038	rgb(209,212,218)	1.821	None
ISL1	HMBOX1	0.88385	50.61	0.609	rgb(224,101,102)	1.9924	None
ISL1	HOPX	0.035399	15	0	rgb(217,217,217)	1.2801	None
ISL1	INS-IGF2	-0.60458	45.46	-0.46	rgb(118,157,234)	1.8894	2,2
ISL1	KCNJ3	-0.8691	50.57	-0.57	rgb( 94,142,239)	1.9916	None
ISL1	KCNK3	0.092482	18	0	rgb(217,217,217)	1.3401	None
ISL1	KCNMA1	0.17332	24	0	rgb(217,217,217)	1.4601	None
ISL1	KCNMB2	0.25535	29	0	rgb(217,217,217)	1.5601	None
ISL1	KIAA1328	0.83804	50.48	0.485	rgb(222,124,125)	1.9898	None
ISL1	KIF5C	0.78695	50.16	0.158	rgb(219,187,187)	1.9834	2,2
ISL1	LINC00514	0.10029	19	0	rgb(217,217,217)	1.3601	None
ISL1	LINC00893	0.59236	45.22	0.22	rgb(219,175,175)	1.8846	None
ISL1	LMX1B	-0.35093	35.12	-0.12	rgb(191,201,222)	1.6825	None
ISL1	LOC100862671	-0.59186	45.21	-0.21	rgb(170,189,225)	1.8844	2,2
